gene_name	log2_fold_change	FDR_adjusted_p_value	ref_allele	non_ref_allele	sample_size
ENSG00000072506|HSD17B10	0.0619338807337723	0.533889248041271	AD	Control	238
ENSG00000075388|FGF4	0.415604760719967	1.0	AD	Control	238
ENSG00000076344|RGS11	-0.064319370785247	0.570453885694502	AD	Control	238
ENSG00000077009|NMRK2	-0.130475801041337	1.0	AD	Control	238
ENSG00000127241|MASP1	0.361176388662319	0.0103343938039119	AD	Control	238
ENSG00000073849|ST6GAL1	0.0899600325228815	0.285689958779405	AD	Control	238
ENSG00000075336|TIMM21	-0.001652369514334	0.989334910912646	AD	Control	238
ENSG00000078898|BPIFB2	0.559453643157632	1.0	AD	Control	238
ENSG00000079313|REXO1	-0.0472763099184949	0.743001913695887	AD	Control	238
ENSG00000075975|MKRN2	-0.0819804207162647	0.310341301247853	AD	Control	238
ENSG00000076650|GPATCH1	-0.0063890185691289	0.938967356389816	AD	Control	238
ENSG00000077238|IL4R	0.360549336130942	0.0809240139923636	AD	Control	238
ENSG00000079999|KEAP1	0.0857366205664805	0.193282862599377	AD	Control	238
ENSG00000078589|P2RY10	0.255521855123707	1.0	AD	Control	238
ENSG00000079308|TNS1	0.338549854062925	0.0294112545944908	AD	Control	238
ENSG00000064300|NGFR	0.382067006228886	0.132715699485042	AD	Control	238
ENSG00000183091|NEB	0.166273342219568	0.126072809675042	AD	Control	238
ENSG00000065320|NTN1	0.210527349781506	0.155912401173662	AD	Control	238
ENSG00000066583|ISOC1	0.0180330167573089	0.89745368659552	AD	Control	238
ENSG00000067082|KLF6	0.240656409296969	0.0238394383581395	AD	Control	238
ENSG00000067445|TRO	-0.168965338900502	0.0190561110080172	AD	Control	238
ENSG00000070444|MNT	0.101321409911859	0.396985997111211	AD	Control	238
ENSG00000070718|AP3M2	-0.252235850078628	0.0460958237889815	AD	Control	238
ENSG00000068697|LAPTM4A	0.154997738435402	0.356961885531635	AD	Control	238
ENSG00000069206|ADAM7	0.0140905482067261	0.961702251040788	AD	Control	238
ENSG00000070669|ASNS	-0.240705463200011	0.0139313947894659	AD	Control	238
ENSG00000072135|PTPN18	0.0902818617100277	0.257584271398686	AD	Control	238
ENSG00000069696|DRD4	0.0760597306759027	0.740510217363048	AD	Control	238
ENSG00000070031|SCT	0.0218878936808039	1.0	AD	Control	238
ENSG00000072210|ALDH3A2	0.0636772933465563	0.369898389691536	AD	Control	238
ENSG00000072786|STK10	0.327356861762828	0.0073886562501278	AD	Control	238
ENSG00000073861|TBX21	0.108751935694973	1.0	AD	Control	238
ENSG00000074071|MRPS34	-0.104484151807233	0.264976681105622	AD	Control	238
ENSG00000074410|CA12	0.214911132446732	0.396093407847994	AD	Control	238
ENSG00000137764|MAP2K5	-0.0890562543769939	0.0948903894796311	AD	Control	238
ENSG00000078237|TIGAR	-0.0297091281591958	0.816801068351842	AD	Control	238
ENSG00000078579|FGF20	0.0519809227387394	0.852627048560869	AD	Control	238
ENSG00000003987|MTMR7	-0.211577388633233	0.0345567786954887	AD	Control	238
ENSG00000080618|CPB2	0.0852066468938392	0.567657936671696	AD	Control	238
ENSG00000065809|FAM107B	0.197868167579244	0.0888140082372358	AD	Control	238
ENSG00000065883|CDK13	0.0056886712452183	0.920856339903747	AD	Control	238
ENSG00000064763|FAR2	-0.165728223426206	0.0597717439361667	AD	Control	238
ENSG00000065308|TRAM2	0.192200671402044	0.0464311311361699	AD	Control	238
ENSG00000066405|CLDN18	0.299644712352917	0.0272192109933516	AD	Control	238
ENSG00000065371|ROPN1	0.107152219634761	0.587293297097319	AD	Control	238
ENSG00000065518|NDUFB4	-0.0885006670698031	0.486778433670372	AD	Control	238
ENSG00000068097|HEATR6	0.0438336451551432	0.416063561516009	AD	Control	238
ENSG00000068912|ERLEC1	-0.190427444097261	0.0360390081938774	AD	Control	238
ENSG00000112782|CLIC5	0.273518617822105	0.0572509090058283	AD	Control	238
ENSG00000075568|TMEM131	-0.0862075464837326	0.291778322578464	AD	Control	238
ENSG00000172995|ARPP21	-0.265047045395481	0.0230706656401472	AD	Control	238
ENSG00000007129|CEACAM21	0.0212620778304848	0.939390583283738	AD	Control	238
ENSG00000072954|TMEM38A	-0.173955682829838	0.0476123923186061	AD	Control	238
ENSG00000073008|PVR	-0.10592558757019	0.106044387344864	AD	Control	238
ENSG00000159885|ZNF222	-0.148285964491328	0.0996089691045247	AD	Control	238
ENSG00000170848|PSG6	-0.09326106750682	0.579298303848769	AD	Control	238
ENSG00000075089|ACTR6	-0.124958223223895	0.140808291317717	AD	Control	238
ENSG00000075415|SLC25A3	-0.235894586501027	0.0176153856041704	AD	Control	238
ENSG00000012504|NR1H4	0.244590852578312	0.123963607958339	AD	Control	238
ENSG00000078098|FAP	0.167444508383415	0.216276967405038	AD	Control	238
ENSG00000077150|NFKB2	0.403723886133421	0.0337176579255322	AD	Control	238
ENSG00000030304|MUSK	0.254629783502282	0.213326964105618	AD	Control	238
ENSG00000064218|DMRT3	-0.14619569967778	0.622442492413196	AD	Control	238
ENSG00000079156|OSBPL6	-0.10229044387263	0.17179349642003	AD	Control	238
ENSG00000064205|WISP2	0.0243260420924543	0.910433896610682	AD	Control	238
ENSG00000064601|CTSA	0.0598212176975181	0.397521791425677	AD	Control	238
ENSG00000134461|ANKRD16	-0.0518333364487956	0.378783998100121	AD	Control	238
ENSG00000154252|GAL3ST2	-0.0661506073792345	0.942738129055872	AD	Control	238
ENSG00000065060|UHRF1BP1	0.0187907903590146	0.721094894995457	AD	Control	238
ENSG00000081087|OSTM1	-0.0909215228591687	0.0980098595007698	AD	Control	238
ENSG00000081148|IMPG2	0.0795654631389226	0.570771377070524	AD	Control	238
ENSG00000072110|ACTN1	-1.40476045587707e-05	0.999814621454932	AD	Control	238
ENSG00000249437|NAIP	0.122824534007034	0.501549476552057	AD	Control	238
ENSG00000081791|DELE1	0.0222842718926844	0.693142836925558	AD	Control	238
ENSG00000081800|SLC13A1	0.206366618858833	0.306916183980415	AD	Control	238
ENSG00000081818|PCDHB4	0.0909202509760282	0.280903705713603	AD	Control	238
ENSG00000112852|PCDHB2	-0.174638360925467	0.0716829406348265	AD	Control	238
ENSG00000081870|HSPB11	-0.0861077604967483	0.156796063641399	AD	Control	238
ENSG00000082146|STRADB	-0.0673795582881077	0.479694991004245	AD	Control	238
ENSG00000082269|FAM135A	-0.136323713154407	0.0754914613729826	AD	Control	238
ENSG00000082458|DLG3	-0.29341625717146	0.0261365799405532	AD	Control	238
