gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000059804|SLC2A3	-0.054866906	2.23042e-05	AD	Control	160
ENSG00000136960|ENPP2	-0.009569116	2.97322e-05	AD	Control	160
ENSG00000060069|CTDP1	-0.042271776	1.64796e-05	AD	Control	160
ENSG00000060140|STYK1	-0.267405647	5.26593e-06	AD	Control	160
ENSG00000088256|GNA11	-0.035018217	1.60232e-05	AD	Control	160
ENSG00000060566|CREB3L3	0.066180009	2.29276e-05	AD	Control	160
ENSG00000060642|PIGV	0.228698586	3.50655e-10	AD	Control	160
ENSG00000061273|HDAC7	-0.038257999	2.216e-05	AD	Control	160
ENSG00000061794|MRPS35	-0.106096765	2.324e-06	AD	Control	160
ENSG00000026950|BTN3A1	-0.042506261	2.19721e-05	AD	Control	160
ENSG00000062725|APPBP2	0.060784803	1.01315e-05	AD	Control	160
ENSG00000063177|RPL18	-0.258736287	6.98949e-08	AD	Control	160
ENSG00000063180|CA11	-0.269384328	1.35504e-07	AD	Control	160
ENSG00000063241|ISOC2	-0.082039604	3.36667e-06	AD	Control	160
ENSG00000063245|EPN1	-0.011128173	2.77337e-05	AD	Control	160
ENSG00000012124|CD22	-0.432607043	7.73101e-07	AD	Control	160
ENSG00000063515|GSC2	0.083357224	3.06673e-05	AD	Control	160
ENSG00000067646|ZFY	-0.322401781	1.94096e-05	AD	Control	160
ENSG00000069998|HDHD5	-0.073276705	2.88769e-06	AD	Control	160
ENSG00000053918|KCNQ1	-0.046994848	2.45631e-05	AD	Control	160
ENSG00000070985|TRPM5	-0.38587035	3.4147e-06	AD	Control	160
ENSG00000071575|TRIB2	-0.03432773	2.23786e-05	AD	Control	160
ENSG00000068308|OTUD5	-0.114691892	3.7752e-07	AD	Control	160
ENSG00000068394|GPKOW	0.009299813	2.70456e-05	AD	Control	160
ENSG00000021776|AQR	0.016607538	2.29619e-05	AD	Control	160
ENSG00000167759|KLK13	-0.322696305	1.90395e-05	AD	Control	160
ENSG00000129437|KLK14	-0.217531405	6.25967e-06	AD	Control	160
ENSG00000070526|ST6GALNAC1	-0.042294382	2.51487e-05	AD	Control	160
ENSG00000071655|MBD3	-0.066743955	1.71003e-05	AD	Control	160
ENSG00000071282|LMCD1	0.114558029	9.44742e-06	AD	Control	160
ENSG00000013275|PSMC4	-0.074180622	4.21755e-06	AD	Control	160
ENSG00000073598|FNDC8	0.043244489	2.70641e-05	AD	Control	160
ENSG00000004660|CAMKK1	-0.050886821	2.46895e-05	AD	Control	160
ENSG00000071859|FAM50A	-0.302489598	4.12325e-09	AD	Control	160
ENSG00000072818|ACAP1	-0.254025669	6.86323e-07	AD	Control	160
ENSG00000072849|DERL2	0.047821105	1.66404e-05	AD	Control	160
ENSG00000074771|NOX3	0.164264736	1.95655e-05	AD	Control	160
ENSG00000074855|ANO8	0.042414177	1.89049e-05	AD	Control	160
ENSG00000127663|KDM4B	-0.11132395	1.73725e-06	AD	Control	160
ENSG00000073150|PANX2	-0.063708762	2.01926e-05	AD	Control	160
ENSG00000076662|ICAM3	0.069618976	1.24884e-05	AD	Control	160
ENSG00000076826|CAMSAP3	-0.074524354	1.61929e-05	AD	Control	160
ENSG00000077063|CTTNBP2	0.029249569	2.34149e-05	AD	Control	160
ENSG00000077080|ACTL6B	-0.236394435	3.2362e-06	AD	Control	160
ENSG00000147724|FAM135B	0.04600159	2.34513e-05	AD	Control	160
ENSG00000079432|CIC	0.167655258	7.8907e-08	AD	Control	160
