MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	HetISq	HetChiSq	HetDf	HetPVal
ENSG00000164920|OSR2	ad	control	319.00	1.958	0.05022	++	23.8	1.312	1	0.2521
ENSG00000258839|MC1R	ad	control	319.00	-0.454	0.6497	-+	87.2	7.786	1	0.005265
ENSG00000258531|BANF1P1	ad	control	319.00	0.138	0.8901	+-	0.0	0.023	1	0.8806
ENSG00000140396|NCOA2	ad	control	319.00	2.383	0.01717	++	52.4	2.103	1	0.147
ENSG00000102575|ACP5	ad	control	319.00	3.543	0.0003961	++	0.0	0.108	1	0.7419
ENSG00000114686|MRPL3	ad	control	319.00	-0.502	0.6158	--	0.0	0.083	1	0.773
ENSG00000243289|AGAP13P	ad	control	319.00	-0.244	0.8072	--	0.0	0.001	1	0.9741
ENSG00000251401|AC093729.1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000184857|TMEM186	ad	control	319.00	-1.030	0.3032	-+	47.0	1.886	1	0.1697
ENSG00000206404|LY6G5C	ad	control	319.00	0.020	0.9842	+0	0.0	0.000	1	0.9842
ENSG00000189343|RPS2P46	ad	control	319.00	2.598	0.009366	++	0.0	0.892	1	0.3448
ENSG00000188985|DHFRP1	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000217128|FNIP1	ad	control	319.00	-0.071	0.9432	+-	0.0	0.758	1	0.3839
ENSG00000220505|EIF4EBP2P3	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000173456|RNF26	ad	control	319.00	-0.334	0.7381	+-	25.3	1.339	1	0.2472
ENSG00000146701|MDH2	ad	control	319.00	-2.084	0.0372	--	0.0	0.002	1	0.9664
ENSG00000273698|MRPL57P1	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000233210|GPANK1	ad	control	319.00	1.103	0.2699	+-	79.4	4.854	1	0.02757
ENSG00000119660|DPPA5P4	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000270339|AC243756.1	ad	control	319.00	-2.483	0.01303	-0	83.7	6.127	1	0.01332
ENSG00000165694|FRMD7	ad	control	319.00	0.023	0.982	+-	0.0	0.124	1	0.7245
ENSG00000228884|RPL23AP26	ad	control	319.00	-0.696	0.4865	-0	0.0	0.481	1	0.4878
ENSG00000136695|IL36RN	ad	control	319.00	0.000	1	00	0.0	0.000	1	1
ENSG00000125900|SIRPD	ad	control	319.00	0.297	0.7667	+0	0.0	0.087	1	0.7674
ENSG00000242726|RPP21	ad	control	319.00	-0.587	0.5575	--	0.0	0.009	1	0.923
ENSG00000242599|CSAG4	ad	control	319.00	0.792	0.4287	+0	0.0	0.623	1	0.4301
ENSG00000197530|MIB2	ad	control	319.00	-2.723	0.00647	--	77.2	4.391	1	0.03613
ENSG00000156049|GNA14	ad	control	319.00	0.452	0.6511	+-	41.1	1.696	1	0.1927
ENSG00000151292|CSNK1G3	ad	control	319.00	-0.401	0.6881	+-	0.0	0.244	1	0.6213
ENSG00000270799|AC013467.2	ad	control	319.00	-0.016	0.9874	+-	0.0	0.222	1	0.6378
ENSG00000198488|B3GNT6	ad	control	319.00	-0.881	0.3784	-+	78.5	4.651	1	0.03104
ENSG00000124126|PREX1	ad	control	319.00	2.050	0.04039	++	61.0	2.565	1	0.1093
ENSG00000130669|PAK4	ad	control	319.00	2.850	0.00437	++	0.0	0.155	1	0.6938
ENSG00000233921|RPS15AP40	ad	control	159.00	0.000	1	?0	0.0	0.000	0	1
ENSG00000260908|AC009093.3	ad	control	319.00	1.362	0.1732	-+	55.9	2.268	1	0.1321
