gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000167759|KLK13	0.346292038	3.06673e-05	AD	Control	232
ENSG00000129437|KLK14	0.414797851	2.29699e-06	AD	Control	232
ENSG00000070526|ST6GALNAC1	0.154114085	1.05743e-05	AD	Control	232
ENSG00000071655|MBD3	0.136310955	9.48182e-06	AD	Control	232
ENSG00000071282|LMCD1	0.197188463	6.14587e-06	AD	Control	232
ENSG00000013275|PSMC4	-0.252175519	3.46911e-08	AD	Control	232
ENSG00000073598|FNDC8	0.17728152	2.16958e-05	AD	Control	232
ENSG00000004660|CAMKK1	-0.359170748	5.3588e-08	AD	Control	232
ENSG00000071859|FAM50A	0.059727924	1.92627e-05	AD	Control	232
ENSG00000072818|ACAP1	0.248419782	2.56957e-07	AD	Control	232
ENSG00000072849|DERL2	0.142451557	1.25976e-06	AD	Control	232
ENSG00000074771|NOX3	0.079553489	2.64061e-05	AD	Control	232
ENSG00000074855|ANO8	0.165325565	6.22799e-06	AD	Control	232
ENSG00000127663|KDM4B	0.171740745	3.65747e-06	AD	Control	232
ENSG00000073150|PANX2	0.029016997	2.74243e-05	AD	Control	232
ENSG00000076662|ICAM3	-0.080515321	1.82141e-05	AD	Control	232
ENSG00000076826|CAMSAP3	-0.188724272	6.75993e-06	AD	Control	232
ENSG00000077063|CTTNBP2	-0.046860097	1.56689e-05	AD	Control	232
ENSG00000077080|ACTL6B	-0.496649469	3.4065e-09	AD	Control	232
ENSG00000147724|FAM135B	-0.260286576	2.25233e-07	AD	Control	232
ENSG00000079432|CIC	0.361714098	9.56301e-07	AD	Control	232
ENSG00000079616|KIF22	-0.111765558	3.74315e-06	AD	Control	232
ENSG00000079385|CEACAM1	0.06169624	1.94278e-05	AD	Control	232
ENSG00000047188|YTHDC2	-0.207097837	2.5033e-07	AD	Control	232
ENSG00000064545|TMEM161A	0.038988266	2.3521e-05	AD	Control	232
ENSG00000050820|BCAR1	0.276231175	1.7779e-06	AD	Control	232
ENSG00000065970|FOXJ2	0.179403127	8.50477e-08	AD	Control	232
ENSG00000067182|TNFRSF1A	0.611065287	1.19712e-12	AD	Control	232
ENSG00000066455|GOLGA5	0.082261651	9.68865e-06	AD	Control	232
ENSG00000067365|METTL22	-0.073328626	1.44624e-05	AD	Control	232
ENSG00000008300|CELSR3	-0.19114025	3.03356e-06	AD	Control	232
ENSG00000068971|PPP2R5B	-0.237897147	1.07973e-07	AD	Control	232
ENSG00000068976|PYGM	0.354753632	4.77989e-07	AD	Control	232
ENSG00000069399|BCL3	0.682264067	6.04756e-08	AD	Control	232
ENSG00000069424|KCNAB2	-0.343414654	8.77302e-08	AD	Control	232
ENSG00000069943|PIGB	-0.000271205	3.05895e-05	AD	Control	232
ENSG00000067840|PDZD4	-0.203659551	3.37624e-06	AD	Control	232
ENSG00000185864|NPIPB4	0.161197592	2.92201e-06	AD	Control	232
ENSG00000068615|REEP1	-0.327124044	2.97408e-09	AD	Control	232
ENSG00000070404|FSTL3	0.415900088	6.70822e-08	AD	Control	232
ENSG00000070886|EPHA8	-0.159818054	1.0225e-05	AD	Control	232
ENSG00000071539|TRIP13	-0.056067047	2.05109e-05	AD	Control	232
ENSG00000072682|P4HA2	0.10347926	8.55322e-06	AD	Control	232
ENSG00000071246|VASH1	0.143049355	7.9124e-06	AD	Control	232
ENSG00000071994|PDCD2	-0.03544189	2.12417e-05	AD	Control	232
ENSG00000073350|LLGL2	0.272870118	6.61805e-07	AD	Control	232
ENSG00000186847|KRT14	1.518374627	8.63872e-06	AD	Control	232
ENSG00000171431|KRT20	0.564255343	7.97057e-06	AD	Control	232
ENSG00000074964|ARHGEF10L	0.3481387	7.25239e-08	AD	Control	232
ENSG00000072080|SPP2	0.120197437	1.13271e-05	AD	Control	232
ENSG00000072506|HSD17B10	0.054724463	2.00661e-05	AD	Control	232
ENSG00000076344|RGS11	0.001368056	3.04859e-05	AD	Control	232
ENSG00000077009|NMRK2	0.599532245	4.78473e-06	AD	Control	232
ENSG00000127241|MASP1	0.593650047	2.98207e-11	AD	Control	232
ENSG00000073849|ST6GAL1	0.35893529	2.00746e-11	AD	Control	232
ENSG00000075336|TIMM21	0.013564357	2.81967e-05	AD	Control	232
ENSG00000078898|BPIFB2	0.511292902	3.06673e-05	AD	Control	232
ENSG00000079313|REXO1	-0.054975518	2.39949e-05	AD	Control	232
ENSG00000075975|MKRN2	-0.07326335	6.69559e-06	AD	Control	232
ENSG00000076650|GPATCH1	-0.013471733	2.56741e-05	AD	Control	232
ENSG00000077238|IL4R	0.66427946	1.93446e-09	AD	Control	232
ENSG00000079999|KEAP1	0.123743951	7.64901e-06	AD	Control	232
ENSG00000078589|P2RY10	0.820923358	2.31502e-06	AD	Control	232
ENSG00000079308|TNS1	0.717921531	5.48463e-12	AD	Control	232
ENSG00000064300|NGFR	1.095877298	2.69196e-11	AD	Control	232
ENSG00000183091|NEB	0.229593602	2.50689e-07	AD	Control	232
ENSG00000065320|NTN1	0.561524022	1.42299e-08	AD	Control	232
ENSG00000066583|ISOC1	0.008088954	2.93432e-05	AD	Control	232
ENSG00000067082|KLF6	0.432917599	2.14741e-11	AD	Control	232
ENSG00000067445|TRO	-0.384970551	5.26366e-14	AD	Control	232
ENSG00000070444|MNT	0.19236009	3.48075e-06	AD	Control	232
ENSG00000070718|AP3M2	-0.32371737	1.67412e-08	AD	Control	232
ENSG00000068697|LAPTM4A	0.354381501	2.36906e-07	AD	Control	232
ENSG00000069206|ADAM7	-0.437623305	6.22356e-07	AD	Control	232
ENSG00000070669|ASNS	-0.327078833	2.48584e-09	AD	Control	232
ENSG00000072135|PTPN18	-0.001499752	3.03276e-05	AD	Control	232
ENSG00000069696|DRD4	0.087357419	1.94052e-05	AD	Control	232
