Gene,AD vs Control: Parietal White Matter - Log2(fold change) - RIN Corrected,AD vs Control: White Matter - SVA P-value -  RIN corrected
SLC41A3,0.127,2.55E-01
SLC43A2,0.101,3.30E-01
SLC43A3,-0.036,4.52E-01
SLC44A1,-0.433,1.01E-01
SLC44A2,-0.121,2.86E-01
SLC44A3,-0.015,6.92E-01
SLC44A5,0.072,3.78E-01
SLC45A1,0.148,2.43E-01
SLC45A3,-0.414,1.46E-01
SLC45A4,0.137,2.97E-01
SLC46A1,0.010,8.12E-01
SLC46A3,-0.030,9.62E-01
SLC47A1,0.034,4.89E-01
SLC47A2,0.151,1.87E-01
SLC48A1,-0.135,2.34E-01
SLC4A10,0.198,4.20E-01
SLC4A1AP,0.032,7.96E-01
SLC4A2,-0.106,4.33E-01
SLC4A3,0.513,5.63E-02
SLC4A4,0.080,2.63E-01
SLC4A5,-0.118,2.14E-01
SLC4A7,0.242,1.26E-01
SLC4A8,0.022,7.28E-01
SLC50A1,-0.005,6.96E-01
SLC52A2,0.013,6.99E-01
SLC52A3,0.096,7.93E-01
SLC5A11,-0.674,7.23E-02
SLC5A3,0.326,1.23E-01
SLC5A5,0.052,5.25E-01
SLC5A6,0.165,1.22E-01
SLC6A1,-0.112,3.58E-01
SLC6A1-AS1,-0.119,3.21E-01
SLC6A10P,-0.135,6.34E-01
SLC6A11,0.299,9.70E-02
SLC6A12,0.405,5.63E-02
SLC6A13,0.204,2.43E-01
SLC6A15,-0.089,6.89E-01
SLC6A17,0.462,1.56E-01
SLC6A20,0.054,9.60E-01
SLC6A21P,-0.065,3.25E-01
SLC6A4,-0.033,5.23E-01
SLC6A6,-0.047,6.74E-01
SLC6A7,0.444,1.56E-01
SLC6A8,-0.247,1.31E-01
SLC6A9,-0.147,5.24E-01
SLC7A1,0.061,4.66E-01
SLC7A10,0.300,7.22E-02
SLC7A11,0.092,6.76E-01
SLC7A11-AS1,0.181,1.02E-01
SLC7A14,-0.255,1.59E-01
SLC7A2,0.028,4.26E-01
SLC7A4,0.225,1.29E-01
SLC7A5,0.191,5.63E-01
SLC7A5P1,0.220,1.57E-01
SLC7A5P2,0.071,7.44E-01
SLC7A6,0.049,4.30E-01
SLC7A6OS,-0.051,4.71E-01
SLC7A7,-0.105,7.52E-01
SLC7A8,0.262,1.65E-01
SLC8A1,0.120,3.79E-01
SLC8A1-AS1,0.168,1.26E-01
SLC8A2,0.419,8.47E-02
SLC8A3,0.114,5.34E-01
SLC8B1,-0.104,1.59E-01
SLC9A1,0.315,8.84E-02
SLC9A2,0.051,2.94E-01
SLC9A3R1,0.029,9.80E-01
SLC9A3R2,0.058,9.49E-01
SLC9A5,0.296,8.28E-02
SLC9A6,-0.048,7.76E-01
SLC9A7,0.141,2.98E-01
SLC9A7P1,0.223,9.93E-02
SLC9A8,0.030,9.82E-01
SLC9A9,-0.101,5.79E-01
SLC9B1,-0.273,7.49E-02
SLC9B2,0.050,4.76E-01
SLCO1A2,-0.413,1.02E-01
SLCO1C1,-0.004,5.94E-01
SLCO2B1,-0.215,1.94E-01
SLCO3A1,-0.238,1.23E-01
SLCO4A1,0.225,2.53E-01
SLED1,-0.145,6.34E-01
SLFN11,-0.012,9.76E-01
SLFN12,-0.059,5.00E-01
SLFN5,-0.226,1.94E-01
SLFNL1,0.067,3.21E-01
SLFNL1-AS1,-0.019,7.59E-01
SLIRP,-0.108,2.25E-01
SLIT1,0.403,1.30E-01
SLIT2,0.247,1.75E-01
SLIT3,0.196,3.20E-01
SLITRK1,-0.035,8.56E-01
SLITRK2,0.009,7.89E-01
SLITRK3,0.263,1.68E-01
SLITRK4,0.219,2.55E-01
SLITRK5,0.358,6.98E-02
SLK,-0.112,9.86E-02
SLMAP,0.006,8.15E-01
SLMO1,-0.012,9.89E-01
SLMO2,-0.213,9.93E-02
SLMO2-ATP5E,0.048,9.67E-01
SLTM,-0.083,2.82E-01
SLU7,0.009,8.79E-01
SLX1A,-0.014,8.00E-01
SLX1A-SULT1A3,0.229,4.09E-01
SLX1B,-0.014,8.00E-01
SLX1B-SULT1A4,-0.012,8.03E-01
SLX4,0.037,9.82E-01
SLX4IP,-0.107,2.83E-01
SMA4,-0.210,2.33E-01
SMA5,-0.216,2.50E-01
SMAD1,0.042,7.70E-01
SMAD1-AS2,0.206,1.52E-01
SMAD2,-0.143,7.27E-02
SMAD3,0.154,1.38E-01
SMAD4,-0.015,9.99E-01
SMAD5,-0.089,1.77E-01
SMAD6,0.022,9.36E-01
SMAD7,0.021,9.49E-01
SMAD9,-0.232,1.60E-01
SMAP1,-0.092,6.65E-01
SMAP2,0.066,3.89E-01
SMARCA1,0.138,7.27E-02
SMARCA2,0.078,2.72E-01
SMARCA4,0.094,4.14E-01
SMARCA5,-0.129,1.29E-01
SMARCAD1,-0.015,4.58E-01
SMARCAL1,-0.035,3.71E-01
SMARCB1,0.004,6.15E-01
SMARCC1,-0.094,3.20E-01
SMARCC2,0.081,2.94E-01
SMARCD1,-0.025,2.86E-01
SMARCD2,-0.185,9.47E-02
SMARCD3,0.231,6.86E-02
SMARCE1,-0.112,1.48E-01
SMARCE1P5,0.083,4.37E-01
SMC1A,-0.003,9.99E-01
SMC2,0.015,8.34E-01
SMC3,-0.036,5.21E-01
SMC4,-0.130,1.32E-01
SMC5,-0.110,1.20E-01
SMC6,0.025,5.34E-01
SMCHD1,-0.015,7.91E-01
SMCO4,-0.011,5.89E-01
SMCR5,0.072,4.68E-01
SMCR8,0.036,6.12E-01
SMDT1,0.002,9.77E-01
SMEK1,-0.020,6.26E-01
SMEK2,-0.034,6.36E-01
SMG1,-0.016,8.56E-01
SMG1P1,-0.013,8.94E-01
SMG1P2,-0.042,6.47E-01
SMG1P3,0.009,9.95E-01
SMG1P4,-0.005,8.95E-01
SMG1P5,-0.258,2.15E-01
SMG1P6,-0.205,1.12E-01
SMG1P7,0.133,2.47E-01
SMG5,0.007,9.87E-01
SMG6,0.006,6.42E-01
SMG7,0.138,7.35E-02
SMG8,-0.017,7.25E-01
SMG9,-0.005,9.61E-01
SMIM10,-0.033,5.27E-01
SMIM11,-0.046,5.81E-01
SMIM11P1,-0.014,8.70E-01
SMIM12,0.076,5.16E-01
SMIM13,-0.043,8.11E-01
SMIM14,-0.178,5.69E-02
SMIM15,-0.163,6.72E-02
SMIM17,0.031,7.48E-01
SMIM18,-0.022,6.32E-01
SMIM19,-0.056,7.32E-01
SMIM20,-0.071,6.46E-01
SMIM3,0.073,4.02E-01
SMIM4,0.041,5.17E-01
SMIM5,-0.175,3.03E-01
SMIM6,-0.301,7.16E-02
SMIM7,-0.072,9.60E-02
SMIM8,-0.038,9.72E-01
SMKR1,0.102,5.79E-01
SMN1,-0.076,3.45E-01
SMN2,0.041,9.85E-01
SMNDC1,-0.054,6.28E-01
SMO,0.027,8.15E-01
SMOC1,-0.317,1.61E-01
SMOC2,0.096,9.31E-01
SMOX,-0.080,5.84E-01
SMPD1,-0.079,4.19E-01
SMPD2,0.006,9.84E-01
SMPD3,0.152,1.91E-01
SMPD4,0.054,5.39E-01
SMPDL3A,-0.037,9.56E-01
SMPX,0.027,8.20E-01
SMS,-0.054,7.31E-01
SMTN,0.091,4.93E-01
SMU1,-0.075,1.19E-01
SMUG1,-0.002,9.10E-01
SMURF1,-0.149,2.52E-02
SMURF2,-0.013,3.87E-01
SMYD2,0.102,4.50E-01
SMYD3,0.066,4.74E-01
SMYD4,-0.003,9.20E-01
SMYD5,0.088,2.55E-01
SNAI3,0.241,1.11E-01
SNAI3-AS1,0.221,1.40E-01
SNAP23,-0.115,3.99E-01
SNAP25,0.195,5.34E-01
SNAP25-AS1,-0.181,5.65E-01
SNAP29,-0.038,2.79E-01
SNAP47,0.193,1.35E-01
SNAP91,0.215,3.27E-01
SNAPC1,-0.059,5.99E-01
SNAPC2,0.039,6.82E-01
SNAPC3,0.018,3.69E-01
SNAPC4,0.120,1.22E-01
SNAPC5,-0.040,8.32E-01
SNAPIN,-0.002,9.30E-01
SNAR-B1,0.224,7.67E-01
SNAR-B2,0.224,7.67E-01
SNCA,0.025,6.65E-01
SNCAIP,-0.001,8.88E-01
SNCB,0.431,2.64E-01
SNCG,0.257,4.44E-01
SND1,-0.032,5.35E-01
SND1-IT1,0.122,1.75E-01
SNED1,0.039,9.32E-01
SNF8,-0.020,5.64E-01
SNHG1,-0.046,5.71E-01
SNHG10,-0.004,5.74E-01
SNHG11,-0.064,4.19E-01
SNHG12,-0.050,8.93E-01
SNHG15,-0.077,3.22E-01
SNHG16,-0.009,8.25E-01
SNHG17,0.024,9.58E-01
SNHG18,-0.103,5.99E-01
SNHG19,-0.019,5.79E-01
SNHG20,0.006,9.31E-01
SNHG21,0.052,6.89E-01
SNHG24,0.143,2.25E-01
SNHG3,-0.009,8.98E-01
SNHG4,0.063,6.13E-01
SNHG5,-0.276,2.16E-01
SNHG6,-0.118,1.68E-01
SNHG7,0.015,9.71E-01
SNHG8,-0.108,4.08E-01
SNHG9,-0.100,5.28E-01
SNIP1,0.000,9.62E-01
SNN,0.261,7.15E-02
SNORA10,0.059,9.06E-01
SNORA11,-0.085,9.51E-01
SNORA12,0.028,8.03E-01
SNORA13,0.188,7.46E-01
SNORA14A,-0.078,7.28E-01
SNORA14B,0.329,6.47E-01
SNORA16A,-0.039,9.09E-01
SNORA18,-0.114,5.49E-01
SNORA20,-0.050,6.19E-01
SNORA21,-0.109,6.27E-01
SNORA22,-0.150,4.05E-01
SNORA23,0.044,8.25E-01
SNORA24,0.107,8.67E-01
SNORA26,0.059,9.84E-01
SNORA27,0.177,7.42E-01
SNORA28,0.042,8.95E-01
SNORA2A,0.113,9.91E-01
SNORA31,0.106,8.14E-01
SNORA33,-0.102,7.93E-01
SNORA34,-0.022,8.81E-01
SNORA37,0.027,7.71E-01
SNORA38,0.096,8.71E-01
SNORA38B,0.183,7.66E-01
SNORA4,0.031,9.10E-01
SNORA40,-0.008,6.61E-01
SNORA43,0.030,8.20E-01
SNORA44,0.118,8.44E-01
SNORA45A,0.332,1.66E-01
SNORA45B,0.380,4.41E-01
SNORA46,0.107,9.07E-01
SNORA47,-0.124,5.32E-01
SNORA48,-0.017,9.67E-01
SNORA49,0.023,8.07E-01
SNORA51,0.076,9.37E-01
SNORA52,-0.037,7.93E-01
SNORA53,-0.131,2.94E-01
SNORA54,-0.126,5.09E-01
SNORA55,0.203,7.17E-01
SNORA57,0.105,9.54E-01
SNORA59A,0.112,8.08E-01
SNORA59B,0.112,8.08E-01
SNORA5A,0.025,8.92E-01
SNORA5C,-0.029,9.93E-01
SNORA6,0.005,9.73E-01
SNORA60,0.065,8.00E-01
SNORA61,0.069,9.32E-01
SNORA62,0.250,4.07E-01
SNORA63,-0.138,3.16E-01
SNORA64,0.170,9.10E-01
SNORA65,0.008,7.21E-01
SNORA66,-0.023,9.85E-01
SNORA67,0.086,9.32E-01
SNORA68,0.199,8.07E-01
SNORA70,-0.195,2.92E-01
SNORA71A,0.081,8.32E-01
SNORA71B,-0.143,5.41E-01
SNORA71C,-0.156,5.42E-01
SNORA71D,0.172,9.87E-01
SNORA72,0.038,9.62E-01
SNORA73A,0.119,3.50E-01
SNORA73B,0.185,2.96E-01
SNORA74A,-0.078,6.67E-01
SNORA74B,0.001,9.51E-01
SNORA75,0.190,7.02E-01
SNORA76A,-0.021,4.67E-01
SNORA76C,-0.155,4.06E-01
SNORA77,0.170,3.18E-01
SNORA78,0.355,4.30E-01
SNORA7A,-0.180,5.05E-01
SNORA7B,-0.248,1.45E-01
SNORA8,-0.086,6.26E-01
SNORA80A,0.068,9.66E-01
SNORA80B,0.133,7.67E-01
SNORA80E,-0.106,7.36E-01
SNORA81,0.318,1.43E-01
SNORA84,0.138,7.09E-01
SNORA9,0.023,8.03E-01
SNORD10,-0.058,6.41E-01
SNORD110,-0.066,4.24E-01
SNORD115@,0.285,8.49E-02
SNORD116-15,0.505,4.23E-01
SNORD116-16,0.484,5.65E-01
SNORD116-17,0.322,2.14E-01
SNORD116-18,0.235,8.57E-01
SNORD116-19,0.322,2.14E-01
SNORD116-20,0.256,5.57E-01
SNORD116-21,0.029,6.44E-01
SNORD116-22,0.300,4.46E-01
SNORD116-24,0.308,6.47E-01
SNORD116-3,0.727,9.59E-02
SNORD116-8,0.462,3.53E-01
SNORD116-9,0.727,9.59E-02
SNORD116@,0.155,1.45E-01
SNORD118,0.037,7.67E-01
SNORD13,-0.176,6.96E-01
SNORD13P2,-0.084,7.78E-01
SNORD14C,-0.036,9.26E-01
SNORD15A,-0.051,7.03E-01
SNORD15B,0.027,9.21E-01
SNORD16,-0.032,8.73E-01
SNORD17,0.008,7.89E-01
SNORD21,0.114,9.63E-01
SNORD22,0.163,8.92E-01
SNORD32A,-0.089,9.94E-01
SNORD33,-0.042,7.25E-01
SNORD3A,0.134,7.92E-01
SNORD3B-1,-0.538,4.32E-01
SNORD3B-2,-0.538,4.32E-01
SNORD3D,0.391,2.50E-01
SNORD46,-0.030,6.39E-01
SNORD55,-0.079,9.38E-01
SNORD67,0.158,6.77E-01
SNORD8,-0.066,6.13E-01
SNORD89,0.440,5.63E-01
SNORD9,0.330,3.18E-01
SNORD94,0.163,9.68E-01
SNORD95,0.040,9.11E-01
SNORD97,-0.127,3.79E-01
SNPH,0.683,6.39E-02
SNRK,0.091,4.02E-01
SNRNP200,0.010,9.19E-01
SNRNP25,0.045,6.29E-01
SNRNP27,-0.046,2.15E-01
SNRNP35,-0.033,4.89E-01
SNRNP40,-0.137,1.57E-01
SNRNP48,-0.004,8.01E-01
SNRNP70,-0.067,3.37E-01
SNRPA,-0.028,5.50E-01
SNRPA1,-0.022,3.85E-01
SNRPB,-0.019,3.73E-01
SNRPB2,-0.119,1.19E-01
SNRPC,-0.048,3.76E-01
SNRPCP11,0.010,7.64E-01
SNRPCP12,0.057,4.44E-01
SNRPCP14,0.049,5.37E-01
SNRPCP15,0.044,6.11E-01
SNRPCP3,0.131,9.67E-02
SNRPCP6,-0.028,9.42E-01
SNRPCP7,0.093,1.37E-01
SNRPCP9,0.153,1.61E-01
SNRPD1,-0.072,2.01E-01
SNRPD2,-0.022,6.42E-01
SNRPD3,-0.100,1.47E-01
SNRPE,-0.158,5.10E-02
SNRPF,-0.086,3.22E-01
SNRPG,-0.119,3.30E-01
SNRPGP10,0.073,7.87E-01
SNRPGP15,-0.030,5.95E-01
SNRPGP4,0.081,5.91E-01
SNRPN,-0.023,7.17E-01
SNTA1,0.259,7.62E-02
SNTB1,-0.046,8.67E-01
SNTB2,0.038,2.49E-01
SNTG1,0.291,1.59E-01
SNTN,-0.056,7.82E-01
SNUPN,0.059,2.35E-01
SNURF,-0.029,7.62E-01
SNW1,-0.044,2.13E-01
SNX1,-0.160,7.27E-02
SNX10,-0.037,7.70E-01
SNX11,-0.011,6.53E-01
SNX12,-0.001,9.93E-01
SNX13,-0.020,7.48E-01
SNX14,-0.045,5.99E-01
SNX15,0.018,9.17E-01
SNX16,0.014,5.75E-01
SNX17,-0.031,5.01E-01
SNX18,-0.183,1.26E-01
SNX18P10,-0.078,5.28E-01
SNX18P11,-0.046,6.07E-01
SNX18P12,-0.139,2.90E-01
SNX18P13,0.103,6.47E-01
SNX18P14,0.109,5.34E-01
SNX18P1Y,-0.039,5.28E-01
SNX18P23,0.071,3.88E-01
SNX18P3,-0.217,3.73E-01
SNX18P4,0.280,4.08E-01
SNX18P5,0.093,2.98E-01
SNX18P7,0.278,1.14E-01
SNX18P8,0.105,4.18E-01
SNX18P9,0.396,7.27E-02
SNX19,-0.086,3.74E-01
SNX2,-0.045,6.55E-01
SNX21,0.096,9.88E-02
SNX22,-0.242,1.37E-01
SNX24,-0.149,8.55E-02
SNX25,0.071,2.40E-01
SNX27,0.033,4.38E-01
SNX29,-0.213,8.84E-02
SNX29P2,-0.080,3.65E-01
SNX2P1,-0.073,4.80E-01
SNX2P2,-0.148,4.52E-01
SNX3,-0.010,7.52E-01
SNX30,-0.202,9.60E-02
SNX32,0.204,9.60E-02
SNX33,0.102,2.12E-01
SNX4,-0.147,1.10E-01
SNX5,-0.124,1.27E-01
SNX5P2,-0.149,3.25E-01
SNX6,-0.248,9.74E-02
SNX7,-0.059,9.21E-01
SNX8,-0.045,1.72E-01
SNX9,-0.111,2.47E-01
SOAT1,0.038,7.63E-01
SOBP,0.117,1.09E-01
SOCS2,0.110,2.13E-01
SOCS3,-0.132,7.27E-01
SOCS4,-0.104,1.96E-01
SOCS5,-0.032,8.13E-01
SOCS5P2,0.027,8.44E-01
SOCS5P4,0.016,3.98E-01
SOCS6,-0.153,2.11E-01
SOCS7,0.090,1.88E-01
SOD1,0.024,7.99E-01
SOD2,-0.028,9.03E-01
SOGA1,-0.040,3.85E-01
SOGA3,0.123,2.03E-01
SOHLH1,0.538,5.64E-02
SON,-0.054,1.62E-01
SORBS1,0.115,1.65E-01
SORBS2,0.384,1.11E-01
SORBS3,-0.019,5.70E-01
SORCS1,0.257,2.32E-01
SORCS2,-0.204,1.46E-01
SORCS3,0.059,7.10E-01
SORD,-0.073,1.74E-01
SORL1,-0.041,8.89E-01
SORT1,-0.263,1.00E-01
SOS1,-0.027,8.73E-01
SOS2,-0.135,1.50E-01
SOSTDC1,0.099,4.64E-01
SOWAHA,0.177,1.33E-01
SOWAHB,0.144,4.31E-01
SOWAHC,-0.098,2.27E-01
SOX10,-0.244,2.35E-01
SOX12,0.035,7.41E-01
SOX13,-0.053,6.01E-01
SOX2,-0.037,5.84E-01
SOX2-OT,-0.428,9.68E-02
SOX21,0.039,5.87E-01
SOX21-AS1,-0.022,9.12E-01
SOX4,0.073,8.89E-01
SOX5,0.229,7.35E-02
SOX6,0.017,7.65E-01
SOX8,-0.217,2.28E-01
SOX9,0.038,5.88E-01
SOX9-AS1,-0.031,9.87E-01
SP1,-0.087,3.69E-01
SP100,-0.081,4.65E-01
SP110,-0.134,2.71E-01
SP140L,-0.003,8.10E-01
SP2,-0.032,5.35E-01
SP2-AS1,-0.049,3.19E-01
SP3,-0.058,3.56E-01
SP4,-0.081,2.92E-01
SPA17,-0.017,8.55E-01
SPACA6P,0.086,6.62E-01
SPAG1,0.087,1.34E-01
SPAG16,-0.108,1.30E-01
SPAG17,0.049,6.98E-02
SPAG5,0.305,8.06E-02
SPAG6,0.016,9.17E-01
SPAG7,0.021,9.86E-01
SPAG8,0.003,6.76E-01
SPAG9,-0.122,1.62E-01
SPARC,-0.215,3.43E-01
SPARCL1,-0.081,8.93E-01
SPAST,-0.136,8.65E-02
SPATA1,-0.124,5.48E-01
SPATA13,-0.166,3.62E-01
SPATA17,0.080,4.97E-01
SPATA18,0.073,1.22E-01
SPATA2,0.186,7.49E-02
SPATA20,0.022,8.79E-01
SPATA24,-0.037,8.41E-01
SPATA25,-0.008,8.32E-01
SPATA2L,0.125,2.85E-01
SPATA31C1,0.055,1.61E-01
SPATA31C2,-0.006,4.03E-01
SPATA31E1,-0.004,5.82E-01
SPATA33,0.143,1.42E-01
SPATA5,-0.023,4.17E-01
SPATA5L1,-0.057,3.58E-01
SPATA6,-0.274,1.25E-01
SPATA6L,0.074,2.30E-01
SPATA7,-0.140,2.14E-01
SPATC1L,0.141,1.90E-01
SPATS2,0.175,9.27E-02
SPATS2L,0.097,3.02E-01
SPC24,-0.059,8.81E-01
SPC25,-0.052,3.99E-01
SPCS1,-0.126,1.66E-01
SPCS2,-0.145,6.23E-02
SPCS2P2,-0.094,2.64E-01
SPCS2P4,-0.156,9.60E-01
SPCS3,-0.174,1.75E-01
SPDL1,-0.198,6.80E-02
SPDYE1,0.047,4.64E-01
SPDYE10P,0.010,9.94E-01
SPDYE11,0.028,8.59E-01
SPDYE17,0.120,1.35E-01
SPDYE18,0.010,5.44E-01
SPDYE19P,-0.016,8.17E-01
SPDYE2,0.077,9.57E-01
SPDYE21P,0.065,8.41E-01
SPDYE2B,0.162,7.31E-01
SPDYE3,0.007,9.78E-01
SPDYE5,0.003,4.70E-01
SPDYE6,0.166,4.08E-01
SPDYE9P,-0.174,3.45E-01
SPECC1,-0.022,5.42E-01
SPECC1L,0.090,2.07E-01
SPECC1L-ADORA2A,0.133,3.08E-01
SPEF1,0.138,2.84E-01
SPEF2,0.160,2.39E-01
SPEG,0.203,1.71E-01
SPEN,0.008,9.10E-01
SPG11,-0.102,2.13E-01
SPG20,-0.041,6.88E-01
SPG21,-0.064,4.39E-01
SPG7,0.027,9.63E-01
SPHK2,0.156,2.52E-01
SPHKAP,-0.026,9.62E-01
SPI1,-0.053,7.19E-01
SPIB,-0.022,6.17E-01
SPICE1,0.041,4.77E-01
SPIDR,0.095,1.46E-01
SPIN1,-0.003,7.14E-01
SPIN2A,0.120,8.24E-01
SPIN2B,0.020,9.01E-01
SPIN3,-0.004,8.89E-01
SPIN4,-0.066,1.59E-01
SPINT2,0.008,7.39E-01
SPIRE1,0.059,1.20E-01
SPIRE2,0.197,1.22E-01
SPN,-0.052,8.59E-01
SPNS1,0.004,8.52E-01
SPNS2,-0.026,3.90E-01
SPOCK1,-0.217,1.85E-01
SPOCK2,0.384,8.87E-02
SPOCK3,-0.510,7.14E-02
SPON1,-0.154,5.88E-01
SPOP,-0.009,7.98E-01
SPOPL,-0.138,1.26E-01
SPP1,-0.267,5.99E-01
SPP2,-0.014,8.39E-01
SPPL2A,-0.057,4.84E-01
SPPL2B,0.020,8.91E-01
SPPL3,0.009,9.91E-01
SPR,0.190,2.47E-01
SPRED1,-0.087,5.88E-01
SPRED2,0.161,1.09E-01
SPRED3,-0.011,5.71E-01
SPRN,0.100,3.30E-01
SPRTN,-0.078,2.74E-01
SPRY1,0.057,3.82E-01
SPRY2,0.066,2.49E-01
SPRY3,0.028,6.19E-01
SPRY4,0.049,7.67E-01
SPRYD3,0.051,5.64E-01
SPRYD4,-0.074,2.22E-01
SPRYD7,-0.043,7.82E-01
SPSB1,-0.145,3.92E-01
SPSB2,-0.042,7.30E-01
SPSB3,0.002,8.19E-01
SPTAN1,0.144,2.98E-01
SPTB,0.151,2.59E-01
SPTBN1,0.039,8.23E-01
SPTBN2,0.564,7.31E-02
SPTBN4,0.592,5.92E-02
SPTLC1,-0.070,2.37E-01
SPTLC1P1,-0.049,8.87E-01
SPTLC2,-0.384,1.08E-01
SPTSSA,-0.200,1.05E-01
SPTSSB,0.019,5.58E-01
SPTY2D1,-0.009,8.77E-01
SPX,-0.208,2.19E-01
SQLE,-0.110,2.20E-01
SQRDL,-0.072,5.22E-01
SQSTM1,0.009,9.98E-01
SRA1,0.023,8.99E-01
SRBD1,-0.123,7.16E-02
SRC,0.378,5.69E-02
SRCAP,0.046,9.40E-01
SRCIN1,-0.074,2.96E-01
SRD5A1,0.023,6.18E-01
SRD5A3,-0.207,8.78E-02
SREBF1,-0.136,2.64E-01
SREBF2,0.253,5.47E-02
SREK1,-0.004,7.38E-01
SREK1IP1,-0.056,3.50E-01
SRF,0.162,1.00E-01
SRFBP1,-0.041,3.41E-01
SRGAP1,-0.019,8.57E-01
SRGAP2,-0.080,3.97E-01
SRGAP2-AS1,-0.019,6.42E-01
SRGAP2B,-0.059,9.61E-01
SRGAP2C,-0.159,1.35E-01
SRGAP2D,-0.004,9.80E-01
SRGAP3,0.135,2.14E-01
SRGAP3-AS3,0.120,1.86E-01
SRGN,-0.021,8.65E-01
SRI,-0.011,6.45E-01
SRM,0.014,8.44E-01
SRMP2,0.180,1.09E-01
SRP14,-0.038,8.64E-01
SRP14-AS1,-0.119,1.61E-01
SRP19,-0.053,5.15E-01
SRP54,-0.125,8.05E-02
SRP54-AS1,0.062,5.40E-01
SRP68,-0.008,8.27E-01
SRP68P1,0.182,2.47E-01
SRP68P2,-0.041,8.58E-01
SRP68P3,0.164,9.31E-02
SRP72,-0.047,5.28E-01
SRP72P2,0.046,4.22E-01
SRP9,-0.173,1.26E-01
SRPK1,0.131,1.33E-01
SRPK2,-0.106,7.01E-02
SRPK3,-0.054,3.46E-01
SRPR,0.049,3.97E-01
SRPRB,-0.054,9.72E-01
SRPX,-0.233,3.00E-01
SRPX2,-0.049,4.59E-01
SRR,-0.011,7.00E-01
SRRD,0.043,4.99E-01
SRRM1,-0.175,1.11E-01
SRRM2,0.050,9.54E-01
SRRM2-AS1,-0.073,1.59E-01
SRRM3,0.668,5.63E-02
SRRM4,0.483,9.87E-02
SRRT,0.011,8.61E-01
SRSF1,-0.092,5.83E-02
SRSF10,-0.029,7.45E-01
SRSF11,-0.060,2.41E-01
SRSF11P1,0.194,8.69E-02
SRSF12,0.073,5.02E-01
SRSF2,-0.078,1.92E-01
SRSF3,0.013,9.47E-01
SRSF4,0.012,9.49E-01
SRSF5,-0.095,7.14E-02
SRSF6,0.011,7.92E-01
SRSF7,0.011,8.80E-01
SRSF8,-0.046,2.99E-01
SRSF9,-0.027,6.69E-01
SRXN1,0.168,1.58E-01
SS18,-0.099,2.32E-01
SS18L1,-0.022,8.97E-01
SS18L2,-0.084,8.23E-01
SS18L2P2,-0.308,1.06E-01
SSB,0.004,9.16E-01
SSBP1,-0.056,2.30E-01
SSBP2,-0.004,7.44E-01
SSBP3,0.176,1.61E-01
SSBP3-AS1,0.160,7.42E-02
SSBP4,0.252,1.57E-01
SSFA2,-0.001,8.01E-01
SSH1,0.250,3.63E-02
SSH2,-0.162,1.33E-01
SSH3,-0.046,6.62E-01
SSNA1,0.046,9.98E-01
SSPN,-0.198,2.66E-01
SSR1,-0.148,7.70E-02
SSR2,-0.032,5.20E-01
SSR3,-0.161,9.31E-02
SSR4,-0.153,9.11E-02
SSRP1,0.047,6.75E-01
SSSCA1,0.119,4.11E-01
SST,-0.334,3.59E-01
SSTR1,0.056,2.15E-01
SSTR2,0.117,3.77E-01
SSTR3,0.315,1.31E-01
SSU72,0.086,2.34E-01
SSX2IP,0.162,2.63E-01
SSXP10,0.082,2.79E-01
ST13,-0.178,8.69E-02
ST13P12,-0.005,9.77E-01
ST13P17,-0.097,3.95E-01
ST13P20,0.052,3.90E-01
ST13P22,-0.123,1.69E-01
ST18,-0.511,8.62E-02
ST20,0.043,5.68E-01
ST3GAL1,0.039,6.04E-01
ST3GAL2,0.127,1.48E-01
ST3GAL3,0.115,3.47E-01
ST3GAL4,-0.208,1.18E-01
ST3GAL5,-0.085,1.75E-01
ST3GAL5-AS1,-0.278,1.32E-01
ST3GAL6,0.120,1.81E-01
ST5,-0.002,9.82E-01
ST6GAL1,-0.149,4.32E-01
ST6GAL2,0.130,2.53E-01
ST6GALNAC2,-0.001,7.38E-01
ST6GALNAC3,-0.118,3.79E-01
ST6GALNAC4,0.058,5.94E-01
ST6GALNAC5,0.506,9.89E-02
ST6GALNAC6,0.337,7.22E-02
ST7,0.127,1.15E-01
ST7-AS2,0.158,1.00E-01
ST7L,-0.033,1.96E-01
ST8SIA1,0.095,2.46E-01
ST8SIA3,0.285,2.72E-01
ST8SIA4,-0.065,7.07E-01
ST8SIA5,0.461,8.62E-02
ST8SIA6,0.132,4.80E-01
STAB1,0.052,8.50E-01
STAC2,0.445,5.63E-02
STAG1,0.003,7.25E-01
STAG2,-0.241,7.11E-02
STAG3,-0.080,3.00E-01
STAG3L1,0.124,7.10E-01
STAG3L2,-0.047,2.49E-01
STAG3L3,-0.092,1.70E-01
STAG3L4,-0.029,9.17E-01
STAG3L5P,0.051,7.78E-01
STAG3L5P-PVRIG2P-PILRB,0.091,2.29E-01
STAM,-0.060,2.87E-01
STAM2,-0.095,1.65E-01
STAMBP,-0.254,8.49E-02
STAMBPL1,0.090,3.45E-01
STAR,0.059,5.42E-01
STARD10,0.044,4.71E-01
STARD13,-0.072,3.80E-01
STARD13-AS,-0.093,3.14E-01
STARD3,-0.084,4.53E-01
STARD3NL,-0.094,2.07E-01
STARD4,0.072,5.32E-01
STARD4-AS1,0.066,5.83E-01
