gene_name	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Li_et_al	Das_et_al	Marques-Coelho_MAYO	King_et_al	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
TMEM102	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TMEM106A	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TMEM106C	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TMEM115	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
TMEM119	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TMEM120A	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
TMEM120B	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM121	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM121B	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM123	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
TMEM125	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TMEM130	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
TMEM132B	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
TMEM132D	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	3
TMEM132E	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	1	0
TMEM132E-DT	missing	missing	downregulated	upregulated	missing	missing	missing	downregulated	downregulated	1	3
TMEM135	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
TMEM139	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TMEM141	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM143	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
TMEM145	missing	missing	downregulated	upregulated	missing	missing	missing	missing	missing	1	1
TMEM14A	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
TMEM14EP	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
TMEM150B	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
TMEM150C	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
TMEM151A	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
TMEM151B	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	2
TMEM158	missing	missing	missing	missing	missing	missing	upregulated	missing	downregulated	1	1
TMEM160	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
TMEM163	downregulated	missing	downregulated	missing	missing	missing	missing	missing	missing	0	2
TMEM164	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
TMEM169	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
TMEM17	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
TMEM170A	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
TMEM171	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
TMEM176A	upregulated	missing	upregulated	missing	missing	missing	missing	upregulated	upregulated	4	0
TMEM177	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
TMEM178A	downregulated	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	3
TMEM178B	missing	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	2
TMEM179	missing	missing	downregulated	missing	missing	missing	upregulated	missing	downregulated	1	2
