gene_name	Marques-Coelho_MSSB_BA36	Marques-Coelho_MSSB_BA22	Felsky_et_al	Li_et_al	Das_et_al	Marques-Coelho_MAYO	King_et_al	Piras_et_al	Cho_et_al	upregulated_count	downregulated_count
NMRAL1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NMRAL2P	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
NMRK2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NMU	downregulated	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	3
NNAT	downregulated	downregulated	missing	missing	missing	missing	missing	missing	downregulated	0	3
NNT	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
NNT-AS1	missing	missing	missing	downregulated	downregulated	missing	missing	missing	missing	0	2
NOC2L	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NOC2LP1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NOC4L	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NOD2	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
NODAL	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NOG	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
NOL12	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
NOL3	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NOL8	missing	missing	upregulated	missing	missing	missing	downregulated	missing	missing	1	1
NOLC1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
NOMO2	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
NOMO3	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
NOP10	missing	missing	upregulated	missing	missing	missing	missing	upregulated	missing	2	0
NOP2	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
NOP56P2	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
NOP9	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
NOS1AP	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NOS2	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
NOSTRIN	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
NOTCH1	upregulated	missing	missing	downregulated	missing	missing	missing	missing	missing	1	1
NOTCH2	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	4	0
NOTCH2NLA	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
NOTCH3	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
NOTCH4	upregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	1	1
NOVA1	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
NOVA2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NOX3	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NOX5	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NOXA1	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
NOXO1	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
NOXRED1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NPAS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NPAS3	missing	missing	missing	downregulated	missing	missing	missing	missing	upregulated	1	1
NPAS4	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
NPB	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NPBWR1	downregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	0	2
NPC1L1	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
NPC2	upregulated	missing	upregulated	missing	missing	missing	missing	upregulated	upregulated	4	0
NPDC1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NPEPPSP1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
NPFF	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NPHP1	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
NPHS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NPIPA1	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
NPIPA5	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NPIPA6	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NPIPB11	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NPIPB3	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
NPIPB4	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
NPIPB6	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
NPIPP1	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
NPL	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
NPM1P40	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
NPM1P9	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
NPM2	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
NPM3	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
NPNT	upregulated	upregulated	upregulated	missing	upregulated	upregulated	missing	missing	upregulated	6	0
NPPA	missing	downregulated	missing	missing	missing	missing	missing	missing	downregulated	0	2
NPPC	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
NPR1	upregulated	upregulated	missing	missing	missing	missing	missing	missing	missing	2	0
NPTN	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
NPTX1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NPTX2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NPTXR	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	3
NPY	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
NPY2R	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	0	2
NPY2R-AS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NPY5R	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	3
NQO1	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
NQO1-DT	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
NR0B1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NR1D1	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	1	0
NR1H3	missing	missing	upregulated	missing	missing	missing	missing	upregulated	missing	2	0
NR1I3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NR2C1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
NR2E1	upregulated	missing	upregulated	missing	missing	missing	missing	missing	upregulated	3	0
NR2F1	missing	missing	upregulated	missing	missing	missing	missing	upregulated	missing	2	0
NR2F1-AS1	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
NR2F2-AS1	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
NR2F6	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
NRAP	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
NRBF2P6	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
NRBP2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NRCAM	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
NREP	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
NREP-AS1	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
NRG1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NRG3	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
NRGN	downregulated	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
NRIP2	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
NRIP3	missing	missing	missing	missing	missing	downregulated	missing	downregulated	downregulated	0	3
NRIP3-DT	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
NRM	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
NRN1	downregulated	downregulated	downregulated	missing	downregulated	downregulated	missing	downregulated	downregulated	0	7
NRN1L	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NRP2	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
NRSN1	missing	missing	downregulated	missing	missing	missing	missing	downregulated	downregulated	0	3
NRSN2	downregulated	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
NRSN2-AS1	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
NRXN1	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	3
NRXN2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NRXN3	downregulated	missing	downregulated	missing	missing	downregulated	missing	downregulated	missing	0	4
NSF	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
NSFL1C	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
NSG1	missing	missing	missing	missing	downregulated	missing	missing	missing	downregulated	0	2
NSG2	downregulated	missing	missing	missing	missing	downregulated	missing	downregulated	downregulated	0	4
NSMCE2	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
NSRP1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NSRP1P1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NSUN5P2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NSUN6	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
NSUN7	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
NT5CP2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NT5DC2	upregulated	missing	upregulated	missing	missing	missing	missing	upregulated	missing	3	0
NT5DC3	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NT5M	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
NTAN1P1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
NTHL1	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
NTMT1	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	1	0
NTN1	upregulated	missing	missing	downregulated	missing	missing	missing	missing	upregulated	2	1
NTN3	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
NTN4	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
NTN5	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NTNG2	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
NTRK3-AS1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NTS	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
NTSR1	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
NUAK1	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
NUAK2	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
NUBP2	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
NUDCD3	downregulated	missing	missing	missing	downregulated	missing	missing	missing	missing	0	2
NUDT10	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
NUDT11	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NUDT14	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NUDT16L2P	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NUDT18	missing	missing	downregulated	missing	missing	downregulated	missing	missing	downregulated	0	3
NUDT19-DT	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NUDT19P3	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
NUDT19P5	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
NUDT21	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
NUDT4B	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
NUDT4P2	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
NUDT5	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
NUDT6	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NUFIP1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
NUGGC	missing	downregulated	missing	missing	missing	missing	missing	missing	missing	0	1
NUMB	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
NUP153-AS1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
NUP160	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NUP205	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
NUP210L	upregulated	missing	missing	missing	upregulated	missing	missing	missing	upregulated	3	0
NUP42	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
NUP50	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
NUP50-DT	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
NUP62CL	upregulated	missing	missing	missing	missing	missing	missing	missing	upregulated	2	0
NUP93	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
NUPR1	upregulated	upregulated	upregulated	missing	missing	missing	missing	upregulated	upregulated	5	0
NUSAP1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NUTM2A	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NUTM2A-AS1	missing	missing	upregulated	missing	upregulated	missing	missing	missing	upregulated	3	0
NUTM2B-AS1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NUTM2D	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NVL	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
NWD1	upregulated	upregulated	upregulated	missing	upregulated	upregulated	missing	missing	upregulated	6	0
NWD2	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	3
NXF1	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
NXN	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
NXPH1	downregulated	missing	missing	missing	missing	downregulated	missing	downregulated	missing	0	3
NXPH2	downregulated	missing	missing	missing	missing	missing	missing	downregulated	downregulated	0	3
NXT1	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
NXT2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
NYAP1	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
NYAP2	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
NYNRIN	missing	missing	upregulated	missing	missing	upregulated	missing	missing	missing	2	0
OAS1	upregulated	upregulated	missing	missing	missing	missing	missing	missing	upregulated	3	0
OAS2	upregulated	upregulated	missing	missing	missing	missing	missing	missing	upregulated	3	0
OAS3	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
OASL	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
OAT	missing	missing	missing	missing	downregulated	missing	missing	downregulated	missing	0	2
OBP2A	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OBSCN	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
OBSCN-AS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
OCA2	downregulated	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
OCIAD1	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	0	2
OCIAD1-AS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
OCIAD2	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
OCLN	upregulated	upregulated	upregulated	missing	missing	missing	missing	missing	missing	3	0
OCM	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ODAD1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ODAD2P1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ODAD3	missing	missing	upregulated	missing	upregulated	missing	missing	missing	missing	2	0
ODAD4	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
ODF1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
ODF2	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
ODF2L	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	0	2
OGA	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
OGDHL	downregulated	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	3
OGFOD1	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
OGFOD3	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
OGFR	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
OGFR-AS1	missing	missing	missing	missing	upregulated	missing	missing	missing	missing	1	0
OGFRL1	upregulated	missing	missing	downregulated	missing	upregulated	missing	missing	upregulated	3	1
OGN	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
OLA1	missing	missing	missing	missing	downregulated	missing	missing	missing	downregulated	0	2
OLAH	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
OLFM1	downregulated	downregulated	missing	missing	missing	missing	missing	missing	downregulated	0	3
OLFM2	missing	missing	missing	missing	missing	missing	upregulated	missing	missing	1	0
OLFM3	downregulated	missing	downregulated	downregulated	missing	missing	missing	downregulated	downregulated	0	5
OLFM4	downregulated	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	3
OLFML1	upregulated	missing	upregulated	missing	missing	upregulated	missing	missing	upregulated	4	0
OLFML2A	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
OLFML3	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
OLIG1	missing	missing	missing	missing	missing	downregulated	missing	upregulated	missing	1	1
OLIG2	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
OLMALINC	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
OLR1	upregulated	missing	missing	upregulated	missing	missing	missing	missing	upregulated	3	0
OMA1	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
OMD	missing	missing	missing	missing	missing	upregulated	missing	missing	upregulated	2	0
ONECUT2	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
OPA1	missing	missing	downregulated	missing	missing	missing	missing	downregulated	missing	0	2
OPALIN	missing	missing	downregulated	missing	missing	downregulated	missing	missing	missing	0	2
OPCML	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
OPN3	downregulated	missing	missing	missing	downregulated	missing	missing	downregulated	downregulated	0	4
OPRK1	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
OPRL1	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
OPTN	missing	missing	missing	missing	missing	missing	downregulated	missing	missing	0	1
OR10A2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OR10A4	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR10A5	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR10AH1P	missing	upregulated	missing	missing	missing	missing	missing	missing	missing	1	0
OR11A1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR13A1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
OR13E1P	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
OR14I1	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
OR1M1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OR2A42	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
OR2A7	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
OR2A9P	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
OR2D2	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR2D3	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR2K2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OR2L13	missing	missing	missing	missing	downregulated	missing	missing	missing	downregulated	0	2
OR2L1P	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR2L6P	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR2L8	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR2L9P	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR2M1P	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR2M2	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR2M3	missing	missing	downregulated	missing	downregulated	missing	missing	missing	missing	0	2
OR2M5	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR2T10	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR2T32P	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR2W3	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR4D5	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR4N2	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
OR51D1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OR52K3P	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
OR5AK4P	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
OR5AO1P	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
OR6A2	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR6E1P	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
OR6V1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OR6W1P	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OR6X1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR7D2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
OR7E13P	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OR7E14P	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
OR7E29P	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
OR7E38P	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OR7E47P	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OR9A2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OR9G1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OR9N1P	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
ORAI1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
ORAI3	upregulated	missing	missing	missing	missing	missing	missing	missing	missing	1	0
ORC2	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ORC3	missing	missing	missing	upregulated	missing	missing	missing	downregulated	missing	1	1
ORC4	missing	missing	downregulated	missing	missing	missing	missing	missing	missing	0	1
ORC6	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
ORMDL1P1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
ORMDL3	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
OSBPL10	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
OSBPL11	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
OSBPL2	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
OSBPL7	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
OSBPL8	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
OSCP1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
OSER1	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
OSER1-DT	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
OSGEP	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OSGIN2	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
OSMR	upregulated	missing	missing	missing	missing	upregulated	missing	missing	missing	2	0
OSR1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
OSTC	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
OSTF1	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
OSTN	downregulated	downregulated	missing	missing	missing	missing	missing	missing	missing	0	2
OTOAP1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
OTOF	missing	missing	downregulated	missing	missing	missing	missing	missing	downregulated	0	2
OTOG	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
OTOGL	downregulated	downregulated	missing	missing	missing	missing	missing	downregulated	downregulated	0	4
OTOL1	downregulated	missing	missing	missing	missing	missing	missing	missing	missing	0	1
OTOS	upregulated	missing	missing	missing	missing	missing	missing	upregulated	missing	2	0
OTUB1	downregulated	missing	downregulated	missing	downregulated	missing	missing	missing	downregulated	0	4
OTUB2	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
OTUD4	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
OTUD7A	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
OTUD7B	upregulated	missing	missing	downregulated	missing	missing	missing	upregulated	upregulated	3	1
OTULIN	missing	missing	upregulated	missing	missing	missing	missing	missing	upregulated	2	0
OTULINL	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
OTX1	missing	missing	upregulated	missing	missing	missing	missing	missing	missing	1	0
OVCH1	missing	missing	missing	missing	missing	upregulated	missing	missing	missing	1	0
OVGP1	downregulated	missing	missing	upregulated	missing	missing	missing	missing	missing	1	1
OVOL2	downregulated	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	3
OVOS2	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
OXCT1	missing	missing	missing	missing	missing	missing	missing	downregulated	missing	0	1
OXCT1-AS1	missing	missing	missing	missing	downregulated	missing	missing	missing	missing	0	1
OXCT2	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OXCT2P1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
OXER1	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
OXGR1	downregulated	missing	missing	missing	missing	downregulated	missing	missing	missing	0	2
OXR1	downregulated	missing	missing	missing	missing	missing	missing	downregulated	missing	0	2
OXTR	missing	missing	missing	downregulated	missing	missing	missing	missing	missing	0	1
P2RX1	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
P2RX2	missing	missing	missing	missing	missing	downregulated	missing	missing	downregulated	0	2
P2RX5	downregulated	missing	missing	missing	missing	missing	missing	missing	downregulated	0	2
P2RX6	missing	missing	missing	upregulated	missing	missing	missing	missing	missing	1	0
P2RX6P	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
P2RX7	missing	missing	missing	missing	upregulated	missing	downregulated	missing	upregulated	2	1
P2RY12	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
P2RY13	missing	missing	missing	missing	missing	downregulated	missing	missing	missing	0	1
P2RY14	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
P2RY2	upregulated	missing	missing	missing	missing	upregulated	missing	missing	upregulated	3	0
P2RY6	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
P3H1	missing	missing	missing	missing	missing	missing	missing	upregulated	missing	1	0
P3H2	missing	missing	missing	missing	missing	missing	missing	missing	upregulated	1	0
P3H2-AS1	missing	missing	missing	missing	missing	missing	missing	missing	downregulated	0	1
P3H3	missing	missing	missing	upregulated	missing	missing	missing	missing	downregulated	1	1
