gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
COPS7A,ENSG00000111652,COPS7A,False,Frontal Lobe,Panitch_et_al,1.8
METTL6,ENSG00000206562,METTL6,False,Frontal Lobe,Panitch_et_al,1.8
DBIL5P,ENSG00000231784,DBIL5P,False,Frontal Lobe,Panitch_et_al,1.8
TMEM169,ENSG00000163449,TMEM169,False,Frontal Lobe,Panitch_et_al,1.8
SKIC8,ENSG00000140395,SKIC8,False,Frontal Lobe,Panitch_et_al,1.8
OLFM3,ENSG00000118733,OLFM3,False,Frontal Lobe,Panitch_et_al,1.8
TMEM17,ENSG00000186889,TMEM17,False,Frontal Lobe,Panitch_et_al,1.8
KIRREL2,ENSG00000126259,KIRREL2,False,Frontal Lobe,Panitch_et_al,1.8
FBLN7,ENSG00000144152,FBLN7,False,Frontal Lobe,Panitch_et_al,1.8
CHCHD2,ENSG00000106153,CHCHD2,False,Frontal Lobe,Panitch_et_al,1.8
STAT4-AS1,ENSG00000231858,STAT4-AS1,False,Frontal Lobe,Panitch_et_al,1.8
SLC25A3,ENSG00000075415,SLC25A3,False,Frontal Lobe,Panitch_et_al,1.8
DPY19L2,ENSG00000177990,DPY19L2,False,Frontal Lobe,Panitch_et_al,1.8
ZNF540,ENSG00000171817,ZNF540,False,Frontal Lobe,Panitch_et_al,1.8
KREMEN2,ENSG00000131650,KREMEN2,False,Frontal Lobe,Panitch_et_al,1.8
C2CD5-AS1,ENSG00000250166,C2CD5-AS1,False,Frontal Lobe,Panitch_et_al,1.8
DNAAF11,ENSG00000129295,DNAAF11,False,Frontal Lobe,Panitch_et_al,1.8
GPALPP1,ENSG00000133114,GPALPP1,False,Frontal Lobe,Panitch_et_al,1.8
MIR7-3HG,ENSG00000176840,MIR7-3HG,False,Frontal Lobe,Panitch_et_al,1.8
DAW1,ENSG00000123977,DAW1,False,Frontal Lobe,Panitch_et_al,1.8
