gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
PTPN3,ENSG00000070159,PTPN3,False,Temporal Lobe,Piras_et_al,1.9
PHACTR1,ENSG00000112137,PHACTR1,False,Temporal Lobe,Piras_et_al,1.9
SYTL2,ENSG00000137501,SYTL2,False,Temporal Lobe,Piras_et_al,1.9
SAMD5,ENSG00000203727,SAMD5,False,Temporal Lobe,Piras_et_al,1.9
SH3D21,ENSG00000214193,SH3D21,False,Temporal Lobe,Piras_et_al,1.9
LRRC75A,ENSG00000181350,LRRC75A,False,Temporal Lobe,Piras_et_al,1.9
RTN3P1,ENSG00000251333,RTN3P1,False,Temporal Lobe,Piras_et_al,1.9
BDNF,ENSG00000176697,BDNF,False,Temporal Lobe,Piras_et_al,1.9
ENSG00000261572,ENSG00000261572,,False,Temporal Lobe,Piras_et_al,1.9
GRIN2B,ENSG00000273079,GRIN2B,False,Temporal Lobe,Piras_et_al,1.9
NHLRC1,ENSG00000187566,NHLRC1,False,Temporal Lobe,Piras_et_al,1.9
DLX6-AS1,ENSG00000231764,DLX6-AS1,False,Temporal Lobe,Piras_et_al,1.9
LNX1,ENSG00000072201,LNX1,False,Temporal Lobe,Piras_et_al,1.9
SNRPN,ENSG00000128739,SNRPN,False,Temporal Lobe,Piras_et_al,1.9
RAB6D,ENSG00000233087,RAB6D,False,Temporal Lobe,Piras_et_al,1.9
SYP,ENSG00000102003,SYP,False,Temporal Lobe,Piras_et_al,1.9
WNT9A,ENSG00000143816,WNT9A,False,Temporal Lobe,Piras_et_al,1.9
TAGAP-AS1,ENSG00000271913,TAGAP-AS1,False,Temporal Lobe,Piras_et_al,1.9
GPR88,ENSG00000181656,GPR88,False,Temporal Lobe,Piras_et_al,1.9
FBXL18,ENSG00000155034,FBXL18,False,Temporal Lobe,Piras_et_al,1.9
GCNT1,ENSG00000187210,GCNT1,False,Temporal Lobe,Piras_et_al,1.9
MTMR7,ENSG00000003987,MTMR7,False,Temporal Lobe,Piras_et_al,1.9
GRIN3A,ENSG00000198785,GRIN3A,False,Temporal Lobe,Piras_et_al,1.9
SYT15,ENSG00000204176,SYT15,False,Temporal Lobe,Piras_et_al,1.9
ATP8A2,ENSG00000132932,ATP8A2,False,Temporal Lobe,Piras_et_al,1.9
BMAL2,ENSG00000029153,BMAL2,False,Temporal Lobe,Piras_et_al,1.9
DOK6,ENSG00000206052,DOK6,False,Temporal Lobe,Piras_et_al,1.9
GNG2,ENSG00000186469,GNG2,False,Temporal Lobe,Piras_et_al,1.9
TARBP1,ENSG00000059588,TARBP1,False,Temporal Lobe,Piras_et_al,1.9
LOC400622,ENSG00000267665,LOC400622,False,Temporal Lobe,Piras_et_al,1.9
SYT1,ENSG00000067715,SYT1,False,Temporal Lobe,Piras_et_al,1.9
SLC22A18,ENSG00000276130,SLC22A18,False,Temporal Lobe,Piras_et_al,1.9
DGKB,ENSG00000136267,DGKB,False,Temporal Lobe,Piras_et_al,1.9
STX16-NPEPL1,ENSG00000254995,STX16-NPEPL1,False,Temporal Lobe,Piras_et_al,1.9
MIGA1,ENSG00000180488,MIGA1,False,Temporal Lobe,Piras_et_al,1.9
BEX5,ENSG00000291824,BEX5,False,Temporal Lobe,Piras_et_al,1.9
ATP2B1-AS1,ENSG00000271614,ATP2B1-AS1,False,Temporal Lobe,Piras_et_al,1.9
ANO3,ENSG00000134343,ANO3,False,Temporal Lobe,Piras_et_al,1.9
GPRASP1,ENSG00000198932,GPRASP1,False,Temporal Lobe,Piras_et_al,1.9
AKAP5,ENSG00000179841,AKAP5,False,Temporal Lobe,Piras_et_al,1.9
KDM7A-DT,ENSG00000260231,KDM7A-DT,False,Temporal Lobe,Piras_et_al,1.9
MTX3,ENSG00000177034,MTX3,False,Temporal Lobe,Piras_et_al,1.9
GAP43,ENSG00000172020,GAP43,False,Temporal Lobe,Piras_et_al,1.9
PLPPR4,ENSG00000117600,PLPPR4,False,Temporal Lobe,Piras_et_al,1.9
MYO16,ENSG00000041515,MYO16,False,Temporal Lobe,Piras_et_al,1.9
NPTXR,ENSG00000221890,NPTXR,False,Temporal Lobe,Piras_et_al,1.9
PGM2L1,ENSG00000165434,PGM2L1,False,Temporal Lobe,Piras_et_al,1.9
LRRTM3,ENSG00000198739,LRRTM3,False,Temporal Lobe,Piras_et_al,1.9
FLRT2-AS1,ENSG00000205562,FLRT2-AS1,False,Temporal Lobe,Piras_et_al,1.9
MLIP,ENSG00000146147,MLIP,False,Temporal Lobe,Piras_et_al,1.9
SLC4A10,ENSG00000144290,SLC4A10,False,Temporal Lobe,Piras_et_al,1.9
UNC80,ENSG00000144406,UNC80,False,Temporal Lobe,Piras_et_al,1.9
KCNQ3,ENSG00000184156,KCNQ3,False,Temporal Lobe,Piras_et_al,1.9
GLRA3,ENSG00000145451,GLRA3,False,Temporal Lobe,Piras_et_al,1.9
HMGCLL1,ENSG00000146151,HMGCLL1,False,Temporal Lobe,Piras_et_al,1.9
ICAM5,ENSG00000105376,ICAM5,False,Temporal Lobe,Piras_et_al,1.9
TTC3P1,ENSG00000215105,TTC3P1,False,Temporal Lobe,Piras_et_al,1.9
GPR61,ENSG00000156097,GPR61,False,Temporal Lobe,Piras_et_al,1.9
SH3BP5,ENSG00000131370,SH3BP5,False,Temporal Lobe,Piras_et_al,1.9
CAP2,ENSG00000112186,CAP2,False,Temporal Lobe,Piras_et_al,1.9
JDP2-AS1,ENSG00000259319,JDP2-AS1,False,Temporal Lobe,Piras_et_al,1.9
KLK7,ENSG00000169035,KLK7,False,Temporal Lobe,Piras_et_al,1.9
CLSTN3,ENSG00000139182,CLSTN3,False,Temporal Lobe,Piras_et_al,1.9
NRXN3,ENSG00000021645,NRXN3,False,Temporal Lobe,Piras_et_al,1.9
PCYOX1L,ENSG00000145882,PCYOX1L,False,Temporal Lobe,Piras_et_al,1.9
SCN3B,ENSG00000166257,SCN3B,False,Temporal Lobe,Piras_et_al,1.9
UNC5D,ENSG00000156687,UNC5D,False,Temporal Lobe,Piras_et_al,1.9
PTPRO,ENSG00000151490,PTPRO,False,Temporal Lobe,Piras_et_al,1.9
FRMPD4,ENSG00000169933,FRMPD4,False,Temporal Lobe,Piras_et_al,1.9
PMS2,ENSG00000122512,PMS2,False,Temporal Lobe,Piras_et_al,1.9
PITPNM3,ENSG00000091622,PITPNM3,False,Temporal Lobe,Piras_et_al,1.9
XKR4,ENSG00000206579,XKR4,False,Temporal Lobe,Piras_et_al,1.9
GLUD2,ENSG00000182890,GLUD2,False,Temporal Lobe,Piras_et_al,1.9
TMEM132D,ENSG00000151952,TMEM132D,False,Temporal Lobe,Piras_et_al,1.9
HECW1,ENSG00000002746,HECW1,False,Temporal Lobe,Piras_et_al,1.9
MYO5B,ENSG00000167306,MYO5B,False,Temporal Lobe,Piras_et_al,1.9
PAK3,ENSG00000077264,PAK3,False,Temporal Lobe,Piras_et_al,1.9
FRG1BP,ENSG00000149531,FRG1BP,False,Temporal Lobe,Piras_et_al,1.9
TSPOAP1,ENSG00000005379,TSPOAP1,False,Temporal Lobe,Piras_et_al,1.9
SLC6A17,ENSG00000197106,SLC6A17,False,Temporal Lobe,Piras_et_al,1.9
CDKL2,ENSG00000138769,CDKL2,False,Temporal Lobe,Piras_et_al,1.9
CALM3,ENSG00000160014,CALM3,False,Temporal Lobe,Piras_et_al,1.9
ZDHHC23,ENSG00000184307,ZDHHC23,False,Temporal Lobe,Piras_et_al,1.9
ZNF287,ENSG00000141040,ZNF287,False,Temporal Lobe,Piras_et_al,1.9
MAP4K3-DT,ENSG00000231312,MAP4K3-DT,False,Temporal Lobe,Piras_et_al,1.9
HAPLN1,ENSG00000145681,HAPLN1,False,Temporal Lobe,Piras_et_al,1.9
PMS2P5,ENSG00000123965,PMS2P5,False,Temporal Lobe,Piras_et_al,1.9
CNR1,ENSG00000118432,CNR1,False,Temporal Lobe,Piras_et_al,1.9
