Gene,AD vs Control: Temporal Cortex - Log2(fold change) - RIN Corrected,AD vs Control: Temporal Cortex - SVA P-value -  RIN corrected,,,
PYROXD1,-0.061,3.88E-01,,,
PYROXD2,0.062,3.83E-01,,,
PYURF,-0.041,6.48E-01,,,
QARS,-0.010,7.21E-01,,,
QDPR,0.235,1.61E-01,,,
QKI,0.085,3.73E-01,,,
QPCT,-0.004,9.81E-01,,,
QPCTL,-0.001,8.74E-01,,,
QPRT,0.095,5.79E-01,,,
QRICH1,-0.012,6.90E-01,,,
QRICH2,0.063,5.13E-01,,,
QRSL1,0.002,8.42E-01,,,
QRSL1P3,-0.045,5.54E-01,,,
QSER1,0.007,7.61E-01,,,
QSOX1,0.060,6.35E-01,,,
QSOX2,0.051,2.83E-01,,,
QTRT1,0.102,6.19E-01,,,
QTRTD1,0.024,8.60E-01,,,
R3HCC1,0.089,5.54E-01,,,
R3HCC1L,-0.075,3.09E-01,,,
R3HDM1,-0.060,5.70E-01,,,
R3HDM2,0.002,8.51E-01,,,
R3HDM2P1,-0.077,6.47E-01,,,
R3HDM4,0.119,3.80E-01,,,
RAB10,-0.056,3.83E-01,,,
RAB11A,-0.092,2.01E-01,,,
RAB11B,0.250,2.70E-01,,,
RAB11B-AS1,-0.010,8.30E-01,,,
RAB11FIP1,-0.054,2.92E-01,,,
RAB11FIP1P1,0.005,6.79E-01,,,
RAB11FIP2,-0.060,6.10E-01,,,
RAB11FIP3,0.108,3.62E-01,,,
RAB11FIP4,0.028,4.71E-01,,,
RAB11FIP5,0.084,4.03E-01,,,
RAB12,-0.087,3.05E-01,,,
RAB13,-0.038,8.43E-01,,,
RAB14,-0.064,5.51E-01,,,
RAB15,0.005,9.23E-01,,,
RAB18,-0.108,2.34E-01,,,
RAB1A,-0.064,4.51E-01,,,
RAB1B,0.063,5.05E-01,,,
RAB20,-0.051,8.78E-01,,,
RAB21,-0.066,4.41E-01,,,
RAB22A,-0.069,5.71E-01,,,
RAB23,-0.050,9.62E-01,,,
RAB24,0.013,9.90E-01,,,
RAB26,0.075,5.06E-01,,,
RAB27A,-0.008,9.61E-01,,,
RAB27B,-0.406,1.73E-01,,,
RAB28,-0.057,5.06E-01,,,
RAB29,-0.003,9.38E-01,,,
RAB2A,-0.122,2.44E-01,,,
RAB2B,-0.004,8.13E-01,,,
RAB30,-0.058,7.70E-01,,,
RAB30-AS1,-0.030,8.23E-01,,,
RAB31,-0.105,4.29E-01,,,
RAB32,0.066,7.29E-01,,,
RAB33A,0.132,4.17E-01,,,
RAB33B,-0.047,4.66E-01,,,
RAB34,-0.049,7.77E-01,,,
RAB35,0.022,9.46E-01,,,
RAB36,-0.001,6.41E-01,,,
RAB37,-0.059,5.05E-01,,,
RAB39A,-0.027,7.03E-01,,,
RAB39B,-0.040,9.44E-01,,,
RAB3A,-0.176,3.14E-01,,,
RAB3B,-0.041,7.22E-01,,,
RAB3C,-0.236,3.23E-01,,,
RAB3D,0.028,8.81E-01,,,
RAB3GAP1,-0.067,5.75E-01,,,
RAB3GAP2,-0.059,4.21E-01,,,
RAB3IL1,0.125,1.98E-01,,,
RAB3IP,0.016,9.31E-01,,,
RAB40A,-0.083,2.39E-01,,,
RAB40AL,-0.009,9.72E-01,,,
RAB40B,0.062,7.92E-01,,,
RAB40C,0.232,2.67E-01,,,
RAB42,0.000,9.93E-01,,,
RAB42P1,-0.012,8.92E-01,,,
RAB4A,-0.092,3.05E-01,,,
RAB4B,0.113,5.11E-01,,,
RAB4B-EGLN2,0.025,9.03E-01,,,
RAB5A,-0.084,2.32E-01,,,
RAB5B,0.000,6.41E-01,,,
RAB5C,0.010,9.87E-01,,,
RAB6A,-0.060,6.67E-01,,,
RAB6B,-0.111,6.57E-01,,,
RAB6C,0.056,5.91E-01,,,
RAB6C-AS1,0.043,8.08E-01,,,
RAB7A,-0.042,7.57E-01,,,
RAB8A,0.050,5.34E-01,,,
RAB8B,-0.067,6.24E-01,,,
RAB9A,0.052,5.52E-01,,,
RAB9AP2,-0.054,8.47E-01,,,
RAB9AP5,-0.029,9.84E-01,,,
RAB9B,-0.181,2.73E-01,,,
RABAC1,0.186,5.26E-01,,,
RABEP1,0.004,8.32E-01,,,
RABEP2,0.195,3.57E-01,,,
RABEPK,0.007,9.27E-01,,,
RABGAP1,-0.027,8.67E-01,,,
RABGAP1L,-0.034,6.63E-01,,,
RABGEF1,-0.068,1.67E-01,,,
RABGGTA,0.079,4.61E-01,,,
RABGGTB,-0.092,4.33E-01,,,
RABIF,-0.053,7.26E-01,,,
RABL2A,0.033,8.46E-01,,,
RABL2B,0.001,6.78E-01,,,
RABL3,-0.085,1.85E-01,,,
RABL6,0.156,2.05E-01,,,
RAC1,-0.037,8.02E-01,,,
RAC1P7,0.028,9.29E-01,,,
RAC2,0.072,8.95E-01,,,
RAC3,0.103,5.89E-01,,,
RACGAP1,-0.004,8.93E-01,,,
RAD1,-0.041,4.38E-01,,,
RAD17,-0.017,6.30E-01,,,
RAD17P2,-0.064,2.53E-01,,,
RAD18,-0.072,4.17E-01,,,
RAD21,-0.100,3.90E-01,,,
RAD21-AS1,-0.053,7.80E-01,,,
RAD23A,0.085,5.76E-01,,,
RAD23B,-0.045,4.86E-01,,,
RAD23BP1,0.049,6.84E-01,,,
RAD50,-0.082,3.66E-01,,,
RAD51-AS1,-0.073,3.34E-01,,,
RAD51B,0.031,7.53E-01,,,
RAD51C,-0.018,9.90E-01,,,
RAD51D,0.040,8.49E-01,,,
RAD52,0.061,3.80E-01,,,
RAD54B,-0.027,8.24E-01,,,
RAD54L,0.056,3.59E-01,,,
RAD54L2,0.032,8.84E-01,,,
RAD9A,0.000,8.21E-01,,,
RAE1,-0.024,9.06E-01,,,
RAET1E,0.034,7.21E-01,,,
RAF1,0.021,5.58E-01,,,
RAI1,0.160,4.91E-01,,,
RAI1-AS1,0.189,5.79E-01,,,
RAI14,0.114,3.67E-01,,,
RAI2,0.015,9.97E-01,,,
RALA,-0.053,4.94E-01,,,
RALB,-0.073,5.68E-01,,,
RALBP1,0.012,8.04E-01,,,
RALGAPA1,-0.026,6.98E-01,,,
RALGAPA1P,0.006,8.92E-01,,,
RALGAPA2,-0.006,9.31E-01,,,
RALGAPB,-0.015,8.97E-01,,,
RALGDS,0.202,2.45E-01,,,
RALGPS1,-0.008,9.19E-01,,,
RALGPS2,-0.086,4.24E-01,,,
RALY,0.099,5.51E-01,,,
RALYL,-0.179,2.80E-01,,,
RAMP1,0.135,4.91E-01,,,
RAMP2,-0.006,8.78E-01,,,
RAMP2-AS1,-0.001,9.08E-01,,,
RAMP3,0.126,9.22E-01,,,
RAN,-0.036,6.21E-01,,,
RANBP1,0.004,7.48E-01,,,
RANBP10,0.090,2.00E-01,,,
RANBP17,0.008,8.33E-01,,,
RANBP2,-0.028,9.90E-01,,,
RANBP3,0.099,2.52E-01,,,
RANBP3L,-0.128,6.61E-01,,,
RANBP6,-0.077,6.22E-01,,,
RANBP9,-0.030,8.22E-01,,,
RANGAP1,0.081,4.81E-01,,,
RANGRF,0.046,7.48E-01,,,
RANP4,-0.069,6.51E-01,,,
RAP1A,-0.057,7.24E-01,,,
RAP1B,-0.070,3.34E-01,,,
RAP1GAP,0.036,8.21E-01,,,
RAP1GAP2,0.040,7.02E-01,,,
RAP1GDS1,-0.002,8.67E-01,,,
RAP2A,-0.091,4.11E-01,,,
RAP2B,-0.038,9.48E-01,,,
RAP2C,-0.105,2.69E-01,,,
RAPGEF1,0.094,3.51E-01,,,
RAPGEF2,-0.031,9.30E-01,,,
RAPGEF3,0.209,1.93E-01,,,
RAPGEF4,-0.049,2.54E-01,,,
RAPGEF5,0.012,7.14E-01,,,
RAPGEF6,-0.010,8.97E-01,,,
RAPGEFL1,0.030,7.91E-01,,,
RAPH1,-0.018,8.40E-01,,,
RARA,0.170,2.30E-01,,,
RARB,-0.069,8.35E-01,,,
RARG,0.091,3.68E-01,,,
RARRES1,0.019,9.24E-01,,,
RARRES2,0.148,2.95E-01,,,
RARRES3,0.040,9.74E-01,,,
RARS,-0.047,4.10E-01,,,
RARS2,-0.067,2.39E-01,,,
RASA1,-0.062,6.19E-01,,,
RASA2,-0.072,3.34E-01,,,
RASA3,0.062,5.87E-01,,,
RASA4,0.105,8.17E-01,,,
RASA4B,0.157,7.15E-01,,,
RASA4CP,0.055,8.66E-01,,,
RASA4DP,0.049,6.92E-01,,,
RASAL1,0.219,5.48E-01,,,
RASAL2,-0.168,1.98E-01,,,
RASAL2-AS1,-0.019,9.97E-01,,,
RASD1,0.060,8.22E-01,,,
RASD2,0.122,2.56E-01,,,
RASGEF1A,-0.017,9.21E-01,,,
RASGEF1B,-0.044,8.19E-01,,,
RASGEF1C,0.075,8.13E-01,,,
RASGRF1,-0.036,7.19E-01,,,
RASGRF2,-0.079,6.63E-01,,,
RASGRP1,-0.140,4.26E-01,,,
RASGRP2,0.105,4.02E-01,,,
RASGRP3,0.240,2.53E-01,,,
RASGRP4,0.022,9.31E-01,,,
RASL10A,0.038,9.99E-01,,,
RASL10B,0.067,4.34E-01,,,
RASL11A,0.009,9.51E-01,,,
RASL11B,-0.164,3.57E-01,,,
RASL12,0.105,7.49E-01,,,
RASSF1,0.046,8.61E-01,,,
RASSF2,0.164,2.83E-01,,,
RASSF3,0.045,9.36E-01,,,
RASSF4,0.025,5.55E-01,,,
RASSF5,-0.005,9.13E-01,,,
RASSF7,0.203,3.25E-01,,,
RASSF8,0.004,8.04E-01,,,
RASSF8-AS1,-0.004,8.89E-01,,,
RASSF9,0.011,9.87E-01,,,
RAVER1,0.156,2.00E-01,,,
RAVER2,-0.043,8.39E-01,,,
RB1,-0.007,8.56E-01,,,
RB1CC1,-0.011,8.59E-01,,,
RBAK,-0.029,7.68E-01,,,
RBBP4,-0.049,4.43E-01,,,
RBBP4P1,0.027,6.73E-01,,,
RBBP5,-0.018,8.63E-01,,,
RBBP6,-0.020,6.83E-01,,,
RBBP7,-0.041,6.51E-01,,,
RBBP8,-0.048,3.26E-01,,,
RBBP9,-0.035,5.00E-01,,,
RBCK1,0.136,2.64E-01,,,
RBFA,-0.026,9.36E-01,,,
RBFADN,0.126,3.51E-01,,,
RBFOX1,-0.173,3.19E-01,,,
RBFOX2,-0.109,4.59E-01,,,
RBFOX3,0.200,2.34E-01,,,
RBKS,-0.044,6.39E-01,,,
RBL1,0.045,3.34E-01,,,
RBL2,-0.057,4.58E-01,,,
RBM10,0.127,2.04E-01,,,
RBM11,-0.089,4.78E-01,,,
RBM12,-0.034,3.97E-01,,,
RBM12B,-0.078,4.63E-01,,,
RBM12B-AS1,-0.063,6.21E-01,,,
RBM14,0.057,5.71E-01,,,
RBM15,-0.017,6.57E-01,,,
RBM15B,0.065,2.43E-01,,,
RBM17,0.022,8.26E-01,,,
RBM17P3,-0.147,4.47E-01,,,
RBM18,-0.064,6.57E-01,,,
RBM19,0.057,6.14E-01,,,
RBM22,0.004,9.90E-01,,,
RBM22P1,-0.030,5.67E-01,,,
RBM22P2,0.085,9.30E-01,,,
RBM23,-0.026,8.81E-01,,,
RBM24,-0.094,3.95E-01,,,
RBM25,-0.044,6.64E-01,,,
RBM26,-0.049,5.10E-01,,,
RBM27,-0.039,4.33E-01,,,
RBM28,0.014,7.31E-01,,,
RBM3,-0.339,1.98E-01,,,
RBM33,-0.018,8.17E-01,,,
RBM34,-0.005,9.26E-01,,,
RBM38,0.213,1.93E-01,,,
RBM39,-0.021,5.46E-01,,,
RBM4,0.038,5.81E-01,,,
RBM41,-0.067,6.57E-01,,,
RBM42,0.193,2.65E-01,,,
RBM43,-0.055,4.91E-01,,,
RBM43P1,0.071,3.09E-01,,,
RBM45,-0.016,7.21E-01,,,
RBM48,-0.016,1.00E+00,,,
RBM4B,0.016,6.94E-01,,,
RBM5,-0.005,9.93E-01,,,
RBM5-AS1,-0.046,8.21E-01,,,
RBM6,0.004,8.37E-01,,,
RBM7,-0.056,3.70E-01,,,
RBM8A,-0.044,5.06E-01,,,
RBMS1,-0.111,2.01E-01,,,
RBMS1P1,-0.021,8.72E-01,,,
RBMS2,0.027,8.91E-01,,,
RBMS3,0.005,8.55E-01,,,
RBMX,-0.047,4.84E-01,,,
RBMX2,-0.038,4.07E-01,,,
RBMXL1,-0.048,2.56E-01,,,
RBMY2GP,-0.050,8.16E-01,,,
RBMY2JP,-0.037,9.45E-01,,,
RBP1,0.026,9.84E-01,,,
RBP4,-0.200,3.24E-01,,,
RBP7,0.083,7.99E-01,,,
RBPJ,-0.014,9.87E-01,,,
RBPMS,0.036,8.79E-01,,,
RBSN,-0.051,3.71E-01,,,
RBX1,-0.031,6.55E-01,,,
RC3H1,-0.035,8.73E-01,,,
RC3H2,-0.034,8.60E-01,,,
RCAN1,0.012,9.06E-01,,,
RCAN2,-0.100,6.86E-01,,,
RCAN3,-0.002,9.81E-01,,,
RCBTB1,-0.040,9.57E-01,,,
RCBTB2,0.031,4.86E-01,,,
RCC1,0.121,5.51E-01,,,
RCC2,0.075,3.15E-01,,,
RCCD1,0.006,9.83E-01,,,
RCE1,0.022,9.00E-01,,,
RCHY1,-0.069,3.89E-01,,,
RCL1,-0.027,9.78E-01,,,
RCN1,-0.098,5.12E-01,,,
RCN1P2,-0.044,9.29E-01,,,
RCN2,-0.156,1.51E-01,,,
RCOR1,0.005,9.08E-01,,,
RCOR2,0.099,6.27E-01,,,
RCOR3,-0.009,7.73E-01,,,
RCSD1,0.062,8.70E-01,,,
RCVRN,0.164,7.61E-01,,,
RDH10,-0.010,8.66E-01,,,
RDH11,-0.031,7.81E-01,,,
RDH13,0.051,8.36E-01,,,
RDH14,-0.054,7.59E-01,,,
RDH16,-0.003,8.94E-01,,,
RDX,0.044,6.34E-01,,,
REC8,0.180,1.67E-01,,,
RECK,0.015,8.88E-01,,,
RECQL,-0.070,3.82E-01,,,
RECQL5,0.031,7.38E-01,,,
REEP1,-0.117,5.32E-01,,,
REEP2,0.133,3.34E-01,,,
REEP3,-0.037,8.57E-01,,,
REEP4,0.116,1.99E-01,,,
REEP5,-0.048,9.03E-01,,,
REEP6,0.033,7.69E-01,,,
REL,-0.055,6.93E-01,,,
RELA,0.071,4.13E-01,,,
RELL1,-0.003,9.15E-01,,,
RELL2,0.107,7.80E-01,,,
RELN,-0.118,4.51E-01,,,
RELT,0.134,3.82E-01,,,
RENBP,0.124,2.80E-01,,,
REP15,0.087,4.71E-01,,,
REPIN1,0.111,2.53E-01,,,
REPS1,-0.063,3.91E-01,,,
REPS2,-0.080,5.51E-01,,,
RER1,0.028,8.62E-01,,,
RERE,0.007,7.76E-01,,,
RERG,-0.161,4.04E-01,,,
RERGL,0.066,8.89E-01,,,
RESP18,-0.095,4.53E-01,,,
REST,0.046,8.13E-01,,,
RET,0.057,3.05E-01,,,
RETSAT,-0.042,9.36E-01,,,
REV1,-0.015,7.66E-01,,,
REV3L,-0.006,9.90E-01,,,
REXO1,0.175,3.83E-01,,,
REXO2,0.067,3.80E-01,,,
REXO4,0.112,3.22E-01,,,
RFC1,-0.023,8.73E-01,,,
RFC2,0.000,8.20E-01,,,
RFC3,-0.074,3.52E-01,,,
RFC4,0.048,8.72E-01,,,
RFC5,-0.018,9.50E-01,,,
RFFL,0.092,2.31E-01,,,
RFK,-0.284,2.05E-01,,,
RFKP1,-0.082,8.98E-01,,,
RFNG,0.165,2.53E-01,,,
RFPL1,0.057,5.70E-01,,,
RFPL1S,-0.187,2.31E-01,,,
RFPL2,0.056,4.27E-01,,,
RFPL4AP5,-0.047,8.97E-01,,,
RFT1,-0.067,6.67E-01,,,
RFTN1,-0.080,2.31E-01,,,
RFTN2,0.056,4.47E-01,,,
RFWD2,-0.045,5.94E-01,,,
RFWD3,0.001,9.76E-01,,,
RFX2,0.077,3.49E-01,,,
RFX3,-0.125,3.70E-01,,,
RFX3-AS1,0.005,9.24E-01,,,
RFX4,0.032,8.78E-01,,,
RFX5,-0.006,8.92E-01,,,
RFX7,-0.029,9.97E-01,,,
RFXANK,0.072,7.91E-01,,,
RFXAP,-0.082,2.66E-01,,,
RGAG4,-0.006,8.17E-01,,,
RGCC,0.016,6.31E-01,,,
RGL1,-0.036,7.79E-01,,,
RGL2,0.091,2.89E-01,,,
RGL3,0.117,2.27E-01,,,
RGL4,-0.010,9.14E-01,,,
RGMA,0.233,2.70E-01,,,
RGMB,-0.069,7.68E-01,,,
RGN,-0.037,7.55E-01,,,
RGP1,0.068,4.28E-01,,,
RGPD1,0.051,8.12E-01,,,
RGPD2,-0.145,3.11E-01,,,
RGPD5,-0.055,7.48E-01,,,
RGPD6,0.235,4.84E-01,,,
RGPD8,-0.143,5.79E-01,,,
RGR,0.009,8.49E-01,,,
RGS1,-0.055,9.12E-01,,,
RGS10,0.012,9.06E-01,,,
RGS11,0.146,4.51E-01,,,
RGS12,0.068,7.22E-01,,,
RGS14,0.084,5.47E-01,,,
RGS16,-0.051,8.92E-01,,,
RGS17,-0.101,2.56E-01,,,
RGS17P1,-0.037,7.59E-01,,,
RGS18,-0.025,8.96E-01,,,
RGS19,0.125,2.67E-01,,,
RGS2,-0.080,6.41E-01,,,
RGS20,-0.103,6.39E-01,,,
RGS22,-0.146,2.49E-01,,,
RGS3,0.109,2.77E-01,,,
RGS4,-0.302,2.05E-01,,,
RGS5,-0.104,3.17E-01,,,
RGS6,-0.058,8.19E-01,,,
RGS7,-0.184,2.53E-01,,,
RGS7BP,-0.271,3.08E-01,,,
RGS8,-0.200,2.03E-01,,,
RGS9,0.063,8.36E-01,,,
RHBDD1,-0.012,8.57E-01,,,
RHBDD2,0.059,7.77E-01,,,
RHBDD3,0.161,3.79E-01,,,
RHBDF1,0.168,3.48E-01,,,
RHBDF2,0.179,1.40E-01,,,
RHBDL1,0.209,4.96E-01,,,
RHBDL2,0.077,6.36E-01,,,
RHBDL3,0.044,5.12E-01,,,
RHCG,-0.004,8.86E-01,,,
RHD,0.001,8.16E-01,,,
RHEB,-0.073,4.19E-01,,,
RHEBL1,-0.053,4.78E-01,,,
RHEBP3,0.021,8.89E-01,,,
RHNO1,-0.109,2.39E-01,,,
RHOA,-0.033,4.91E-01,,,
RHOB,0.009,9.37E-01,,,
RHOBTB1,0.002,8.93E-01,,,
RHOBTB2,0.010,9.77E-01,,,
RHOBTB3,-0.144,5.25E-01,,,
RHOC,0.092,8.57E-01,,,
RHOF,0.089,4.33E-01,,,
RHOG,0.232,1.48E-01,,,
RHOJ,0.007,9.84E-01,,,
RHOQ,0.005,7.87E-01,,,
RHOT1,-0.034,8.94E-01,,,
RHOT1P1,-0.019,7.95E-01,,,
RHOT1P2,0.082,9.60E-01,,,
RHOT2,0.156,5.12E-01,,,
RHOU,0.067,7.49E-01,,,
RHPN1,0.322,1.85E-01,,,
RHPN2,0.058,9.94E-01,,,
RHPN2P1,-0.009,9.57E-01,,,
RIC1,-0.025,7.02E-01,,,
RIC3,-0.080,1.76E-01,,,
RIC8A,0.048,5.60E-01,,,
RIC8B,-0.026,6.97E-01,,,
RICTOR,-0.047,7.14E-01,,,
RIF1,-0.028,9.06E-01,,,
RIIAD1,-0.125,6.47E-01,,,
RILP,0.091,3.43E-01,,,
RILPL1,0.107,3.15E-01,,,
RILPL2,-0.017,9.28E-01,,,
RIMBP2,-0.083,2.03E-01,,,
RIMKLA,-0.029,9.24E-01,,,
RIMKLB,-0.046,8.42E-01,,,
RIMKLBP2,-0.031,9.52E-01,,,
RIMS1,-0.084,2.34E-01,,,
RIMS2,-0.117,2.00E-01,,,
RIMS3,-0.077,7.43E-01,,,
RIMS4,-0.002,9.04E-01,,,
RIN1,0.156,3.82E-01,,,
RIN2,0.096,5.40E-01,,,
RIN3,0.057,4.34E-01,,,
RING1,0.033,8.85E-01,,,
RINL,-0.001,9.84E-01,,,
RINT1,-0.053,3.34E-01,,,
RIOK1,0.001,9.41E-01,,,
RIOK2,-0.011,7.87E-01,,,
RIOK3,-0.061,3.41E-01,,,
RIPK1,-0.012,5.51E-01,,,
RIPK2,-0.069,4.27E-01,,,
RIPPLY2,0.008,8.38E-01,,,
RIPPLY3,-0.018,9.51E-01,,,
RIT1,-0.036,6.29E-01,,,
RIT2,-0.090,6.73E-01,,,
RITA1,0.075,2.93E-01,,,
RLBP1,-0.047,6.29E-01,,,
RLF,-0.055,3.82E-01,,,
RLIM,-0.071,3.93E-01,,,
RLIMP1,0.102,5.52E-01,,,
RLIMP2,-0.010,9.99E-01,,,
RLTPR,0.130,3.07E-01,,,
RMDN1,-0.029,7.56E-01,,,
RMDN2,-0.053,4.94E-01,,,
RMDN3,0.029,7.57E-01,,,
RMI1,-0.010,9.66E-01,,,
RMI2,0.098,4.06E-01,,,
RMND1,-0.027,8.39E-01,,,
RMND5A,-0.003,8.69E-01,,,
RMND5B,0.032,5.52E-01,,,
RMRP,0.083,8.71E-01,,,
RMST,-0.179,1.67E-01,,,
RN7SK,0.022,8.16E-01,,,
RN7SKP5,-0.027,9.73E-01,,,
RN7SKP9,-0.048,9.82E-01,,,
RN7SL1,0.021,8.06E-01,,,
RN7SL2,0.043,6.93E-01,,,
RN7SL3,0.159,2.71E-01,,,
RN7SL4P,-0.068,8.67E-01,,,
RN7SL5P,0.097,9.63E-01,,,
RN7SL6P,0.026,6.27E-01,,,
RN7SL7P,0.084,9.29E-01,,,
RNA18SP2,0.048,8.76E-01,,,
RNA5-8SP2,-0.001,7.81E-01,,,
RNA5-8SP3,-0.193,7.75E-01,,,
RNA5-8SP4,0.141,8.84E-01,,,
RNA5-8SP5,-0.098,8.64E-01,,,
RNA5-8SP6,-0.243,5.11E-01,,,
RNA5S1,-0.142,7.68E-01,,,
RNA5S10,-0.142,7.68E-01,,,
RNA5S11,-0.142,7.68E-01,,,
RNA5S12,-0.142,7.68E-01,,,
RNA5S13,-0.142,7.68E-01,,,
RNA5S14,-0.142,7.68E-01,,,
RNA5S15,-0.142,7.68E-01,,,
RNA5S16,-0.142,7.68E-01,,,
RNA5S17,-0.142,7.68E-01,,,
RNA5S2,-0.142,7.68E-01,,,
RNA5S3,-0.142,7.68E-01,,,
RNA5S4,-0.142,7.68E-01,,,
RNA5S5,-0.142,7.68E-01,,,
RNA5S6,-0.142,7.68E-01,,,
RNA5S7,-0.142,7.68E-01,,,
RNA5S8,-0.142,7.68E-01,,,
RNA5S9,-0.349,6.13E-01,,,
RNA5SP187,0.044,8.80E-01,,,
RNA5SP216,-0.028,9.27E-01,,,
RNA5SP305,-0.030,7.83E-01,,,
RNASE1,0.120,6.80E-01,,,
RNASE2,-0.123,7.59E-01,,,
RNASE4,-0.119,4.12E-01,,,
RNASE6,0.013,6.55E-01,,,
RNASEH1,-0.018,8.12E-01,,,
RNASEH1-AS1,0.075,8.47E-01,,,
RNASEH1P2,-0.057,4.84E-01,,,
RNASEH2A,0.026,8.48E-01,,,
RNASEH2B,0.021,8.79E-01,,,
RNASEH2C,0.094,2.39E-01,,,
RNASEK,0.032,7.36E-01,,,
RNASEL,-0.053,6.98E-01,,,
RNASET2,0.091,2.95E-01,,,
RND1,0.018,9.73E-01,,,
RND2,-0.003,9.79E-01,,,
RND3,-0.180,1.40E-01,,,
RNF10,-0.006,7.53E-01,,,
RNF103,-0.045,5.85E-01,,,
RNF11,-0.094,3.83E-01,,,
RNF111,-0.099,3.71E-01,,,
RNF112,-0.002,8.33E-01,,,
RNF113A,-0.019,8.92E-01,,,
RNF114,0.003,7.17E-01,,,
RNF115,-0.032,8.66E-01,,,
RNF121,-0.009,6.62E-01,,,
RNF123,0.086,3.05E-01,,,
RNF125,0.061,3.22E-01,,,
RNF126,0.204,5.44E-01,,,
RNF128,-0.070,5.68E-01,,,
RNF13,-0.032,9.58E-01,,,
RNF130,0.118,1.67E-01,,,
RNF133,-0.079,4.82E-01,,,
RNF135,0.110,3.94E-01,,,
RNF138,-0.069,3.55E-01,,,
RNF138P1,-0.038,7.78E-01,,,
RNF139,-0.013,8.38E-01,,,
RNF139-AS1,-0.004,9.47E-01,,,
RNF14,-0.099,2.37E-01,,,
RNF141,-0.097,3.76E-01,,,
RNF144A,-0.022,8.43E-01,,,
RNF144A-AS1,-0.003,9.85E-01,,,
RNF144B,-0.087,6.07E-01,,,
RNF145,-0.083,5.12E-01,,,
RNF146,-0.056,3.85E-01,,,
RNF148,-0.026,9.40E-01,,,
RNF149,-0.035,6.60E-01,,,
RNF150,-0.125,1.76E-01,,,
RNF152,-0.018,9.48E-01,,,
RNF157,0.005,8.94E-01,,,
RNF165,-0.097,2.08E-01,,,
RNF166,0.140,2.81E-01,,,
RNF167,0.047,6.24E-01,,,
RNF168,-0.047,8.06E-01,,,
RNF169,-0.033,7.10E-01,,,
RNF170,-0.081,3.37E-01,,,
RNF175,-0.076,9.03E-01,,,
RNF180,-0.016,9.04E-01,,,
RNF181,-0.044,6.42E-01,,,
RNF182,-0.059,8.66E-01,,,
RNF185,0.027,7.48E-01,,,
RNF187,0.007,9.46E-01,,,
RNF19A,-0.086,4.52E-01,,,
RNF19B,-0.001,9.28E-01,,,
RNF2,-0.109,3.70E-01,,,
RNF20,-0.034,8.21E-01,,,
RNF207,0.142,2.74E-01,,,
RNF208,0.289,2.33E-01,,,
RNF213,0.131,2.98E-01,,,
RNF214,0.022,8.17E-01,,,
RNF215,0.042,9.38E-01,,,
RNF216,0.030,9.29E-01,,,
RNF216P1,0.028,8.08E-01,,,
RNF217,-0.067,4.69E-01,,,
RNF219,-0.061,5.99E-01,,,
RNF219-AS1,-0.126,2.84E-01,,,
RNF220,0.043,3.53E-01,,,
RNF222,-0.001,8.67E-01,,,
RNF24,-0.031,7.38E-01,,,
RNF25,0.031,9.97E-01,,,
RNF26,0.045,5.30E-01,,,
RNF31,0.092,5.35E-01,,,
RNF32,-0.004,8.36E-01,,,
RNF34,-0.048,8.01E-01,,,
RNF38,-0.056,5.88E-01,,,
RNF4,-0.045,2.83E-01,,,
RNF40,0.109,2.08E-01,,,
RNF41,-0.010,8.80E-01,,,
RNF44,0.043,8.71E-01,,,
RNF5,0.008,9.28E-01,,,
RNF6,-0.065,7.77E-01,,,
RNF7,-0.002,9.56E-01,,,
RNF8,-0.028,9.13E-01,,,
RNFT1,-0.074,5.70E-01,,,
RNFT2,-0.054,7.91E-01,,,
RNGTT,-0.028,6.11E-01,,,
RNH1,0.285,1.85E-01,,,
RNLS,-0.065,6.39E-01,,,
RNMT,-0.088,2.45E-01,,,
RNMTL1,0.091,6.01E-01,,,
RNPC3,-0.055,6.99E-01,,,
RNPEP,0.018,7.51E-01,,,
RNPEPL1,0.205,1.97E-01,,,
RNPS1,-0.018,6.31E-01,,,
RNR1,0.049,7.60E-01,,,
RNR2,0.048,8.93E-01,,,
RNU1-1,-0.146,5.64E-01,,,
RNU1-11P,-0.041,8.17E-01,,,
RNU1-16P,-0.083,9.14E-01,,,
RNU1-17P,-0.228,5.10E-01,,,
RNU1-19P,0.124,7.39E-01,,,
RNU1-2,-0.146,5.64E-01,,,
RNU1-21P,-0.036,7.89E-01,,,
RNU1-27P,-0.146,5.64E-01,,,
RNU1-28P,-0.146,5.64E-01,,,
RNU1-3,-0.146,5.64E-01,,,
RNU1-4,-0.146,5.64E-01,,,
RNU105C,0.040,7.87E-01,,,
RNU11,-0.067,7.78E-01,,,
RNU12,-0.270,5.46E-01,,,
RNU2-1,-0.176,5.61E-01,,,
RNU2-2P,-0.181,8.05E-01,,,
RNU2-4P,0.201,4.45E-01,,,
RNU2-6P,0.096,9.99E-01,,,
RNU4-1,-0.163,5.69E-01,,,
RNU4-2,-0.209,3.32E-01,,,
RNU4ATAC,0.013,8.70E-01,,,
RNU5A-1,-0.356,4.35E-01,,,
RNU5B-1,-0.246,6.32E-01,,,
RNU5D-1,-0.194,3.33E-01,,,
RNU5E-1,-0.238,6.72E-01,,,
