gene,hugo,logFC,AveExpr,t,P.Value,adj.P.Val,B,se,chr,N
ENSG00000166436,TRIM66,-0.623848496,3.810129769,-4.868104778,3.55E-05,0.001872031,2.134696722,0.128150178,11,39
ENSG00000099901,RANBP1,-0.36856757,4.542041506,-4.864415837,3.56E-05,0.001872031,2.069735254,0.075768105,22,39
ENSG00000169093,ASMTL,-0.523474403,3.99394278,-4.866202167,3.57E-05,0.001872031,2.085092993,0.107573501,X,39
ENSG00000158457,TSPAN33,0.576797363,4.018043576,4.861138474,3.62E-05,0.001892953,2.098552262,0.11865479,7,39
ENSG00000171772,SYCE1,-1.523284752,1.740831912,-4.85473781,3.69E-05,0.001921289,2.238738219,0.313772816,10,39
ENSG00000165168,CYBB,0.969154786,4.15707291,4.850339904,3.73E-05,0.001934438,2.052891506,0.199811726,X,39
ENSG00000148357,HMCN2,-1.304324663,0.12521453,-4.850140619,3.73E-05,0.001934438,2.181884578,0.268925123,9,39
ENSG00000120645,IQSEC3,-0.648518652,6.702655729,-4.836490587,3.88E-05,0.002003614,1.9945671,0.134088683,12,39
ENSG00000271601,LIX1L,0.387983127,4.808518019,4.830487038,3.92E-05,0.002017334,1.980974039,0.08031967,1,39
ENSG00000237441,RGL2,0.611409617,4.769860956,4.831910497,3.93E-05,0.002017334,1.962638408,0.126535791,6,39
ENSG00000152952,PLOD2,0.549111697,5.209435221,4.830769903,3.94E-05,0.002017766,1.954199055,0.113669603,3,39
ENSG00000110917,MLEC,0.551788883,7.128006333,4.828406241,3.97E-05,0.002022833,1.951903813,0.114279714,12,39
ENSG00000213967,ZNF726,-0.506261581,1.103142028,-4.825266826,3.98E-05,0.002022833,2.191854031,0.104918878,19,39
ENSG00000204516,MICB,0.921443006,0.373546557,4.824452892,3.99E-05,0.002022833,2.153790087,0.190994301,6,39
ENSG00000261455,LINC01003,-0.656387548,2.668749172,-4.820863595,4.04E-05,0.002046733,2.119087296,0.136155594,7,39
ENSG00000150782,IL18,0.71417913,0.980486356,4.81708521,4.07E-05,0.002052104,2.157906774,0.148259601,11,39
ENSG00000008226,DLEC1,1.251138939,1.547287274,4.814702962,4.12E-05,0.002073466,2.150734792,0.25985797,3,39
ENSG00000189144,ZNF573,-0.309889196,3.584317897,-4.810603017,4.14E-05,0.002077494,2.021733898,0.064417952,19,39
ENSG00000160781,PAQR6,-0.706930076,7.128198073,-4.809855808,4.18E-05,0.002089542,1.918900977,0.146975316,1,39
ENSG00000175832,ETV4,1.169979011,0.233938573,4.80487216,4.23E-05,0.002103309,2.033816494,0.243498468,17,39
ENSG00000204584,FLJ45513,-0.997749965,0.284607656,-4.803788736,4.23E-05,0.002103309,2.090026508,0.207700634,17,39
ENSG00000185607,ACTBP7,-1.145838603,0.139774147,-4.803950444,4.24E-05,0.002103401,2.059391915,0.238520071,15,39
ENSG00000089169,RPH3A,-1.880585846,5.633986632,-4.802932069,4.26E-05,0.002105922,1.853864642,0.391549541,12,39
ENSG00000186298,PPP1CC,0.49103657,6.264863944,4.796548264,4.33E-05,0.002134546,1.893754862,0.102372903,12,39
ENSG00000132357,CARD6,0.770239268,2.497644131,4.795753734,4.35E-05,0.002134546,2.061516875,0.160608595,5,39
ENSG00000020577,SAMD4A,0.756986252,6.84528635,4.795032345,4.35E-05,0.002134546,1.83937522,0.157868852,14,39
ENSG00000173905,GOLIM4,0.537895152,6.88630168,4.793489732,4.37E-05,0.002137688,1.878625431,0.112213686,3,39
