Gene,logFC,logCPM,PValue,FDR,UP/DOWN,DE Score
TMPPE,0.21,0.9,3.9E-01,4.9E-01,1,0.00
TMPRSS13,-0.16,-0.6,7.5E-01,8.1E-01,0,0.00
TMPRSS3,-1.31,2.1,4.5E-04,1.6E-03,0,0.12
TMPRSS5,1.04,5.7,9.3E-03,2.2E-02,1,0.06
TMSB10,-0.33,8.9,1.7E-02,3.8E-02,0,0.02
TMTC1,0.35,6.2,7.8E-02,1.3E-01,1,0.01
TMTC2,0.11,6.3,4.5E-01,5.5E-01,1,0.00
TMTC3,0.21,4.0,7.5E-02,1.3E-01,1,0.01
TMTC4,-0.01,6.0,9.5E-01,9.6E-01,0,0.00
TMUB1,0.28,4.8,1.6E-02,3.6E-02,1,0.01
TMUB2,-0.07,5.5,3.7E-01,4.7E-01,0,0.00
TMX1,0.63,4.8,6.8E-11,1.6E-09,1,0.19
TMX2,-0.11,6.6,1.2E-01,1.9E-01,0,0.00
TMX3,0.00,5.0,9.9E-01,1.0E+00,1,0.00
TMX4,-0.42,6.7,4.1E-04,1.5E-03,0,0.04
TNC,0.41,6.3,2.3E-02,4.8E-02,1,0.02
TNFAIP1,0.07,6.4,3.4E-01,4.4E-01,1,0.00
TNFAIP2,-0.14,4.4,3.7E-01,4.8E-01,0,0.00
TNFAIP3,0.66,3.2,1.5E-05,8.2E-05,1,0.09
TNFAIP6,0.33,1.8,1.5E-01,2.3E-01,1,0.01
TNFAIP8,1.29,2.4,4.1E-08,4.3E-07,1,0.27
TNFAIP8L1,-0.39,4.6,3.3E-03,9.0E-03,0,0.03
TNFAIP8L2,-0.04,2.8,8.4E-01,8.8E-01,0,0.00
TNFAIP8L3,-1.25,4.4,2.0E-07,1.8E-06,0,0.24
TNFRSF10A,1.20,2.7,4.9E-09,6.8E-08,1,0.29
TNFRSF10B,0.67,5.0,1.8E-06,1.3E-05,1,0.11
TNFRSF10C,0.71,1.2,1.7E-02,3.7E-02,1,0.03
TNFRSF10D,1.88,4.4,7.0E-16,1.0E-13,1,0.63
TNFRSF11A,-0.69,1.6,8.4E-03,2.0E-02,0,0.04
TNFRSF11B,1.29,3.7,3.7E-05,1.8E-04,1,0.16
TNFRSF12A,0.73,3.1,3.9E-04,1.4E-03,1,0.07
TNFRSF14,0.37,4.9,1.6E-02,3.6E-02,1,0.02
TNFRSF19,0.62,3.0,2.7E-04,1.0E-03,1,0.06
TNFRSF1A,0.67,6.6,3.4E-13,1.7E-11,1,0.22
TNFRSF1B,0.51,5.9,2.4E-03,7.0E-03,1,0.04
TNFRSF21,-0.72,5.8,8.7E-07,6.6E-06,0,0.12
TNFRSF25,0.27,2.9,1.3E-01,2.1E-01,1,0.01
TNFRSF4,0.03,-0.3,9.0E-01,9.3E-01,1,0.00
TNFSF10,0.23,3.8,4.1E-01,5.1E-01,1,0.00
TNFSF12,0.29,5.6,1.9E-02,4.0E-02,1,0.01
TNFSF13,-0.44,3.6,5.1E-03,1.3E-02,0,0.03
TNFSF13B,0.00,1.9,9.9E-01,9.9E-01,1,0.00
TNFSF14,2.66,0.0,1.9E-08,2.2E-07,1,0.59
TNFSF4,-0.11,1.2,5.8E-01,6.7E-01,0,0.00
TNFSF8,0.11,0.4,7.3E-01,8.0E-01,1,0.00
TNFSF9,0.01,1.8,9.6E-01,9.8E-01,1,0.00
TNIK,-0.29,6.3,1.8E-02,4.0E-02,0,0.01
TNIP1,0.35,6.5,5.9E-06,3.6E-05,1,0.05
TNIP2,0.96,5.0,5.4E-18,2.1E-15,1,0.32
TNIP3,-1.28,-0.8,6.9E-02,1.2E-01,0,0.04
TNK1,-0.02,0.9,9.8E-01,9.9E-01,0,0.00
TNK2,-0.11,7.9,3.0E-01,4.0E-01,0,0.00
TNKS,0.15,6.7,1.7E-01,2.5E-01,1,0.00
TNKS1BP1,0.29,6.5,5.3E-03,1.4E-02,1,0.02
TNKS2,0.34,6.4,1.2E-04,5.2E-04,1,0.04
TNN,-0.08,-0.1,8.9E-01,9.2E-01,0,0.00
TNNC1,1.08,-0.2,4.0E-02,7.6E-02,1,0.04
TNNC2,-0.46,0.2,1.3E-01,2.0E-01,0,0.01
TNNI3,-0.75,-0.5,2.7E-02,5.5E-02,0,0.03
TNNT1,-0.89,3.1,3.6E-05,1.8E-04,0,0.11
TNNT2,-1.01,2.1,8.0E-03,1.9E-02,0,0.06
TNPO1,0.42,6.6,2.0E-04,7.8E-04,1,0.04
TNPO2,-0.52,7.7,2.4E-09,3.6E-08,0,0.13
TNPO3,-0.10,5.4,3.5E-01,4.5E-01,0,0.00
TNR,-0.56,8.2,1.1E-03,3.5E-03,0,0.05
TNRC18,-0.06,6.3,5.3E-01,6.3E-01,0,0.00
TNRC6A,0.33,6.1,5.2E-05,2.5E-04,1,0.04
TNRC6B,0.35,5.8,8.7E-04,2.9E-03,1,0.03
TNRC6C,0.07,5.8,4.6E-01,5.6E-01,1,0.00
TNS1,1.24,8.8,1.6E-08,1.9E-07,1,0.28
TNS3,0.43,8.3,8.5E-03,2.1E-02,1,0.02
TNXB,1.03,5.5,3.0E-08,3.3E-07,1,0.22
TOB1,0.37,5.6,3.0E-03,8.2E-03,1,0.03
TOB2,0.42,7.3,7.3E-04,2.4E-03,1,0.04
TOE1,-0.08,3.2,5.0E-01,6.0E-01,0,0.00
TOLLIP,-0.56,7.6,1.2E-08,1.5E-07,0,0.13
TOM1,-0.32,5.9,2.6E-03,7.3E-03,0,0.02
TOM1L1,-0.25,2.6,1.7E-01,2.5E-01,0,0.01
TOM1L2,-0.64,8.1,1.2E-12,4.7E-11,0,0.21
TOMM20,-0.61,7.8,3.1E-11,7.8E-10,0,0.19
TOMM22,-0.23,5.4,1.3E-02,2.9E-02,0,0.01
TOMM34,-1.12,6.4,1.6E-10,3.4E-09,0,0.32
TOMM40,-0.56,5.4,1.8E-08,2.1E-07,0,0.12
TOMM40L,-0.58,4.7,8.2E-08,8.0E-07,0,0.12
TOMM5,-0.29,3.4,2.0E-02,4.3E-02,0,0.01
TOMM7,0.06,7.8,6.1E-01,7.0E-01,1,0.00
TOMM70A,-0.47,6.1,1.2E-06,8.8E-06,0,0.08
TONSL,-0.16,2.4,2.9E-01,3.9E-01,0,0.00
TOP1,0.05,6.1,6.2E-01,7.1E-01,1,0.00
TOP1MT,0.48,4.1,1.2E-03,3.7E-03,1,0.04
TOP2B,-0.15,7.4,7.7E-02,1.3E-01,0,0.00
TOP3A,-0.09,4.3,4.1E-01,5.1E-01,0,0.00
TOP3B,0.63,3.9,5.2E-07,4.2E-06,1,0.11
TOPBP1,-0.06,4.7,5.5E-01,6.4E-01,0,0.00
TOPORS,0.22,4.5,3.1E-02,6.2E-02,1,0.01
TOR1A,-0.35,5.1,3.9E-05,1.9E-04,0,0.04
TOR1AIP1,0.25,6.4,7.8E-03,1.9E-02,1,0.01
TOR1AIP2,0.12,5.6,1.3E-01,2.1E-01,1,0.00
TOR1B,0.24,4.6,1.2E-02,2.8E-02,1,0.01
TOR2A,0.19,3.7,1.2E-01,2.0E-01,1,0.00
TOR3A,-0.14,4.9,1.5E-01,2.3E-01,0,0.00
TOR4A,0.94,3.2,3.2E-07,2.7E-06,1,0.17
TOX,-0.67,3.9,4.4E-06,2.8E-05,0,0.10
TOX2,-0.86,3.5,3.6E-15,3.8E-13,0,0.29
TOX3,0.17,2.4,2.9E-01,3.9E-01,1,0.00
TOX4,-0.15,6.3,7.3E-02,1.3E-01,0,0.00
TP53,-0.01,4.0,9.5E-01,9.6E-01,0,0.00
TP53AIP1,0.44,-0.4,1.9E-01,2.8E-01,1,0.01
TP53BP1,-0.18,6.2,1.3E-01,2.1E-01,0,0.00
TP53BP2,-0.03,7.2,8.2E-01,8.7E-01,0,0.00
TP53I11,-0.31,5.8,5.6E-02,1.0E-01,0,0.01
TP53I13,0.33,4.5,1.8E-02,4.0E-02,1,0.02
TP53I3,0.01,2.5,9.7E-01,9.8E-01,1,0.00
TP53INP1,0.48,3.9,9.4E-03,2.2E-02,1,0.03
TP53INP2,0.07,9.3,7.2E-01,7.9E-01,1,0.00
TP53RK,0.05,4.0,5.8E-01,6.7E-01,1,0.00
TP53TG5,-0.51,2.7,9.2E-03,2.2E-02,0,0.03
TP63,1.53,0.0,3.6E-06,2.4E-05,1,0.24
TP73,0.19,1.9,4.0E-01,5.0E-01,1,0.00
TPBG,1.12,2.8,3.4E-06,2.2E-05,1,0.17
TPBGL,-1.87,1.1,7.7E-12,2.4E-10,0,0.60
TPCN1,-0.23,6.6,3.9E-02,7.5E-02,0,0.01
TPCN2,-0.01,3.4,9.5E-01,9.7E-01,0,0.00
TPD52,-0.33,6.4,5.2E-04,1.8E-03,0,0.03
TPD52L1,0.38,6.9,4.8E-02,8.9E-02,1,0.01
TPD52L2,0.18,7.2,5.2E-02,9.5E-02,1,0.01
TPGS1,0.27,1.3,2.7E-01,3.7E-01,1,0.00
TPGS2,-0.24,6.3,8.9E-03,2.1E-02,0,0.01
TPH2,-2.62,-0.7,9.7E-11,2.1E-09,0,0.76
TPI1,-0.57,8.9,1.6E-08,1.9E-07,0,0.13
TPK1,-0.05,2.3,6.0E-01,6.9E-01,0,0.00
TPM1,0.46,7.0,8.0E-02,1.4E-01,1,0.01
TPM2,1.51,7.6,5.4E-04,1.9E-03,1,0.14
TPM3,-0.14,7.6,9.1E-02,1.5E-01,0,0.00
TPM4,0.43,7.8,6.1E-04,2.1E-03,1,0.04
TPMT,-0.25,4.6,5.1E-03,1.3E-02,0,0.02
TPP1,0.11,8.2,4.2E-01,5.2E-01,1,0.00
TPP2,0.00,5.0,9.9E-01,9.9E-01,1,0.00
TPPP,-0.11,9.4,4.7E-01,5.7E-01,0,0.00
TPPP3,-0.41,7.5,1.3E-03,3.9E-03,0,0.03
TPR,0.01,6.7,9.0E-01,9.3E-01,1,0.00
TPRA1,0.21,5.3,2.0E-02,4.3E-02,1,0.01
TPRG1L,-0.46,7.4,8.2E-06,4.9E-05,0,0.07
TPRKB,0.28,3.9,2.6E-02,5.3E-02,1,0.01
TPRN,0.45,6.6,8.7E-04,2.9E-03,1,0.04
TPST1,-0.09,5.2,4.6E-01,5.6E-01,0,0.00
TPST2,1.16,5.7,4.2E-12,1.5E-10,1,0.38
TPT1,0.51,10.6,5.0E-06,3.1E-05,1,0.08
TPX2,-0.89,1.0,6.4E-05,2.9E-04,0,0.10
TRA2A,0.49,5.6,6.9E-06,4.2E-05,1,0.07
TRA2B,0.21,6.1,3.7E-02,7.2E-02,1,0.01
TRABD,0.46,4.5,1.6E-04,6.5E-04,1,0.05
TRABD2A,-0.76,1.5,8.9E-03,2.1E-02,0,0.04
TRABD2B,1.82,2.5,6.2E-04,2.1E-03,1,0.16
TRAC,-0.53,0.8,1.2E-01,1.9E-01,0,0.01
TRADD,-0.02,3.7,8.6E-01,9.0E-01,0,0.00
TRAF1,0.16,4.5,2.8E-01,3.8E-01,1,0.00
TRAF2,0.50,4.6,4.0E-03,1.1E-02,1,0.03
TRAF3,-0.14,5.9,1.8E-01,2.7E-01,0,0.00
TRAF3IP1,0.22,4.8,8.1E-02,1.4E-01,1,0.01
TRAF3IP2,0.12,4.7,3.5E-01,4.5E-01,1,0.00
TRAF3IP3,0.10,2.4,6.3E-01,7.2E-01,1,0.00
TRAF4,0.20,5.3,1.5E-01,2.3E-01,1,0.00
TRAF5,-0.02,3.0,9.0E-01,9.3E-01,0,0.00
TRAF6,0.45,3.9,6.7E-04,2.3E-03,1,0.04
TRAF7,0.13,5.8,8.8E-02,1.5E-01,1,0.00
TRAFD1,0.17,5.5,9.5E-02,1.6E-01,1,0.00
TRAIP,-1.10,0.9,5.7E-04,2.0E-03,0,0.10
TRAK1,-0.16,6.6,4.1E-02,7.8E-02,0,0.01
TRAK2,0.85,7.8,1.1E-09,1.7E-08,1,0.22
TRAM1,0.55,5.9,3.2E-06,2.1E-05,1,0.09
TRAM1L1,-0.81,2.9,1.1E-05,6.3E-05,0,0.11
TRAM2,0.90,4.5,5.2E-09,7.1E-08,1,0.21
TRANK1,-0.77,3.8,5.0E-07,4.1E-06,0,0.14
TRAP1,-0.75,5.4,7.7E-14,4.7E-12,0,0.25
TRAPPC1,-0.60,6.1,4.3E-13,2.0E-11,0,0.20
TRAPPC10,0.19,6.6,6.9E-02,1.2E-01,1,0.01
TRAPPC11,-0.48,4.9,3.9E-08,4.1E-07,0,0.10
TRAPPC12,-0.47,5.4,1.1E-06,8.1E-06,0,0.08
TRAPPC13,-0.31,4.4,4.6E-03,1.2E-02,0,0.02
TRAPPC2L,-0.24,5.7,2.0E-02,4.3E-02,0,0.01
TRAPPC2P1,-0.41,2.2,8.0E-03,1.9E-02,0,0.02
TRAPPC3,0.05,5.6,5.5E-01,6.4E-01,1,0.00
TRAPPC4,-0.31,5.4,1.3E-03,4.0E-03,0,0.02
TRAPPC6A,-0.43,3.9,2.8E-03,7.7E-03,0,0.03
TRAPPC6B,-0.79,5.3,7.4E-12,2.3E-10,0,0.25
TRAPPC8,0.09,5.6,4.6E-01,5.6E-01,1,0.00
TRAPPC9,-0.52,5.5,1.7E-08,2.1E-07,0,0.12
TRBC2,0.20,1.8,5.1E-01,6.1E-01,1,0.00
TRDC,-1.27,-0.8,1.5E-02,3.4E-02,0,0.06
TRDMT1,0.28,2.4,7.2E-02,1.2E-01,1,0.01
TRDN,1.00,2.4,7.8E-06,4.7E-05,1,0.14
TREH,0.28,0.7,2.9E-01,3.9E-01,1,0.00
TREM1,0.80,0.1,2.1E-01,3.0E-01,1,0.01
TREM2,0.36,5.3,1.5E-01,2.3E-01,1,0.01
TREML1,0.55,0.4,1.1E-01,1.8E-01,1,0.01
TRERF1,-0.40,2.9,1.5E-02,3.3E-02,0,0.02
TREX1,-0.21,4.4,2.0E-01,2.8E-01,0,0.00
TRGC1,0.20,0.1,6.3E-01,7.2E-01,1,0.00
TRGC2,0.13,2.2,7.9E-01,8.5E-01,1,0.00
TRH,-1.04,-0.6,1.3E-02,3.0E-02,0,0.05
TRHDE,-1.74,3.3,1.2E-08,1.5E-07,0,0.40
TRIAP1,-0.02,4.0,8.4E-01,8.9E-01,0,0.00
TRIB1,-0.40,4.1,8.6E-05,3.8E-04,0,0.05
TRIB2,0.15,5.8,1.4E-01,2.2E-01,1,0.00
TRIB3,0.18,2.7,3.0E-01,4.0E-01,1,0.00
TRIM11,-0.06,4.4,5.4E-01,6.4E-01,0,0.00
TRIM13,0.33,4.7,6.0E-04,2.1E-03,1,0.03
TRIM14,-0.08,4.3,5.9E-01,6.8E-01,0,0.00
TRIM16,0.74,3.6,1.7E-04,7.0E-04,1,0.08
TRIM16L,0.29,3.5,7.2E-02,1.2E-01,1,0.01
TRIM17,-0.79,2.3,1.3E-04,5.5E-04,0,0.09
TRIM2,-0.09,8.6,4.8E-01,5.8E-01,0,0.00
TRIM21,0.70,3.3,5.5E-08,5.6E-07,1,0.15
TRIM22,0.73,5.2,2.7E-07,2.4E-06,1,0.14
TRIM23,-0.35,5.3,3.4E-03,9.4E-03,0,0.02
TRIM24,-0.16,4.7,8.1E-02,1.4E-01,0,0.00
TRIM25,0.20,5.1,4.0E-02,7.6E-02,1,0.01
TRIM26,0.48,5.6,2.0E-04,8.0E-04,1,0.05
TRIM27,-0.11,5.5,1.5E-01,2.2E-01,0,0.00
TRIM28,0.18,7.6,2.6E-02,5.2E-02,1,0.01
TRIM29,-0.35,0.4,4.3E-01,5.3E-01,0,0.00
TRIM3,-0.26,5.1,8.3E-04,2.7E-03,0,0.02
TRIM32,-0.23,3.8,2.9E-02,5.9E-02,0,0.01
TRIM33,-0.03,5.5,7.4E-01,8.1E-01,0,0.00
TRIM35,-0.07,4.7,5.1E-01,6.1E-01,0,0.00
TRIM36,-1.12,4.3,5.0E-08,5.1E-07,0,0.23
TRIM37,-0.91,6.1,1.3E-09,2.1E-08,0,0.23
TRIM38,0.89,3.3,8.0E-08,7.8E-07,1,0.18
TRIM39,0.22,4.1,2.2E-02,4.7E-02,1,0.01
TRIM4,0.48,4.9,1.1E-04,4.9E-04,1,0.05
TRIM41,0.52,7.2,3.1E-04,1.2E-03,1,0.05
TRIM44,0.32,6.1,2.4E-02,5.1E-02,1,0.01
TRIM45,-0.11,2.3,4.0E-01,5.0E-01,0,0.00
TRIM46,-0.66,3.8,5.9E-06,3.6E-05,0,0.10
TRIM47,0.70,6.0,5.2E-08,5.4E-07,1,0.15
TRIM5,1.23,3.5,5.5E-18,2.1E-15,1,0.41
TRIM52,0.50,3.5,2.0E-05,1.1E-04,1,0.07
TRIM54,-0.82,0.1,4.3E-03,1.1E-02,0,0.05
TRIM56,0.78,4.3,5.4E-09,7.4E-08,1,0.19
TRIM58,-1.11,-0.1,4.1E-03,1.1E-02,0,0.07
TRIM59,-0.06,3.6,6.7E-01,7.4E-01,0,0.00
TRIM6,0.35,0.0,3.5E-01,4.5E-01,1,0.00
TRIM62,-0.05,4.9,6.7E-01,7.5E-01,0,0.00
TRIM65,0.36,5.1,4.3E-04,1.5E-03,1,0.03
TRIM66,-0.44,3.2,2.0E-02,4.3E-02,0,0.02
TRIM67,-0.80,2.1,7.3E-06,4.4E-05,0,0.12
TRIM68,-0.02,4.3,8.1E-01,8.6E-01,0,0.00
TRIM69,0.06,6.1,4.1E-01,5.1E-01,1,0.00
TRIM7,0.28,1.0,3.4E-01,4.4E-01,1,0.00
TRIM71,-0.88,0.2,1.9E-03,5.7E-03,0,0.07
TRIM8,0.33,7.5,2.7E-03,7.5E-03,1,0.02
TRIM9,-0.54,6.7,4.2E-07,3.4E-06,0,0.10
TRIO,-0.18,6.9,8.0E-02,1.4E-01,0,0.01
TRIOBP,0.43,3.7,3.8E-03,1.0E-02,1,0.03
TRIP10,1.47,5.6,6.1E-17,1.4E-14,1,0.49
TRIP11,0.13,5.1,2.5E-01,3.4E-01,1,0.00
TRIP12,0.20,7.4,2.8E-02,5.7E-02,1,0.01
TRIP13,-0.99,1.1,5.9E-04,2.0E-03,0,0.09
TRIP4,0.16,4.4,7.9E-02,1.3E-01,1,0.00
TRIP6,0.03,5.7,8.5E-01,8.9E-01,1,0.00
TRIQK,0.12,3.7,4.6E-01,5.6E-01,1,0.00
TRIT1,-0.07,3.4,5.1E-01,6.1E-01,0,0.00
TRMT1,-0.02,5.3,8.7E-01,9.0E-01,0,0.00
TRMT10A,0.09,2.2,6.4E-01,7.2E-01,1,0.00
TRMT10B,0.46,3.9,5.9E-06,3.6E-05,1,0.07
TRMT10C,-0.43,3.5,4.6E-04,1.6E-03,0,0.04
TRMT11,-0.07,3.6,5.0E-01,6.0E-01,0,0.00
TRMT112,0.03,6.7,8.3E-01,8.7E-01,1,0.00
TRMT12,0.14,3.4,2.1E-01,3.0E-01,1,0.00
TRMT13,0.36,3.2,7.9E-03,1.9E-02,1,0.02
TRMT1L,0.07,4.4,5.7E-01,6.7E-01,1,0.00
TRMT2A,-0.16,5.2,1.4E-01,2.2E-01,0,0.00
TRMT44,0.47,3.3,2.3E-04,8.8E-04,1,0.05
TRMT5,-0.19,3.7,7.5E-02,1.3E-01,0,0.01
TRMT6,-0.42,3.7,7.0E-05,3.2E-04,0,0.05
TRMT61A,-0.13,5.4,1.6E-01,2.4E-01,0,0.00
TRMT61B,-0.18,3.0,8.9E-02,1.5E-01,0,0.01
TRMU,0.40,5.1,8.0E-05,3.6E-04,1,0.05
TRNAU1AP,0.00,4.1,1.0E+00,1.0E+00,1,0.00
TRNP1,-0.73,4.5,1.4E-05,7.8E-05,0,0.10
TRNT1,-0.18,3.9,8.0E-02,1.4E-01,0,0.01
TROVE2,0.40,5.2,8.4E-04,2.8E-03,1,0.03
TRPC1,-0.50,3.8,1.4E-04,5.7E-04,0,0.05
TRPC3,0.23,1.4,4.7E-01,5.7E-01,1,0.00
TRPC4,-0.41,1.9,1.6E-01,2.4E-01,0,0.01
TRPC4AP,-0.26,6.9,4.7E-04,1.7E-03,0,0.02
TRPC6,0.45,1.1,1.3E-01,2.0E-01,1,0.01
TRPM1,-1.14,-1.0,1.6E-01,2.5E-01,0,0.02
TRPM2,-0.57,5.1,2.0E-03,5.9E-03,0,0.04
TRPM3,-0.32,5.6,3.5E-02,6.8E-02,0,0.01
TRPM4,0.11,3.9,5.3E-01,6.3E-01,1,0.00
TRPM6,0.11,3.0,6.1E-01,7.0E-01,1,0.00
TRPM7,0.72,4.4,2.2E-09,3.4E-08,1,0.18
TRPS1,0.51,5.2,1.5E-03,4.6E-03,1,0.04
TRPT1,-0.03,4.6,8.0E-01,8.5E-01,0,0.00
TRPV2,0.11,3.8,5.6E-01,6.6E-01,1,0.00
TRPV3,0.54,4.2,1.3E-04,5.3E-04,1,0.06
TRPV4,0.24,0.1,4.8E-01,5.8E-01,1,0.00
TRPV5,0.37,0.9,2.3E-01,3.2E-01,1,0.01
TRPV6,-1.06,1.7,1.5E-04,6.1E-04,0,0.11
TRRAP,0.15,6.1,1.5E-01,2.3E-01,1,0.00
TRUB1,-0.68,4.0,1.6E-07,1.4E-06,0,0.13
TRUB2,-0.34,5.4,4.3E-04,1.5E-03,0,0.03
TSC1,0.12,6.1,1.7E-01,2.5E-01,1,0.00
TSC2,-0.07,6.3,3.5E-01,4.5E-01,0,0.00
TSC22D1,0.19,9.4,1.2E-01,1.9E-01,1,0.00
TSC22D2,0.07,5.0,4.7E-01,5.7E-01,1,0.00
TSC22D4,-0.03,8.8,7.6E-01,8.3E-01,0,0.00
TSEN15,-0.04,4.8,6.9E-01,7.7E-01,0,0.00
TSEN2,-0.13,3.4,2.3E-01,3.3E-01,0,0.00
TSEN34,-0.11,4.9,3.4E-01,4.4E-01,0,0.00
TSEN54,0.26,4.1,4.6E-02,8.5E-02,1,0.01
TSFM,-0.42,4.5,1.2E-04,5.2E-04,0,0.05
TSG101,-0.10,5.9,2.0E-01,2.9E-01,0,0.00
TSGA10,0.38,2.9,2.0E-02,4.3E-02,1,0.02
TSHZ1,0.21,6.0,1.6E-01,2.4E-01,1,0.00
TSHZ2,-0.02,3.4,8.9E-01,9.2E-01,0,0.00
TSHZ3,0.11,4.0,4.4E-01,5.4E-01,1,0.00
TSKU,0.44,3.2,2.3E-02,4.8E-02,1,0.02
TSLP,1.77,0.7,1.8E-07,1.6E-06,1,0.34
TSN,-0.16,6.4,2.7E-02,5.6E-02,0,0.01
TSNARE1,0.32,4.3,3.5E-03,9.6E-03,1,0.02
TSNAX,-0.46,4.5,8.8E-05,3.9E-04,0,0.05
TSNAXIP1,0.39,3.0,4.5E-02,8.5E-02,1,0.01
TSPAN1,0.89,0.6,2.9E-02,5.8E-02,1,0.04
TSPAN11,0.13,4.8,5.5E-01,6.4E-01,1,0.00
TSPAN12,0.42,2.8,3.4E-02,6.6E-02,1,0.02
TSPAN13,-1.37,4.9,4.9E-12,1.6E-10,0,0.45
TSPAN14,0.52,7.1,3.6E-08,3.9E-07,1,0.11
TSPAN15,-0.44,5.9,3.8E-03,1.0E-02,0,0.03
TSPAN17,0.08,5.3,4.8E-01,5.7E-01,1,0.00
TSPAN18,-1.16,5.2,1.8E-05,9.5E-05,0,0.16
TSPAN19,1.21,0.8,1.9E-06,1.3E-05,1,0.20
TSPAN2,1.36,2.2,2.2E-03,6.3E-03,1,0.10
TSPAN3,-0.12,8.7,1.3E-01,2.0E-01,0,0.00
TSPAN31,-0.21,5.2,2.8E-02,5.6E-02,0,0.01
TSPAN32,0.22,0.7,5.0E-01,6.0E-01,1,0.00
TSPAN33,0.13,5.2,2.8E-01,3.8E-01,1,0.00
TSPAN4,0.30,4.5,2.4E-02,5.0E-02,1,0.01
TSPAN5,-0.40,6.8,3.6E-05,1.8E-04,0,0.05
TSPAN8,0.78,2.9,5.4E-03,1.4E-02,1,0.05
TSPAN9,0.48,5.2,1.5E-04,6.3E-04,1,0.05
TSPO,0.55,5.6,9.8E-05,4.3E-04,1,0.06
TSPYL1,-1.10,7.3,2.0E-15,2.4E-13,0,0.37
TSPYL4,-0.52,7.2,5.7E-03,1.4E-02,0,0.03
TSPYL5,-0.72,4.8,1.5E-11,4.1E-10,0,0.23
TSR1,0.07,5.0,4.0E-01,5.0E-01,1,0.00
TSR3,0.03,5.8,7.6E-01,8.2E-01,1,0.00
TSSC1,-0.70,5.2,3.6E-12,1.3E-10,0,0.23
TSSC4,0.32,5.4,3.9E-03,1.0E-02,1,0.02
TSSK4,0.04,1.8,8.3E-01,8.8E-01,1,0.00
TSSK6,0.26,1.8,2.2E-01,3.1E-01,1,0.00
TST,-0.22,5.2,1.8E-01,2.7E-01,0,0.00
TSTA3,-0.18,5.0,1.2E-01,1.9E-01,0,0.00
TSTD1,-0.31,3.5,6.3E-02,1.1E-01,0,0.01
TSTD2,0.19,3.7,1.9E-01,2.8E-01,1,0.00
TTBK1,-0.38,5.8,6.3E-04,2.1E-03,0,0.03
TTBK2,0.01,5.8,9.1E-01,9.4E-01,1,0.00
TTC1,-0.26,6.4,1.0E-03,3.3E-03,0,0.02
TTC12,-0.16,2.7,4.8E-01,5.7E-01,0,0.00
TTC13,0.02,3.9,7.6E-01,8.3E-01,1,0.00
TTC14,0.25,4.1,2.4E-02,5.0E-02,1,0.01
TTC16,0.04,0.3,9.8E-01,9.9E-01,1,0.00
TTC17,0.20,5.5,7.2E-03,1.8E-02,1,0.01
TTC18,0.75,2.4,4.5E-03,1.2E-02,1,0.05
TTC19,-0.84,5.5,8.8E-10,1.5E-08,0,0.22
TTC21A,0.30,2.5,1.4E-01,2.1E-01,1,0.01
TTC21B,0.10,4.6,3.0E-01,4.0E-01,1,0.00
TTC22,-0.38,0.1,1.8E-01,2.6E-01,0,0.01
TTC23,0.45,4.0,4.1E-05,2.0E-04,1,0.05
TTC23L,-0.11,0.8,7.3E-01,8.0E-01,0,0.00
TTC26,0.09,2.4,6.4E-01,7.2E-01,1,0.00
TTC27,-0.06,3.3,6.4E-01,7.2E-01,0,0.00
TTC28,0.45,4.9,2.2E-04,8.7E-04,1,0.05
TTC29,0.83,0.9,2.6E-02,5.4E-02,1,0.04
TTC3,-0.55,8.3,2.5E-07,2.2E-06,0,0.10
TTC30A,-0.50,2.8,1.6E-03,4.9E-03,0,0.04
TTC30B,-0.19,2.3,2.1E-01,3.0E-01,0,0.00
TTC31,0.36,4.0,7.1E-03,1.7E-02,1,0.02
TTC32,-0.21,3.0,1.6E-01,2.4E-01,0,0.00
TTC33,-0.28,3.6,1.7E-02,3.8E-02,0,0.01
TTC34,-0.11,1.1,7.3E-01,8.0E-01,0,0.00
TTC37,-0.07,6.1,5.5E-01,6.5E-01,0,0.00
TTC38,0.42,4.6,2.5E-04,9.6E-04,1,0.04
TTC39A,-1.48,1.5,5.4E-10,9.6E-09,0,0.40
TTC39B,-0.36,3.2,2.6E-02,5.3E-02,0,0.02
TTC39C,-0.65,3.4,1.1E-04,4.7E-04,0,0.07
TTC4,0.10,1.9,5.7E-01,6.6E-01,1,0.00
TTC40,0.33,2.8,1.3E-01,2.0E-01,1,0.01
TTC5,0.03,4.3,7.6E-01,8.2E-01,1,0.00
TTC7A,0.33,5.7,4.2E-04,1.5E-03,1,0.03
TTC7B,-0.58,6.6,3.4E-08,3.6E-07,0,0.13
TTC8,-0.43,4.1,1.8E-03,5.4E-03,0,0.03
TTC9,-0.71,4.8,7.3E-06,4.4E-05,0,0.10
TTC9B,-0.38,5.5,1.6E-02,3.6E-02,0,0.02
TTC9C,-0.14,4.1,2.5E-01,3.4E-01,0,0.00
TTF1,0.19,4.2,3.8E-02,7.3E-02,1,0.01
TTF2,-0.14,3.6,3.3E-01,4.3E-01,0,0.00
TTI1,-0.11,4.6,2.2E-01,3.1E-01,0,0.00
TTI2,0.15,2.9,1.6E-01,2.4E-01,1,0.00
TTL,0.05,6.6,6.3E-01,7.1E-01,1,0.00
