Gene,logFC,logCPM,PValue,FDR,UP/DOWN,DE Score
ACTR3C,-0.21,0.3,4.5E-01,5.5E-01,0,0.00
ACTR5,0.10,3.1,3.9E-01,4.9E-01,1,0.00
ACTR6,-0.36,4.8,5.1E-04,1.8E-03,0,0.03
ACTR8,-0.12,4.6,2.4E-01,3.4E-01,0,0.00
ACTRT3,0.25,0.4,5.8E-01,6.7E-01,1,0.00
ACVR1,0.19,5.4,1.1E-01,1.8E-01,1,0.00
ACVR1B,-0.71,5.9,4.3E-12,1.5E-10,0,0.23
ACVR1C,-1.03,3.5,1.2E-07,1.1E-06,0,0.20
ACVR2A,-0.27,3.6,6.1E-02,1.1E-01,0,0.01
ACVR2B,0.38,4.6,5.7E-04,2.0E-03,1,0.03
ACVRL1,0.73,6.1,9.0E-04,2.9E-03,1,0.06
ACY1,-0.04,0.5,8.0E-01,8.5E-01,0,0.00
ACY3,-0.92,2.4,7.3E-03,1.8E-02,0,0.05
ACYP1,-0.30,3.7,3.5E-02,6.8E-02,0,0.01
ACYP2,-0.14,5.8,1.0E-01,1.6E-01,0,0.00
ADA,0.17,3.4,3.5E-01,4.5E-01,1,0.00
ADAD2,-0.48,0.4,3.0E-01,4.0E-01,0,0.01
ADAL,-0.64,3.4,1.1E-04,4.7E-04,0,0.07
ADAM10,0.34,6.5,2.9E-04,1.1E-03,1,0.03
ADAM11,-1.36,6.0,5.5E-09,7.4E-08,0,0.32
ADAM12,0.44,1.8,3.9E-02,7.5E-02,1,0.02
ADAM15,-0.06,6.7,6.7E-01,7.5E-01,0,0.00
ADAM17,0.37,4.7,1.3E-03,3.9E-03,1,0.03
ADAM19,0.37,3.3,7.4E-02,1.3E-01,1,0.01
ADAM22,-0.50,6.0,6.9E-06,4.2E-05,0,0.07
ADAM23,-1.50,5.1,3.4E-15,3.7E-13,0,0.50
ADAM28,0.15,3.7,5.0E-01,6.0E-01,1,0.00
ADAM32,0.05,0.0,9.8E-01,9.9E-01,1,0.00
ADAM33,1.55,4.2,8.3E-12,2.6E-10,1,0.49
ADAM8,0.63,1.8,7.5E-03,1.8E-02,1,0.04
ADAM9,0.18,5.9,1.2E-01,1.9E-01,1,0.00
ADAMTS1,0.86,7.2,3.5E-03,9.6E-03,1,0.06
ADAMTS10,0.68,4.7,2.6E-06,1.8E-05,1,0.11
ADAMTS12,0.52,-0.1,1.7E-01,2.5E-01,1,0.01
ADAMTS13,-0.41,3.5,2.1E-04,8.2E-04,0,0.04
ADAMTS14,-0.30,3.0,3.4E-01,4.4E-01,0,0.00
ADAMTS15,0.28,1.4,4.3E-01,5.3E-01,1,0.00
ADAMTS16,-1.45,0.9,3.5E-05,1.7E-04,0,0.18
ADAMTS17,-0.50,1.7,5.6E-03,1.4E-02,0,0.03
ADAMTS18,-0.12,2.8,8.4E-01,8.8E-01,0,0.00
ADAMTS19,-0.38,0.1,2.6E-01,3.5E-01,0,0.01
ADAMTS2,0.69,2.1,1.6E-02,3.6E-02,1,0.03
ADAMTS3,-0.68,0.8,7.7E-03,1.9E-02,0,0.04
ADAMTS4,-0.53,6.2,4.8E-03,1.2E-02,0,0.03
ADAMTS5,0.66,1.0,1.2E-02,2.8E-02,1,0.03
ADAMTS6,0.70,0.8,7.4E-02,1.3E-01,1,0.02
ADAMTS7,0.90,1.8,9.1E-05,4.0E-04,1,0.10
ADAMTS8,-0.38,3.9,8.0E-02,1.4E-01,0,0.01
ADAMTS9,0.56,5.4,1.3E-01,2.1E-01,1,0.01
ADAMTSL1,-1.04,1.4,1.5E-04,6.1E-04,0,0.11
ADAMTSL2,-0.29,4.5,7.9E-02,1.3E-01,0,0.01
ADAMTSL3,1.19,3.8,1.6E-09,2.5E-08,1,0.30
ADAMTSL4,0.64,2.8,3.9E-04,1.4E-03,1,0.06
ADAMTSL5,0.58,1.2,9.1E-03,2.2E-02,1,0.03
ADAP1,-0.28,6.0,1.1E-01,1.8E-01,0,0.01
ADAP2,0.00,3.6,9.8E-01,9.9E-01,1,0.00
ADAR,-0.05,8.3,5.3E-01,6.2E-01,0,0.00
ADARB1,0.01,5.7,9.7E-01,9.8E-01,1,0.00
ADARB2,0.66,6.2,5.5E-04,1.9E-03,1,0.06
ADAT1,0.00,4.1,1.0E+00,1.0E+00,1,0.00
ADAT2,-0.29,1.4,1.8E-01,2.7E-01,0,0.01
