gene_name	log2_fold_change	p_value	ref_allele	non_ref_allele	sample_size
ENSG00000074964|ARHGEF10L	0.155595767	2.06444e-06	AD	Control	233
ENSG00000072080|SPP2	0.325027771	1.431e-06	AD	Control	233
ENSG00000072506|HSD17B10	-0.039338671	1.91064e-05	AD	Control	233
ENSG00000075388|FGF4	-0.866712067	3.06673e-05	AD	Control	233
ENSG00000076344|RGS11	0.131487382	7.87892e-06	AD	Control	233
ENSG00000077009|NMRK2	-0.608019121	3.06673e-05	AD	Control	233
ENSG00000127241|MASP1	0.019372494	2.70642e-05	AD	Control	233
ENSG00000073849|ST6GAL1	0.083683111	6.11649e-06	AD	Control	233
ENSG00000075336|TIMM21	0.016544749	2.61792e-05	AD	Control	233
ENSG00000078898|BPIFB2	-0.334473595	3.06673e-05	AD	Control	233
ENSG00000079313|REXO1	0.128605841	1.35617e-05	AD	Control	233
ENSG00000075975|MKRN2	-0.036938601	1.844e-05	AD	Control	233
ENSG00000076650|GPATCH1	0.06107862	8.03551e-06	AD	Control	233
ENSG00000077238|IL4R	0.403859954	7.45333e-07	AD	Control	233
ENSG00000079999|KEAP1	0.028445216	2.1469e-05	AD	Control	233
ENSG00000078589|P2RY10	-0.523883621	3.06673e-05	AD	Control	233
ENSG00000079308|TNS1	0.363263301	4.03876e-07	AD	Control	233
ENSG00000064300|NGFR	0.044971137	2.6761e-05	AD	Control	233
ENSG00000183091|NEB	0.028673817	2.40306e-05	AD	Control	233
ENSG00000065320|NTN1	0.208462125	5.99703e-06	AD	Control	233
ENSG00000066583|ISOC1	0.03470627	2.26719e-05	AD	Control	233
ENSG00000067082|KLF6	0.216909728	4.05368e-07	AD	Control	233
ENSG00000067445|TRO	-0.072874658	5.41268e-06	AD	Control	233
ENSG00000070444|MNT	0.215639933	1.44517e-06	AD	Control	233
ENSG00000070718|AP3M2	-0.204219366	1.47145e-06	AD	Control	233
ENSG00000068697|LAPTM4A	0.290024664	9.86109e-07	AD	Control	233
ENSG00000069206|ADAM7	0.020025343	2.84556e-05	AD	Control	233
ENSG00000070669|ASNS	-0.127628135	2.49603e-06	AD	Control	233
ENSG00000072135|PTPN18	0.116388506	2.76505e-06	AD	Control	233
ENSG00000069696|DRD4	0.056229791	3.06673e-05	AD	Control	233
ENSG00000070031|SCT	0.198435518	3.06673e-05	AD	Control	233
ENSG00000072210|ALDH3A2	-0.001722911	3.01645e-05	AD	Control	233
ENSG00000072786|STK10	0.151851111	4.71735e-06	AD	Control	233
ENSG00000073861|TBX21	-0.726685041	3.06673e-05	AD	Control	233
ENSG00000074071|MRPS34	-0.13641533	5.00726e-06	AD	Control	233
ENSG00000074410|CA12	-0.062425802	2.38999e-05	AD	Control	233
ENSG00000137764|MAP2K5	-0.069300542	4.72749e-06	AD	Control	233
ENSG00000078237|TIGAR	0.1032757	7.86255e-06	AD	Control	233
ENSG00000078579|FGF20	-0.229900387	5.66836e-06	AD	Control	233
ENSG00000003987|MTMR7	-0.205071943	6.86247e-07	AD	Control	233
ENSG00000080618|CPB2	-0.02845488	2.57961e-05	AD	Control	233
ENSG00000065809|FAM107B	0.05161219	2.10073e-05	AD	Control	233
ENSG00000065883|CDK13	-0.027500493	1.76113e-05	AD	Control	233
ENSG00000064763|FAR2	-0.182079599	8.85148e-07	AD	Control	233
ENSG00000065308|TRAM2	0.203888477	5.8584e-07	AD	Control	233
ENSG00000066405|CLDN18	0.093613297	1.17241e-05	AD	Control	233
ENSG00000065371|ROPN1	-0.167137427	7.1135e-06	AD	Control	233
ENSG00000065518|NDUFB4	-0.017427233	2.73281e-05	AD	Control	233
ENSG00000068097|HEATR6	0.061328879	5.99294e-06	AD	Control	233
ENSG00000068912|ERLEC1	-0.113480724	5.53292e-06	AD	Control	233
ENSG00000112782|CLIC5	0.042087232	2.335e-05	AD	Control	233
ENSG00000075568|TMEM131	-0.056314264	9.10012e-06	AD	Control	233
ENSG00000172995|ARPP21	-0.167734693	8.7435e-07	AD	Control	233
ENSG00000007129|CEACAM21	-0.170282815	3.06673e-05	AD	Control	233
ENSG00000072954|TMEM38A	-0.145050888	1.47103e-06	AD	Control	233
ENSG00000073008|PVR	-0.026869024	1.98541e-05	AD	Control	233
ENSG00000159885|ZNF222	-0.151377659	2.61656e-06	AD	Control	233
ENSG00000170848|PSG6	-0.163427536	6.50615e-06	AD	Control	233
ENSG00000075089|ACTR6	-0.192185644	5.38601e-07	AD	Control	233
ENSG00000075415|SLC25A3	-0.185479443	1.0942e-06	AD	Control	233
ENSG00000012504|NR1H4	0.04976884	2.26629e-05	AD	Control	233
ENSG00000078098|FAP	-0.097024447	1.21136e-05	AD	Control	233
ENSG00000077150|NFKB2	0.370498779	8.37777e-07	AD	Control	233
ENSG00000030304|MUSK	0.104718313	1.79697e-05	AD	Control	233
ENSG00000064218|DMRT3	-0.252838233	3.06673e-05	AD	Control	233
ENSG00000079156|OSBPL6	-0.085536847	3.20582e-06	AD	Control	233
ENSG00000064205|WISP2	-0.09471602	1.13097e-05	AD	Control	233
ENSG00000064601|CTSA	0.153580463	6.82202e-07	AD	Control	233
ENSG00000134461|ANKRD16	0.015353439	2.37891e-05	AD	Control	233
ENSG00000154252|GAL3ST2	0.129201014	3.06673e-05	AD	Control	233
ENSG00000065060|UHRF1BP1	0.079481789	7.53825e-07	AD	Control	233
ENSG00000081087|OSTM1	-0.019512921	2.2648e-05	AD	Control	233
ENSG00000081148|IMPG2	-0.082274643	9.06323e-06	AD	Control	233
ENSG00000072110|ACTN1	0.183550083	1.92397e-06	AD	Control	233
ENSG00000249437|NAIP	0.099596942	1.60598e-05	AD	Control	233
ENSG00000081791|DELE1	-0.004337152	2.8865e-05	AD	Control	233
ENSG00000081800|SLC13A1	0.038555055	3.06673e-05	AD	Control	233
ENSG00000081818|PCDHB4	0.164091304	1.01667e-06	AD	Control	233
ENSG00000112852|PCDHB2	-0.047609952	1.88356e-05	AD	Control	233
ENSG00000081870|HSPB11	-0.081063788	3.95699e-06	AD	Control	233
ENSG00000082146|STRADB	-0.152189491	1.07941e-06	AD	Control	233
ENSG00000082269|FAM135A	-0.172900127	3.67787e-07	AD	Control	233
ENSG00000082458|DLG3	-0.160118465	3.57695e-06	AD	Control	233
ENSG00000082684|SEMA5B	0.000337702	3.0571e-05	AD	Control	233
ENSG00000065609|SNAP91	-0.042116293	2.01107e-05	AD	Control	233
ENSG00000083444|PLOD1	0.158790743	1.16164e-06	AD	Control	233
ENSG00000083544|TDRD3	-0.016322518	2.45857e-05	AD	Control	233
ENSG00000083720|OXCT1	-0.14239787	4.36407e-06	AD	Control	233
ENSG00000083812|ZNF324	0.035228667	1.85487e-05	AD	Control	233
ENSG00000083817|ZNF416	-0.079356566	6.61645e-06	AD	Control	233
ENSG00000083845|RPS5	-0.050951752	1.69193e-05	AD	Control	233
ENSG00000084444|FAM234B	-0.146325418	4.7843e-06	AD	Control	233
ENSG00000085514|PILRA	0.312274984	3.29798e-07	AD	Control	233
ENSG00000085721|RRN3	-0.073578174	7.95457e-06	AD	Control	233
ENSG00000166391|MOGAT2	-0.577060957	3.06673e-05	AD	Control	233
ENSG00000085872|CHERP	0.198545573	1.09601e-06	AD	Control	233
ENSG00000167580|AQP2	-0.493758554	3.06673e-05	AD	Control	233
ENSG00000086189|DIMT1	-0.007399709	2.84902e-05	AD	Control	233
ENSG00000086232|EIF2AK1	0.003026461	2.95543e-05	AD	Control	233
ENSG00000086288|NME8	0.146901408	3.06673e-05	AD	Control	233
ENSG00000086289|EPDR1	-0.088344187	1.58629e-05	AD	Control	233
ENSG00000086504|MRPL28	-0.16657768	2.96785e-06	AD	Control	233
ENSG00000086506|HBQ1	-0.295569326	3.06673e-05	AD	Control	233
ENSG00000086548|CEACAM6	0.084794877	3.06673e-05	AD	Control	233
ENSG00000086589|RBM22	0.05599231	9.83354e-06	AD	Control	233
ENSG00000086696|HSD17B2	-0.000495662	3.05603e-05	AD	Control	233
ENSG00000078018|MAP2	0.010298329	2.80933e-05	AD	Control	233
ENSG00000086827|ZW10	-0.147440042	1.19443e-06	AD	Control	233
ENSG00000132470|ITGB4	0.378327014	9.7026e-07	AD	Control	233
ENSG00000087074|PPP1R15A	-0.003685566	3.00679e-05	AD	Control	233
ENSG00000087077|TRIP6	0.199061325	1.62632e-06	AD	Control	233
ENSG00000073670|ADAM11	-0.120728978	5.7945e-06	AD	Control	233
ENSG00000005893|LAMP2	0.057948181	1.73758e-05	AD	Control	233
ENSG00000197208|SLC22A4	0.12404431	2.19523e-06	AD	Control	233
ENSG00000087237|CETP	0.038709295	2.19804e-05	AD	Control	233
ENSG00000087250|MT3	0.199427954	3.65856e-06	AD	Control	233
ENSG00000087494|PTHLH	-0.141699653	6.88281e-06	AD	Control	233
ENSG00000087510|TFAP2C	0.183814085	5.28991e-06	AD	Control	233
ENSG00000088002|SULT2B1	-0.089969851	1.37182e-05	AD	Control	233
ENSG00000182389|CACNB4	-0.111460577	4.47355e-06	AD	Control	233
ENSG00000197183|NOL4L	0.16106666	1.87962e-06	AD	Control	233
ENSG00000088305|DNMT3B	0.055204547	1.67909e-05	AD	Control	233
ENSG00000088320|REM1	0.09936273	3.06673e-05	AD	Control	233
ENSG00000088356|PDRG1	0.039253554	1.96987e-05	AD	Control	233
ENSG00000088367|EPB41L1	0.190468251	6.54222e-07	AD	Control	233
ENSG00000088808|PPP1R13B	0.050854474	9.53839e-06	AD	Control	233
ENSG00000166948|TGM6	-0.728117221	3.06673e-05	AD	Control	233
ENSG00000188559|RALGAPA2	0.095917065	5.69898e-06	AD	Control	233
ENSG00000089009|RPL6	-0.03635157	1.90463e-05	AD	Control	233
ENSG00000089048|ESF1	0.127915361	3.53021e-06	AD	Control	233
ENSG00000089060|SLC8B1	0.068584182	1.33466e-05	AD	Control	233
ENSG00000089063|TMEM230	0.012843134	2.61792e-05	AD	Control	233
ENSG00000089127|OAS1	0.134276128	6.69733e-06	AD	Control	233
ENSG00000089163|SIRT4	-0.188851523	2.76638e-06	AD	Control	233
