ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000183508,True,Temporal Lobe,Cho_et_al
ENSG00000120708,True,Temporal Lobe,Cho_et_al
ENSG00000237993,True,Temporal Lobe,Cho_et_al
ENSG00000115165,True,Temporal Lobe,Cho_et_al
ENSG00000152766,True,Temporal Lobe,Cho_et_al
ENSG00000256139,True,Temporal Lobe,Cho_et_al
ENSG00000154188,True,Temporal Lobe,Cho_et_al
ENSG00000165164,True,Temporal Lobe,Cho_et_al
ENSG00000256508,True,Temporal Lobe,Cho_et_al
ENSG00000228789,True,Temporal Lobe,Cho_et_al
ENSG00000229808,True,Temporal Lobe,Cho_et_al
ENSG00000233559,True,Temporal Lobe,Cho_et_al
ENSG00000167646,True,Temporal Lobe,Cho_et_al
ENSG00000210144,True,Temporal Lobe,Cho_et_al
ENSG00000215720,True,Temporal Lobe,Cho_et_al
ENSG00000175857,True,Temporal Lobe,Cho_et_al
ENSG00000251442,True,Temporal Lobe,Cho_et_al
ENSG00000272330,True,Temporal Lobe,Cho_et_al
ENSG00000256304,True,Temporal Lobe,Cho_et_al
ENSG00000154898,True,Temporal Lobe,Cho_et_al
ENSG00000272666,True,Temporal Lobe,Cho_et_al
ENSG00000245832,True,Temporal Lobe,Cho_et_al
ENSG00000257604,True,Temporal Lobe,Cho_et_al
ENSG00000253958,True,Temporal Lobe,Cho_et_al
ENSG00000132514,True,Temporal Lobe,Cho_et_al
ENSG00000226125,True,Temporal Lobe,Cho_et_al
ENSG00000186493,True,Temporal Lobe,Cho_et_al
ENSG00000263432,True,Temporal Lobe,Cho_et_al
ENSG00000251596,True,Temporal Lobe,Cho_et_al
ENSG00000128262,True,Temporal Lobe,Cho_et_al
ENSG00000163734,True,Temporal Lobe,Cho_et_al
ENSG00000066405,True,Temporal Lobe,Cho_et_al
ENSG00000143851,True,Temporal Lobe,Cho_et_al
ENSG00000173698,True,Temporal Lobe,Cho_et_al
ENSG00000173110,True,Temporal Lobe,Cho_et_al
ENSG00000229233,True,Temporal Lobe,Cho_et_al
ENSG00000231170,True,Temporal Lobe,Cho_et_al
