gene_id	gene_symbol	count	studies	regulation
ENSG00000126803	HSPA2	1	Marques-Coelho_et_al	Upregulated in AD
ENSG00000132613	MTSS1L	1	Panitch_et_al	Upregulated in AD
ENSG00000134802	SLC43A3	1	Panitch_et_al	Upregulated in AD
ENSG00000135111	TBX3	1	Fisher_et_al	Upregulated in AD
ENSG00000136205	TNS3	1	Panitch_et_al	Upregulated in AD
ENSG00000140575	IQGAP1	1	Fisher_et_al	Upregulated in AD
ENSG00000140931	CMTM3	1	Panitch_et_al	Upregulated in AD
ENSG00000141858	SAMD1	1	Panitch_et_al	Upregulated in AD
ENSG00000146966	DENND2A	1	Panitch_et_al	Upregulated in AD
ENSG00000148204	CRB2	1	Panitch_et_al	Upregulated in AD
ENSG00000150760	DOCK1	1	Panitch_et_al	Upregulated in AD
ENSG00000151552	QDPR	1	Panitch_et_al	Upregulated in AD
ENSG00000159176	CSRP1	1	Marques-Coelho_et_al	Upregulated in AD
ENSG00000160685	ZBTB7B	1	Panitch_et_al	Upregulated in AD
ENSG00000162889	MAPKAPK2	1	Panitch_et_al	Upregulated in AD
ENSG00000164050	PLXNB1	1	Panitch_et_al	Upregulated in AD
ENSG00000164850	GPER1	1	Panitch_et_al	Upregulated in AD
ENSG00000165458	INPPL1	1	Fisher_et_al	Upregulated in AD
ENSG00000165801	ARHGEF40	1	Panitch_et_al	Upregulated in AD
ENSG00000165959	CLMN	1	Panitch_et_al	Upregulated in AD
ENSG00000166508	MCM7	1	Panitch_et_al	Upregulated in AD
ENSG00000166682	TMPRSS5	1	Marques-Coelho_et_al	Upregulated in AD
ENSG00000170275	CRTAP	1	Panitch_et_al	Upregulated in AD
ENSG00000172935	MRGPRF	1	Marques-Coelho_et_al	Upregulated in AD
ENSG00000173801	JUP	1	Panitch_et_al	Upregulated in AD
ENSG00000177105	RHOG	1	Marques-Coelho_et_al	Upregulated in AD
ENSG00000177469	CAVIN1	1	Panitch_et_al	Upregulated in AD
ENSG00000179241	LDLRAD3	1	Panitch_et_al	Upregulated in AD
ENSG00000179314	WSCD1	1	Panitch_et_al	Upregulated in AD
ENSG00000182902	SLC25A18	1	Panitch_et_al	Upregulated in AD
ENSG00000183196	CHST6	1	Panitch_et_al	Upregulated in AD
ENSG00000184481	FOXO4	1	Panitch_et_al	Upregulated in AD
ENSG00000185022	MAFF	1	Marques-Coelho_et_al	Upregulated in AD
ENSG00000186834	HEXIM1	1	Panitch_et_al	Upregulated in AD
ENSG00000197892	KIF13B	1	Panitch_et_al	Upregulated in AD
ENSG00000198744	MTCO3P12	1	Marques-Coelho_et_al	Upregulated in AD
ENSG00000228672	PROB1	1	Panitch_et_al	Upregulated in AD
ENSG00000236609	ZNF853	1	Panitch_et_al	Upregulated in AD
ENSG00000256235	SMIM3	1	Panitch_et_al	Upregulated in AD
ENSG00000260549	MT1L	1	Marques-Coelho_et_al	Upregulated in AD
ENSG00000165175	MID1IP1	0		Upregulated in AD
ENSG00000117298	ECE1	0		Upregulated in AD
ENSG00000196814	MVB12B	0		Upregulated in AD
ENSG00000140750	ARHGAP17	0		Upregulated in AD
ENSG00000154783	FGD5	0		Upregulated in AD
ENSG00000180891	CUEDC1	0		Upregulated in AD
ENSG00000129250	KIF1C	0		Upregulated in AD
ENSG00000115468	EFHD1	0		Upregulated in AD
ENSG00000051128	HOMER3	0		Upregulated in AD
ENSG00000100139	MICALL1	0		Upregulated in AD
ENSG00000186635	ARAP1	0		Upregulated in AD
ENSG00000128917	DLL4	0		Upregulated in AD
ENSG00000154945	ANKRD40	0		Upregulated in AD
ENSG00000282034	AC106886.5	0		Upregulated in AD
ENSG00000189058	APOD	0		Upregulated in AD
ENSG00000108828	VAT1	0		Upregulated in AD
ENSG00000079308	TNS1	0		Upregulated in AD
ENSG00000176463	SLCO3A1	0		Upregulated in AD
ENSG00000204219	TCEA3	0		Upregulated in AD
ENSG00000072864	NDE1	0		Upregulated in AD
ENSG00000116786	PLEKHM2	0		Upregulated in AD
ENSG00000140545	MFGE8	0		Upregulated in AD
ENSG00000131899	LLGL1	0		Upregulated in AD
ENSG00000183111	ARHGEF37	0		Upregulated in AD
ENSG00000148841	ITPRIP	0		Upregulated in AD
ENSG00000020577	SAMD4A	0		Upregulated in AD
ENSG00000149564	ESAM	0		Upregulated in AD
ENSG00000147421	HMBOX1	0		Upregulated in AD
ENSG00000167693	NXN	0		Upregulated in AD
ENSG00000170276	HSPB2	0		Upregulated in AD
ENSG00000133069	TMCC2	0		Upregulated in AD
ENSG00000153048	CARHSP1	0		Upregulated in AD
ENSG00000128564	VGF	3	Fisher_et_al, Marques-Coelho_et_al, Panitch_et_al	Downregulated in AD
ENSG00000147571	CRH	3	Fisher_et_al, Marques-Coelho_et_al, Panitch_et_al	Downregulated in AD
ENSG00000170324	FRMPD2	3	Fisher_et_al, Marques-Coelho_et_al, Panitch_et_al	Downregulated in AD
ENSG00000105419	MEIS3	2	Fisher_et_al, Marques-Coelho_et_al	Downregulated in AD
ENSG00000115598	IL1RL2	2	Marques-Coelho_et_al, Panitch_et_al	Downregulated in AD
ENSG00000166111	SVOP	2	Fisher_et_al, Marques-Coelho_et_al	Downregulated in AD
ENSG00000184307	ZDHHC23	2	Marques-Coelho_et_al, Panitch_et_al	Downregulated in AD
ENSG00000197044	ZNF441	2	Fisher_et_al, Panitch_et_al	Downregulated in AD
ENSG00000198883	PNMA5	2	Fisher_et_al, Marques-Coelho_et_al	Downregulated in AD
ENSG00000007908	SELE	1	Marques-Coelho_et_al	Downregulated in AD
ENSG00000021645	NRXN3	1	Panitch_et_al	Downregulated in AD
ENSG00000079841	RIMS1	1	Panitch_et_al	Downregulated in AD
ENSG00000100600	LGMN	1	Fisher_et_al	Downregulated in AD
ENSG00000113100	CDH9	1	Panitch_et_al	Downregulated in AD
ENSG00000122512	PMS2	1	Panitch_et_al	Downregulated in AD
ENSG00000125850	OVOL2	1	Marques-Coelho_et_al	Downregulated in AD
ENSG00000130368	MAS1	1	Marques-Coelho_et_al	Downregulated in AD
ENSG00000134759	ELP2	1	Panitch_et_al	Downregulated in AD
ENSG00000152034	MCHR2	1	Marques-Coelho_et_al	Downregulated in AD
ENSG00000163673	DCLK3	1	Marques-Coelho_et_al	Downregulated in AD
ENSG00000166669	ATF7IP2	1	Panitch_et_al	Downregulated in AD
ENSG00000169064	ZBBX	1	Panitch_et_al	Downregulated in AD
ENSG00000171476	HOPX	1	Panitch_et_al	Downregulated in AD
ENSG00000176401	EID2B	1	Panitch_et_al	Downregulated in AD
ENSG00000178031	ADAMTSL1	1	Marques-Coelho_et_al	Downregulated in AD
ENSG00000179029	TMEM107	1	Panitch_et_al	Downregulated in AD
ENSG00000183090	FREM3	1	Marques-Coelho_et_al	Downregulated in AD
ENSG00000185414	MRPL30	1	Panitch_et_al	Downregulated in AD
ENSG00000104112	SCG3	0		Downregulated in AD
ENSG00000101746	NOL4	0		Downregulated in AD
ENSG00000186094	AGBL4	0		Downregulated in AD
ENSG00000170153	RNF150	0		Downregulated in AD
ENSG00000160886	LY6K	0		Downregulated in AD
ENSG00000141655	TNFRSF11A	0		Downregulated in AD
ENSG00000144057	ST6GAL2	0		Downregulated in AD
