ensembl_id,is_upregulated_in_AD,brain_region,study
ENSG00000198363,True,Frontal Lobe,Fisher_et_al
ENSG00000167202,True,Frontal Lobe,Fisher_et_al
ENSG00000005339,True,Frontal Lobe,Fisher_et_al
ENSG00000047365,True,Frontal Lobe,Fisher_et_al
ENSG00000122707,True,Frontal Lobe,Fisher_et_al
ENSG00000131115,True,Frontal Lobe,Fisher_et_al
ENSG00000145907,True,Frontal Lobe,Fisher_et_al
ENSG00000054523,True,Frontal Lobe,Fisher_et_al
ENSG00000204138,True,Frontal Lobe,Fisher_et_al
ENSG00000012983,True,Frontal Lobe,Fisher_et_al
ENSG00000175895,True,Frontal Lobe,Fisher_et_al
ENSG00000083312,True,Frontal Lobe,Fisher_et_al
ENSG00000137478,True,Frontal Lobe,Fisher_et_al
ENSG00000153922,True,Frontal Lobe,Fisher_et_al
ENSG00000147324,True,Frontal Lobe,Fisher_et_al
ENSG00000109787,True,Frontal Lobe,Fisher_et_al
ENSG00000151422,True,Frontal Lobe,Fisher_et_al
ENSG00000114127,True,Frontal Lobe,Fisher_et_al
ENSG00000101493,True,Frontal Lobe,Fisher_et_al
ENSG00000186918,True,Frontal Lobe,Fisher_et_al
ENSG00000108510,True,Frontal Lobe,Fisher_et_al
ENSG00000126804,True,Frontal Lobe,Fisher_et_al
ENSG00000112029,True,Frontal Lobe,Fisher_et_al
ENSG00000173402,True,Frontal Lobe,Fisher_et_al
ENSG00000097033,True,Frontal Lobe,Fisher_et_al
ENSG00000072501,True,Frontal Lobe,Fisher_et_al
ENSG00000123636,True,Frontal Lobe,Fisher_et_al
ENSG00000186300,True,Frontal Lobe,Fisher_et_al
ENSG00000105856,True,Frontal Lobe,Fisher_et_al
ENSG00000174740,True,Frontal Lobe,Fisher_et_al
ENSG00000135338,True,Frontal Lobe,Fisher_et_al
ENSG00000103479,True,Frontal Lobe,Fisher_et_al
ENSG00000109320,True,Frontal Lobe,Fisher_et_al
ENSG00000114331,True,Frontal Lobe,Fisher_et_al
ENSG00000139946,True,Frontal Lobe,Fisher_et_al
ENSG00000271601,True,Frontal Lobe,Fisher_et_al
ENSG00000133401,True,Frontal Lobe,Fisher_et_al
ENSG00000148143,True,Frontal Lobe,Fisher_et_al
ENSG00000196865,True,Frontal Lobe,Fisher_et_al
ENSG00000167978,True,Frontal Lobe,Fisher_et_al
ENSG00000164291,True,Frontal Lobe,Fisher_et_al
ENSG00000170677,True,Frontal Lobe,Fisher_et_al
ENSG00000198315,True,Frontal Lobe,Fisher_et_al
ENSG00000114796,True,Frontal Lobe,Fisher_et_al
ENSG00000110422,True,Frontal Lobe,Fisher_et_al
ENSG00000182263,True,Frontal Lobe,Fisher_et_al
ENSG00000186298,True,Frontal Lobe,Fisher_et_al
ENSG00000172671,True,Frontal Lobe,Fisher_et_al
ENSG00000106351,True,Frontal Lobe,Fisher_et_al
ENSG00000119950,True,Frontal Lobe,Fisher_et_al
ENSG00000170836,True,Frontal Lobe,Fisher_et_al
ENSG00000088888,True,Frontal Lobe,Fisher_et_al
ENSG00000157514,True,Frontal Lobe,Fisher_et_al
ENSG00000119729,True,Frontal Lobe,Fisher_et_al
ENSG00000053254,True,Frontal Lobe,Fisher_et_al
ENSG00000078114,True,Frontal Lobe,Fisher_et_al
ENSG00000144677,True,Frontal Lobe,Fisher_et_al
ENSG00000114439,True,Frontal Lobe,Fisher_et_al
ENSG00000118762,True,Frontal Lobe,Fisher_et_al
ENSG00000143815,True,Frontal Lobe,Fisher_et_al
ENSG00000065526,True,Frontal Lobe,Fisher_et_al
ENSG00000000003,True,Frontal Lobe,Fisher_et_al
ENSG00000197442,True,Frontal Lobe,Fisher_et_al
ENSG00000133789,True,Frontal Lobe,Fisher_et_al
ENSG00000189221,True,Frontal Lobe,Fisher_et_al
ENSG00000185591,True,Frontal Lobe,Fisher_et_al
ENSG00000104517,True,Frontal Lobe,Fisher_et_al
ENSG00000184634,True,Frontal Lobe,Fisher_et_al
ENSG00000174718,True,Frontal Lobe,Fisher_et_al
ENSG00000116497,True,Frontal Lobe,Fisher_et_al
ENSG00000129675,True,Frontal Lobe,Fisher_et_al
ENSG00000256229,True,Frontal Lobe,Fisher_et_al
ENSG00000085719,True,Frontal Lobe,Fisher_et_al
ENSG00000078549,True,Frontal Lobe,Fisher_et_al
ENSG00000135048,True,Frontal Lobe,Fisher_et_al
ENSG00000113211,True,Frontal Lobe,Fisher_et_al
ENSG00000095015,True,Frontal Lobe,Fisher_et_al
ENSG00000070778,True,Frontal Lobe,Fisher_et_al
ENSG00000057252,True,Frontal Lobe,Fisher_et_al
ENSG00000136044,True,Frontal Lobe,Fisher_et_al
ENSG00000157827,True,Frontal Lobe,Fisher_et_al
ENSG00000134324,True,Frontal Lobe,Fisher_et_al
ENSG00000119778,True,Frontal Lobe,Fisher_et_al
ENSG00000118007,True,Frontal Lobe,Fisher_et_al
