gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
GTPBP4,ENSG00000107937,GTPBP4,True,Hippocampus,Magistry_et_al,1.9
ALG1L1P,,ALG1L1P,True,Hippocampus,Magistry_et_al,1.9
GLMN,ENSG00000174842,GLMN,True,Hippocampus,Magistry_et_al,1.9
BCL6B,ENSG00000161940,BCL6B,True,Hippocampus,Magistry_et_al,1.9
SLC49A3,ENSG00000169026,SLC49A3,True,Hippocampus,Magistry_et_al,1.9
FAM81B,ENSG00000153347,FAM81B,True,Hippocampus,Magistry_et_al,1.9
PRKAR1B-AS1,ENSG00000237181,PRKAR1B-AS1,True,Hippocampus,Magistry_et_al,1.9
MST1R,ENSG00000164078,MST1R,True,Hippocampus,Magistry_et_al,1.9
CD6,ENSG00000013725,CD6,True,Hippocampus,Magistry_et_al,1.9
PPP1R1C,ENSG00000150722,PPP1R1C,True,Hippocampus,Magistry_et_al,1.9
SLC43A1,ENSG00000149150,SLC43A1,True,Hippocampus,Magistry_et_al,1.9
LNCAROD,ENSG00000231131,LNCAROD,True,Hippocampus,Magistry_et_al,1.9
HTR3B,ENSG00000149305,HTR3B,True,Hippocampus,Magistry_et_al,1.9
ACP5,ENSG00000102575,ACP5,True,Hippocampus,Magistry_et_al,1.9
FREM3,ENSG00000183090,FREM3,True,Hippocampus,Magistry_et_al,1.9
ILF3,ENSG00000129351,ILF3,True,Hippocampus,Magistry_et_al,1.9
NUTM2A,ENSG00000184923,NUTM2A,True,Hippocampus,Magistry_et_al,1.9
KRT10-AS1,ENSG00000167920,KRT10-AS1,True,Hippocampus,Magistry_et_al,1.9
FHIP1A,ENSG00000164142,FHIP1A,True,Hippocampus,Magistry_et_al,1.9
KLHL38,ENSG00000175946,KLHL38,True,Hippocampus,Magistry_et_al,1.9
ACKR3,ENSG00000144476,ACKR3,True,Hippocampus,Magistry_et_al,1.9
IGSF22-AS1,ENSG00000254966,IGSF22-AS1,True,Hippocampus,Magistry_et_al,1.9
INPP5B-AS1,ENSG00000230955,INPP5B-AS1,True,Hippocampus,Magistry_et_al,1.9
ACRBP,ENSG00000111644,ACRBP,True,Hippocampus,Magistry_et_al,1.9
SCX,ENSG00000260428,SCX,True,Hippocampus,Magistry_et_al,1.9
TEX29,ENSG00000153495,TEX29,True,Hippocampus,Magistry_et_al,1.9
BTK,ENSG00000010671,BTK,True,Hippocampus,Magistry_et_al,1.9
EDNRA,ENSG00000151617,EDNRA,True,Hippocampus,Magistry_et_al,1.9
MYBPC1,ENSG00000196091,MYBPC1,True,Hippocampus,Magistry_et_al,1.9
RHEBL1,ENSG00000167550,RHEBL1,True,Hippocampus,Magistry_et_al,1.9
PEG3-AS1,,PEG3-AS1,True,Hippocampus,Magistry_et_al,1.9
UXT,ENSG00000126756,UXT,True,Hippocampus,Magistry_et_al,1.9
SLC47A2,ENSG00000180638,SLC47A2,True,Hippocampus,Magistry_et_al,1.9
SLC26A4-AS1,ENSG00000233705,SLC26A4-AS1,True,Hippocampus,Magistry_et_al,1.9
CYSRT1,ENSG00000197191,CYSRT1,True,Hippocampus,Magistry_et_al,1.9
CACNA1F,ENSG00000102001,CACNA1F,True,Hippocampus,Magistry_et_al,1.9
GAL3ST3,ENSG00000175229,GAL3ST3,True,Hippocampus,Magistry_et_al,1.9
CHEK2,ENSG00000183765,CHEK2,True,Hippocampus,Magistry_et_al,1.9
ANGPTL5,ENSG00000187151,ANGPTL5,True,Hippocampus,Magistry_et_al,1.9
SCN11A,ENSG00000168356,SCN11A,True,Hippocampus,Magistry_et_al,1.9
NLRP4,ENSG00000160505,NLRP4,True,Hippocampus,Magistry_et_al,1.9
TFAP2D,ENSG00000008197,TFAP2D,True,Hippocampus,Magistry_et_al,1.9
LINC02899,ENSG00000248874,LINC02899,True,Hippocampus,Magistry_et_al,1.9
LINC00507,ENSG00000256193,LINC00507,True,Hippocampus,Magistry_et_al,1.9
LINC00304,ENSG00000180422,LINC00304,True,Hippocampus,Magistry_et_al,1.9
