gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
SBF1,ENSG00000100241,SBF1,False,Temporal Lobe,Felsky_et_al,1.7
PSMB2,ENSG00000126067,PSMB2,False,Temporal Lobe,Felsky_et_al,1.7
PCDHB12,ENSG00000120328,PCDHB12,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000271795,ENSG00000271795,,False,Temporal Lobe,Felsky_et_al,1.7
CCDC183,ENSG00000213213,CCDC183,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000280026,ENSG00000280026,,False,Temporal Lobe,Felsky_et_al,1.7
ALG13,ENSG00000101901,ALG13,False,Temporal Lobe,Felsky_et_al,1.7
REXO5,ENSG00000005189,REXO5,False,Temporal Lobe,Felsky_et_al,1.7
PDXP,ENSG00000241360,PDXP,False,Temporal Lobe,Felsky_et_al,1.7
FMNL1,ENSG00000184922,FMNL1,False,Temporal Lobe,Felsky_et_al,1.7
SPRED3,ENSG00000188766,SPRED3,False,Temporal Lobe,Felsky_et_al,1.7
ZNF569,ENSG00000196437,ZNF569,False,Temporal Lobe,Felsky_et_al,1.7
ARC,ENSG00000198576,ARC,False,Temporal Lobe,Felsky_et_al,1.7
BEX3,ENSG00000166681,BEX3,False,Temporal Lobe,Felsky_et_al,1.7
EVI5L,ENSG00000142459,EVI5L,False,Temporal Lobe,Felsky_et_al,1.7
NRXN3,ENSG00000021645,NRXN3,False,Temporal Lobe,Felsky_et_al,1.7
TAF9,ENSG00000273841,TAF9,False,Temporal Lobe,Felsky_et_al,1.7
DCAF16,ENSG00000163257,DCAF16,False,Temporal Lobe,Felsky_et_al,1.7
KRBOX5,ENSG00000197302,KRBOX5,False,Temporal Lobe,Felsky_et_al,1.7
CEND1,ENSG00000184524,CEND1,False,Temporal Lobe,Felsky_et_al,1.7
GABPB1-AS1,ENSG00000244879,GABPB1-AS1,False,Temporal Lobe,Felsky_et_al,1.7
RELL2,ENSG00000164620,RELL2,False,Temporal Lobe,Felsky_et_al,1.7
ARK2C,ENSG00000141622,ARK2C,False,Temporal Lobe,Felsky_et_al,1.7
CPNE5,ENSG00000124772,CPNE5,False,Temporal Lobe,Felsky_et_al,1.7
PPP1R12C,ENSG00000125503,PPP1R12C,False,Temporal Lobe,Felsky_et_al,1.7
STMN1,ENSG00000117632,STMN1,False,Temporal Lobe,Felsky_et_al,1.7
VAMP1,ENSG00000139190,VAMP1,False,Temporal Lobe,Felsky_et_al,1.7
SYTL2,ENSG00000137501,SYTL2,False,Temporal Lobe,Felsky_et_al,1.7
EXOSC6,ENSG00000223496,EXOSC6,False,Temporal Lobe,Felsky_et_al,1.7
IGLON5,ENSG00000142549,IGLON5,False,Temporal Lobe,Felsky_et_al,1.7
LRTM2,ENSG00000285383,LRTM2,False,Temporal Lobe,Felsky_et_al,1.7
TCEAL2,ENSG00000291823,TCEAL2,False,Temporal Lobe,Felsky_et_al,1.7
DCC,ENSG00000187323,DCC,False,Temporal Lobe,Felsky_et_al,1.7
TTC39C,ENSG00000168234,TTC39C,False,Temporal Lobe,Felsky_et_al,1.7
EEF1AKMT2,ENSG00000203791,EEF1AKMT2,False,Temporal Lobe,Felsky_et_al,1.7
LINC02177,ENSG00000261617,LINC02177,False,Temporal Lobe,Felsky_et_al,1.7
R3HDM1,ENSG00000048991,R3HDM1,False,Temporal Lobe,Felsky_et_al,1.7
AGAP6,ENSG00000204149,AGAP6,False,Temporal Lobe,Felsky_et_al,1.7
LRSAM1,ENSG00000148356,LRSAM1,False,Temporal Lobe,Felsky_et_al,1.7
ROS1,ENSG00000047936,ROS1,False,Temporal Lobe,Felsky_et_al,1.7
METAP1D,ENSG00000172878,METAP1D,False,Temporal Lobe,Felsky_et_al,1.7
ZNF602P,ENSG00000219392,ZNF602P,False,Temporal Lobe,Felsky_et_al,1.7
MRPS26,ENSG00000125901,MRPS26,False,Temporal Lobe,Felsky_et_al,1.7
ST6GAL2,ENSG00000144057,ST6GAL2,False,Temporal Lobe,Felsky_et_al,1.7
NYAP1,ENSG00000166924,NYAP1,False,Temporal Lobe,Felsky_et_al,1.7
CRTC1,ENSG00000105662,CRTC1,False,Temporal Lobe,Felsky_et_al,1.7
FIBP,ENSG00000172500,FIBP,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000260464,ENSG00000260464,,False,Temporal Lobe,Felsky_et_al,1.7
CPLX1,ENSG00000168993,CPLX1,False,Temporal Lobe,Felsky_et_al,1.7
ME3,ENSG00000151376,ME3,False,Temporal Lobe,Felsky_et_al,1.7
COL28A1,ENSG00000215018,COL28A1,False,Temporal Lobe,Felsky_et_al,1.7
TBC1D3L,ENSG00000276349,TBC1D3L,False,Temporal Lobe,Felsky_et_al,1.7
PRDX2,ENSG00000167815,PRDX2,False,Temporal Lobe,Felsky_et_al,1.7
SPTBN2,ENSG00000173898,SPTBN2,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000272108,ENSG00000272108,,False,Temporal Lobe,Felsky_et_al,1.7
MYSM1,ENSG00000162601,MYSM1,False,Temporal Lobe,Felsky_et_al,1.7
CABP7,ENSG00000100314,CABP7,False,Temporal Lobe,Felsky_et_al,1.7
RABGGTA,ENSG00000285193,RABGGTA,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000253553,ENSG00000253553,,False,Temporal Lobe,Felsky_et_al,1.7
ENSG00000279668,ENSG00000279668,,False,Temporal Lobe,Felsky_et_al,1.7
ZBTB7A,ENSG00000178951,ZBTB7A,False,Temporal Lobe,Felsky_et_al,1.7
SYT15B,ENSG00000288175,SYT15B,False,Temporal Lobe,Felsky_et_al,1.7
AMH,ENSG00000104899,AMH,False,Temporal Lobe,Felsky_et_al,1.7
MZT2B,ENSG00000152082,MZT2B,False,Temporal Lobe,Felsky_et_al,1.7
CENPN,ENSG00000291964,CENPN,False,Temporal Lobe,Felsky_et_al,1.7
NIPAL2,ENSG00000104361,NIPAL2,False,Temporal Lobe,Felsky_et_al,1.7
TRIM9,ENSG00000100505,TRIM9,False,Temporal Lobe,Felsky_et_al,1.7
SLC25A22,ENSG00000177542,SLC25A22,False,Temporal Lobe,Felsky_et_al,1.7
