gene_name	log2_fold_change	p_value	sample_size	ref_allele	non_ref_allele
AGPAT1|ENSG00000227642	-0.3003843	0.00018077	29	Control	AD
N4BP2|ENSG00000078177	0.60718788	0.00018174	29	Control	AD
USP24|ENSG00000162402	0.40148121	0.00018175	29	Control	AD
SMAD4|ENSG00000141646	0.39099	0.00018249	29	Control	AD
G3BP1|ENSG00000145907	0.41668481	0.00018254	29	Control	AD
ASPHD1|ENSG00000174939	-0.6472112	0.00018288	29	Control	AD
RTL8C|ENSG00000134590	-0.4050077	0.00018437	29	Control	AD
YBX2|ENSG00000288504	-0.8287252	0.00018448	29	Control	AD
CMSS1|ENSG00000184220	-0.4880332	0.00018934	29	Control	AD
RBL2|ENSG00000103479	0.43160205	0.00019077	29	Control	AD
LGMN|ENSG00000100600	-0.3527184	0.00019283	29	Control	AD
APBB3|ENSG00000113108	-0.477235	0.00019597	29	Control	AD
ZNF639|ENSG00000121864	0.23209249	0.00019673	29	Control	AD
MEGF9|ENSG00000106780	0.40966555	0.00019949	29	Control	AD
NRDE2|ENSG00000119720	0.36375311	0.00019985	29	Control	AD
DGKG|ENSG00000058866	0.500472	0.00020005	29	Control	AD
SSR4|ENSG00000180879	-0.409436	0.00020424	29	Control	AD
CHD7|ENSG00000171316	0.66184747	0.00020455	29	Control	AD
TMT1A|ENSG00000185432	0.76773479	0.00020598	29	Control	AD
DHRS7B|ENSG00000109016	-0.3438992	0.00020598	29	Control	AD
FOXN3|ENSG00000053254	0.46285027	0.00020819	29	Control	AD
EMC3|ENSG00000125037	-0.2570625	0.00020918	29	Control	AD
BAZ2A|ENSG00000076108	0.38937338	0.00021313	29	Control	AD
KCNJ16|ENSG00000153822	0.88401871	0.00021385	29	Control	AD
RP2|ENSG00000102218	0.65707624	0.00021762	29	Control	AD
NUTF2|ENSG00000102898	-0.3113918	0.00022119	29	Control	AD
DMAC1|ENSG00000137038	-0.3831898	0.00022219	29	Control	AD
PDE4DIP|ENSG00000178104	0.60575925	0.00022759	29	Control	AD
SALL1|ENSG00000103449	0.65423998	0.00022948	29	Control	AD
ICAM5|ENSG00000105376	-0.9367275	0.00023014	29	Control	AD
DPM1|ENSG00000000419	-0.2607013	0.00023147	29	Control	AD
YES1|ENSG00000176105	0.56565463	0.000232	29	Control	AD
SLC25A30|ENSG00000174032	0.50109491	0.00023444	29	Control	AD
STXBP4|ENSG00000166263	0.57406566	0.00023634	29	Control	AD
ZNF609|ENSG00000180357	0.36000027	0.00023653	29	Control	AD
PRELP|ENSG00000188783	1.01470476	0.00023803	29	Control	AD
CAPN2|ENSG00000162909	0.61427833	0.0002382	29	Control	AD
SRGAP1|ENSG00000196935	0.68302164	0.00024019	29	Control	AD
SLC38A2|ENSG00000134294	0.89825803	0.00024166	29	Control	AD
LONRF3|ENSG00000175556	1.00041293	0.00024226	29	Control	AD
ZNF704|ENSG00000164684	0.37041845	0.0002424	29	Control	AD
PPP4R1|ENSG00000154845	0.360034	0.00024353	29	Control	AD
