MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
TRNK|ENSG00000210156	ad	control	62.00	2.498	0.0125	?????++?
KLHL13|ENSG00000003096	ad	control	279.00	0.144	0.8852	++++--++
NDUFA5P10|ENSG00000224927	ad	control	62.00	0.563	0.5731	?????++?
IGFBP6|ENSG00000167779	ad	control	279.00	0.089	0.9288	+++++--+
EMC3|ENSG00000125037	ad	control	173.00	0.588	0.5563	+++++--?
TMEM74|ENSG00000164841	ad	control	279.00	1.043	0.2971	-+-+-+++
SLC9A3|ENSG00000066230	ad	control	134.00	0.761	0.4466	++++?--?
KRT78|ENSG00000170423	ad	control	31.00	-0.480	0.631	??????-?
DPM1|ENSG00000000419	ad	control	279.00	0.565	0.5722	+++++--+
BBOX1-AS1|ENSG00000254560	ad	control	168.00	0.930	0.3524	?????+-+
ASB16|ENSG00000161664	ad	control	173.00	-1.924	0.0543	------+?
SCARNA21|ENSG00000252835	ad	control	168.00	0.065	0.9478	?????-+-
RXRB|ENSG00000227322	ad	control	279.00	-0.549	0.5828	++++---+
OLA1|ENSG00000138430	ad	control	279.00	2.956	0.003112	+++++--+
UBFD1|ENSG00000103353	ad	control	279.00	0.510	0.6099	++++---+
C9orf72|ENSG00000147894	ad	control	279.00	1.825	0.06798	+++++--+
A4GALT|ENSG00000128274	ad	control	173.00	-2.657	0.00789	-----++?
SRSF2|ENSG00000161547	ad	control	279.00	1.936	0.05286	+++++---
NHS|ENSG00000188158	ad	control	279.00	0.702	0.4825	++++-+--
FOXI2|ENSG00000186766	ad	control	62.00	0.957	0.3386	?????-+?
TNNC1|ENSG00000114854	ad	control	168.00	-1.198	0.231	?????---
LINC02219|ENSG00000253787	ad	control	62.00	0.949	0.3426	?????++?
ANP32BP1|ENSG00000259790	ad	control	62.00	1.261	0.2072	?????++?
ZGPAT|ENSG00000197114	ad	control	279.00	-3.313	0.0009235	----++--
ZFYVE9P1|ENSG00000229562	ad	control	31.00	0.284	0.7766	??????+?
