MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
CYLD|ENSG00000083799	ad	control	687.0	2.511	0.01204	++++-++++-----	0.11721489762755931
CCDC115|ENSG00000136710	ad	control	687.0	2.735	0.006234	+++++-----++++	0.07872921753794267
HMGN1P36|ENSG00000235734	ad	control	548.0	-0.269	0.7883	?????---+----?	0.9992687041810332
RPTOR|ENSG00000141564	ad	control	687.0	-1.229	0.2192	----+--------+	0.6274451575931231
LURAP1L-AS1|ENSG00000235448	ad	control	576.0	0.869	0.3847	?????+-++++++-	0.834171060441549
HSPA2-AS1|ENSG00000259116	ad	control	576.0	-0.652	0.5143	?????---+-++--	0.9463372727272727
STAMBPL1|ENSG00000138134	ad	control	687.0	0.953	0.3404	++++++---++-++	0.7856554742275984
NRG3|ENSG00000185737	ad	control	235.0	-0.695	0.4871	+++++----?????	0.9266840848469452
DUTP3|ENSG00000226857	ad	control	424.0	-0.555	0.5786	?????????++--?	0.989797159413703
FCGR3B|ENSG00000162747	ad	control	191.0	-1.713	0.08664	????+----????-	0.37341584579976983
ABCB10P4|ENSG00000260053	ad	control	93.0	-0.276	0.7824	?????--?-?????	0.9992687041810332
MAGI1|ENSG00000151276	ad	control	235.0	1.711	0.08712	++++++---?????	0.3745252231310088
MS4A12|ENSG00000071203	ad	control	424.0	0.397	0.6915	?????????+-++?	0.9992687041810332
SLC37A4|ENSG00000281500	ad	control	687.0	-0.448	0.6542	++++---------+	0.9992687041810332
LOC101928059|ENSG00000284738	ad	control	124.0	1.051	0.2931	?????-+++?????	0.7288207520544534
FAM242C|ENSG00000250432	ad	control	124.0	0.2	0.8417	?????-+-+?????	0.9992687041810332
LOC105376121|ENSG00000285634	ad	control	196.0	-0.488	0.6255	++++?-+--?????	0.9992687041810332
DNAI1|ENSG00000122735	ad	control	224.0	-0.712	0.4762	--+-?++--????-	0.9170125482129082
PLEKHB1|ENSG00000021300	ad	control	687.0	-1.85	0.06433	-----++++--+--	0.3132936888310843
RPL23AP26|ENSG00000228884	ad	control	424.0	0.247	0.8052	?????????++++?	0.9992687041810332
PON1|ENSG00000005421	ad	control	224.0	1.461	0.1441	++++?++++????+	0.49748295493834277
BORCS8|ENSG00000254901	ad	control	687.0	-0.34	0.7342	+--++++------+	0.9992687041810332
LRRC9|ENSG00000131951	ad	control	687.0	0.01	0.9918	++++++++--+-+-	0.9992687041810332
PLAC8L1|ENSG00000173261	ad	control	124.0	0.707	0.4796	?????++++?????	0.9195991550918517
COL6A2-DT|ENSG00000227438	ad	control	452.0	-2.074	0.03809	?????????-----	0.23009155878201248
CNTNAP3P5|ENSG00000278213	ad	control	31.0	0.022	0.9827	????????+?????	0.9992687041810332
LOC101928087|ENSG00000277332	ad	control	124.0	-1.442	0.1494	?????----?????	0.5076481851179674
RDH12|ENSG00000139988	ad	control	224.0	0.53	0.5964	+++-?+---????+	0.9983101475189987
