MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
ALG1L1P|ENSG00000189366	ad	control	31.00	-1.295	0.1952	?-?
SGO1|ENSG00000129810	ad	control	137.00	-0.054	0.9569	?-+
SUCLG1|ENSG00000163541	ad	control	176.00	-0.486	0.627	--+
GRP|ENSG00000134443	ad	control	31.00	-2.030	0.04234	?-?
ZAR1L|ENSG00000189167	ad	control	31.00	0.009	0.9926	?+?
IGHV1-46|ENSG00000211962	ad	control	31.00	-0.132	0.8952	?-?
LOC100506235|ENSG00000233230	ad	control	31.00	1.412	0.1579	?+?
BTF3|ENSG00000145741	ad	control	70.00	0.476	0.634	-+?
TRAPPC1|ENSG00000170043	ad	control	176.00	-0.508	0.6118	+--
CCDC144BP|ENSG00000291090	ad	control	106.00	0.997	0.319	??+
HARS2|ENSG00000112855	ad	control	70.00	0.156	0.876	-+?
ANGPTL8|ENSG00000130173	ad	control	31.00	-1.524	0.1274	?-?
ADGRL1|ENSG00000288324	ad	control	70.00	-0.135	0.8924	+-?
NPIPB12|ENSG00000169203	ad	control	70.00	1.370	0.1708	++?
SUMO3|ENSG00000184900	ad	control	70.00	-0.390	0.6969	--?
LINC01282|ENSG00000236747	ad	control	31.00	0.232	0.8168	?+?
DDX3P2|ENSG00000230986	ad	control	31.00	0.559	0.5762	?+?
DGKZP1|ENSG00000179611	ad	control	70.00	0.527	0.5983	+-?
FCRL1|ENSG00000163534	ad	control	31.00	-0.009	0.9932	?-?
PLCXD1|ENSG00000292344	ad	control	176.00	-0.615	0.5383	-+-
TRMT13|ENSG00000122435	ad	control	176.00	2.117	0.03428	++-
IP6K2|ENSG00000068745	ad	control	176.00	-0.396	0.6923	-+-
ZDHHC18|ENSG00000204160	ad	control	176.00	-1.566	0.1175	---
LINC01586|ENSG00000249487	ad	control	31.00	-1.475	0.1401	?-?
TNFAIP6|ENSG00000123610	ad	control	137.00	-0.108	0.9139	?+-
DDX41|ENSG00000183258	ad	control	176.00	1.025	0.3056	+--
EIF3EP1|ENSG00000234882	ad	control	176.00	1.414	0.1574	+++
YAE1|ENSG00000241127	ad	control	176.00	-1.375	0.1691	--+
NIPA2|ENSG00000140157	ad	control	70.00	-2.662	0.007774	--?
RN7SKP203|ENSG00000200488	ad	control	39.00	0.943	0.3458	+??
FBXL6|ENSG00000285442	ad	control	176.00	0.688	0.4915	++-
PAICSP1|ENSG00000226055	ad	control	137.00	-0.242	0.8091	?-+
LINC01204|ENSG00000229563	ad	control	31.00	-0.144	0.8858	?-?
PCCB|ENSG00000114054	ad	control	176.00	1.746	0.08074	+-+
PATL1|ENSG00000166889	ad	control	70.00	-0.146	0.8842	-+?
LINC02844|ENSG00000253679	ad	control	31.00	-0.050	0.9605	?-?
RAB40A|ENSG00000172476	ad	control	70.00	1.726	0.08432	+-?
LCMT2|ENSG00000168806	ad	control	176.00	-1.558	0.1193	---
ZSCAN30|ENSG00000186814	ad	control	70.00	-0.104	0.9175	+-?
NLRP4|ENSG00000160505	ad	control	137.00	-0.287	0.7739	?+-
MTRR|ENSG00000124275	ad	control	176.00	0.411	0.6812	++-
CAMKK1|ENSG00000004660	ad	control	176.00	1.047	0.2952	+-+
FGF10|ENSG00000070193	ad	control	70.00	-0.667	0.5049	--?
ZNF75CP|ENSG00000288393	ad	control	106.00	-0.976	0.329	??-
IKZF1|ENSG00000185811	ad	control	176.00	-2.455	0.01409	---
EPCIP|ENSG00000262938	ad	control	176.00	-0.690	0.4899	-+-
CEP85|ENSG00000130695	ad	control	176.00	1.160	0.2462	++-
LNP1|ENSG00000206535	ad	control	70.00	2.541	0.01105	++?
BIRC6-AS1|ENSG00000230046	ad	control	106.00	0.605	0.545	??+
MIR2276|ENSG00000252695	ad	control	31.00	-0.009	0.9932	?-?
NPTX1|ENSG00000171246	ad	control	176.00	-1.711	0.08699	---
ZNG1C|ENSG00000196873	ad	control	70.00	1.186	0.2358	+-?
ZNF574|ENSG00000105732	ad	control	176.00	-0.102	0.9187	++-
NCK1-DT|ENSG00000239213	ad	control	137.00	1.319	0.187	?++
IFIT1B|ENSG00000204010	ad	control	31.00	0.636	0.5246	?+?
TP53RK-DT|ENSG00000271784	ad	control	137.00	-0.097	0.923	?-+
KIF25|ENSG00000125337	ad	control	31.00	2.425	0.01529	?+?
GADD45G|ENSG00000130222	ad	control	70.00	-0.914	0.3605	--?
ADGRE3|ENSG00000131355	ad	control	31.00	-0.902	0.3671	?-?
LINC02609|ENSG00000233593	ad	control	70.00	0.159	0.8741	+-?
UGT3A2|ENSG00000168671	ad	control	31.00	-0.200	0.8416	?-?
HLA-DRB1|ENSG00000206240	ad	control	176.00	-1.744	0.08123	---
SBF1P1|ENSG00000248522	ad	control	70.00	1.379	0.168	++?
CA15P2|ENSG00000273907	ad	control	106.00	-0.256	0.798	??-
MSH2-OT1|ENSG00000235760	ad	control	31.00	-2.756	0.005846	?-?
SDCBPP1|ENSG00000226705	ad	control	106.00	0.243	0.808	??+
PTP4A1|ENSG00000112245	ad	control	176.00	2.094	0.03622	+++
NUDT1|ENSG00000106268	ad	control	176.00	1.505	0.1324	++-
ZNF439|ENSG00000171291	ad	control	176.00	1.597	0.1103	++-
ELAVL2|ENSG00000107105	ad	control	176.00	0.848	0.3966	+-+
FAM43B|ENSG00000183114	ad	control	176.00	-2.219	0.02651	---
AQP1|ENSG00000240583	ad	control	70.00	-1.478	0.1394	--?
PRDX6-AS1|ENSG00000203739	ad	control	176.00	0.091	0.9277	-++
SNORA3B|ENSG00000212607	ad	control	137.00	-0.145	0.885	?--
RNPS1|ENSG00000205937	ad	control	176.00	1.383	0.1667	+-+
YWHAQP4|ENSG00000177803	ad	control	106.00	-0.440	0.66	??-
PARK7|ENSG00000116288	ad	control	176.00	-0.753	0.4515	--+
TMEM151A|ENSG00000179292	ad	control	176.00	0.728	0.4664	++-
HSPA5|ENSG00000044574	ad	control	70.00	-2.872	0.004084	--?
SP1|ENSG00000185591	ad	control	70.00	-0.877	0.3803	-+?
MYO1G|ENSG00000136286	ad	control	70.00	-1.095	0.2736	--?
SHISA2|ENSG00000180730	ad	control	176.00	-0.549	0.5829	-++
ANKRD17-DT|ENSG00000250220	ad	control	137.00	0.408	0.683	?++
CHRND|ENSG00000135902	ad	control	31.00	-1.120	0.2629	?-?
