MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
NRIP3-DT|ENSG00000253973	ad	control	168.0	-0.163	0.8707	?????+-+	0.9991427871662993
PARL|ENSG00000175193	ad	control	279.0	2.916	0.003544	++++++-+	0.04422868318122556
AMACR|ENSG00000242110	ad	control	173.0	1.685	0.09199	+++++--?	0.35201506666666665
MAP3K10|ENSG00000130758	ad	control	279.0	-0.707	0.4793	----+++-	0.8826944301848049
SILC1|ENSG00000232044	ad	control	101.0	2.853	0.004334	????+++?	0.05074900040799674
LOC122455342|ENSG00000284526	ad	control	134.0	-1.578	0.1145	----?+-?	0.4020247125030585
ACTBP8|ENSG00000220267	ad	control	62.0	0.116	0.9074	?????-+?	0.9991427871662993
APLP2|ENSG00000084234	ad	control	279.0	2.03	0.04238	++++---+	0.2155424419634946
NOL4L|ENSG00000197183	ad	control	173.0	-0.068	0.9461	----+-+?	0.9991427871662993
MLC1|ENSG00000100427	ad	control	173.0	-3.471	0.0005179	-------?	0.012611933842239185
DLEU2|ENSG00000231607	ad	control	207.0	-0.064	0.9486	????-++-	0.9991427871662993
ANKRD36B|ENSG00000196912	ad	control	279.0	-0.184	0.8537	-++++---	0.9991427871662993
LOC105274304|ENSG00000261335	ad	control	62.0	1.034	0.3011	?????++?	0.7034245014245014
PPP4R2|ENSG00000163605	ad	control	279.0	-2.52	0.01174	-----++-	0.0949923879334649
CDC42BPA|ENSG00000143776	ad	control	279.0	0.815	0.4152	----++++	0.8298482211237207
TMEM130|ENSG00000166448	ad	control	279.0	2.137	0.03261	+++++--+	0.182937255668491
GRIN1|ENSG00000176884	ad	control	173.0	0.366	0.7143	+++++--?	0.9991427871662993
PADI2|ENSG00000117115	ad	control	279.0	-2.444	0.01453	-----++-	0.10885173583920647
CEP164P1|ENSG00000226937	ad	control	62.0	-0.098	0.9221	?????--?	0.9991427871662993
AMPH|ENSG00000078053	ad	control	279.0	1.382	0.1671	+++++--+	0.5030703870764712
RGS6|ENSG00000182732	ad	control	279.0	1.644	0.1002	+++++--+	0.3707283743715354
GAL3ST2|ENSG00000154252	ad	control	62.0	-1.087	0.277	?????--?	0.6705381241565452
H3-3A-DT|ENSG00000272562	ad	control	62.0	0.624	0.5328	?????+-?	0.9203900325027086
CAB39|ENSG00000135932	ad	control	279.0	2.118	0.03415	++++-+++	0.18837305400730348
NPAS2|ENSG00000170485	ad	control	173.0	-3.596	0.0003227	-------?	0.009181724479682853
CETN2|ENSG00000292191	ad	control	279.0	2.263	0.02364	+++++--+	0.14852626970227673
MKX|ENSG00000150051	ad	control	173.0	1.846	0.06487	+++++--?	0.28380673677793017
KLHL12|ENSG00000117153	ad	control	279.0	1.334	0.1822	++++-+++	0.5286765746638358
ZNF285|ENSG00000267508	ad	control	279.0	1.317	0.1879	++++-+++	0.5378208836142416
TINAGL1|ENSG00000142910	ad	control	279.0	-1.203	0.2288	-----++-	0.6027131711794401
