MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
LAPTM5|ENSG00000162511	ad	control	279.0	-3.349	0.0008103	+--+----	0.01691317090909091
ADH1B|ENSG00000196616	ad	control	173.0	-3.961	7.474e-05	-----++?	0.003660474402730376
ITGB2|ENSG00000160255	ad	control	173.0	-6.778	1.216e-11	-------?	1.74496e-07
CLASP2|ENSG00000163539	ad	control	279.0	3.596	0.0003227	++++++++	0.009181724479682853
PLEKHG2|ENSG00000090924	ad	control	279.0	-3.168	0.001536	--------	0.02545219399538106
AP4B1|ENSG00000134262	ad	control	173.0	3.532	0.0004129	++++++-?	0.010962284921369103
MMP14|ENSG00000157227	ad	control	279.0	-5.262	1.426e-07	--------	7.759249999999999e-05
KIF1B|ENSG00000054523	ad	control	279.0	2.955	0.003127	-++++++-	0.04075608537693007
PPIC|ENSG00000168938	ad	control	173.0	-3.447	0.0005666	------+?	0.013298683565004086
EMID1|ENSG00000186998	ad	control	279.0	-3.211	0.001321	--------	0.02304723404255319
LIMS1|ENSG00000169756	ad	control	173.0	-3.294	0.0009889	-------?	0.019293970088375256
TRIM38|ENSG00000112343	ad	control	279.0	-3.522	0.0004287	------++	0.011215761166818597
AJUBA|ENSG00000129474	ad	control	173.0	-4.553	5.28e-06	------+?	0.0007164169811320754
PRKCQ|ENSG00000065675	ad	control	173.0	3.83	0.0001283	+++++++?	0.005121293463143255
REEP4|ENSG00000168476	ad	control	279.0	-3.892	9.931e-05	-----++-	0.004412069659442725
PIK3CB|ENSG00000051382	ad	control	279.0	3.502	0.0004621	++++++++	0.011762420212765958
BOD1L1|ENSG00000038219	ad	control	279.0	3.093	0.001983	+--+++++	0.030188935944944414
TPRG1L|ENSG00000158109	ad	control	279.0	2.971	0.002972	+++++--+	0.03930709677419355
ARPC1B|ENSG00000130429	ad	control	279.0	-3.453	0.0005541	--------	0.0131644619205298
CCR10|ENSG00000184451	ad	control	173.0	-3.409	0.0006516	----+--?	0.014713548387096775
ARMCX5|ENSG00000125962	ad	control	173.0	2.912	0.003586	+++++--?	0.044553333333333334
GAREM2|ENSG00000157833	ad	control	279.0	-3.821	0.0001327	-----++-	0.005219249658935879
RAB2A|ENSG00000104388	ad	control	279.0	3.017	0.002549	+++++--+	0.035564560038891586
