MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction	P-value_adjusted
CALHM2|ENSG00000138172	ad	control	687.0	-3.105	0.001903	-----+--+-----	0.038413927223719675
TAC1|ENSG00000006128	ad	control	687.0	3.085	0.002036	+++++----+++++	0.040417770709078864
AMN1|ENSG00000151743	ad	control	687.0	3.774	0.0001607	+++++----+++++	0.008565710320284697
COL4A2|ENSG00000134871	ad	control	235.0	-5.271	1.356e-07	+--------?????	7.472660363636363e-05
POFUT2|ENSG00000186866	ad	control	687.0	-3.147	0.001651	------+----+--	0.03542790544412607
ITGB5-AS1|ENSG00000244286	ad	control	452.0	-3.384	0.0007149	?????????-----	0.02128781749502982
TRIM33|ENSG00000197323	ad	control	687.0	3.434	0.0005951	++++++-+++++++	0.018804657805907173
AKT3|ENSG00000275199	ad	control	235.0	3.354	0.0007969	++++++-++?????	0.022700497338403042
ZC3HAV1|ENSG00000105939	ad	control	687.0	-4.025	5.693e-05	--------------	0.004399980515463918
DCUN1D2|ENSG00000150401	ad	control	235.0	3.073	0.002122	++++++-++?????	0.04148954788273616
COL3A1|ENSG00000168542	ad	control	263.0	-3.941	8.104e-05	+------+-????-	0.00555522709382151
COX6C|ENSG00000164919	ad	control	687.0	3.113	0.001854	+++++----+++++	0.03793608196721312
TUBA5P|ENSG00000214796	ad	control	163.0	-3.605	0.0003118	????+----?????	0.012673379647218451
EGF|ENSG00000138798	ad	control	687.0	-3.607	0.0003094	-----+-++---+-	0.012605126630434784
LTBR|ENSG00000111321	ad	control	687.0	-3.463	0.0005341	----------++--	0.017659491832229583
SLC4A11|ENSG00000088836	ad	control	263.0	-4.828	1.376e-06	------+-+????-	0.0003781601467889908
PDLIM7|ENSG00000196923	ad	control	235.0	-3.62	0.0002948	----+----?????	0.012282376634214186
HLA-DQA1|ENSG00000196735	ad	control	235.0	-3.743	0.0001815	+--------?????	0.009325924528301888
PLEKHG4B|ENSG00000153404	ad	control	263.0	-3.186	0.001442	------+--????-	0.03252752409638554
LARS2|ENSG00000011376	ad	control	235.0	-4.015	5.948e-05	++++-----?????	0.004510842734177215
SYK|ENSG00000165025	ad	control	687.0	-3.184	0.001451	-----------+--	0.03262623520599251
HLCS|ENSG00000159267	ad	control	235.0	3.443	0.000575	+++++-+++?????	0.01844186295503212
CHN2|ENSG00000106069	ad	control	235.0	3.597	0.0003218	-+++-++++?????	0.012974213728129206
ADCY7|ENSG00000121281	ad	control	687.0	-3.166	0.001544	-----++----+--	0.03410919174041298
EBF1|ENSG00000164330	ad	control	263.0	-5.63	1.799e-08	--------+????-	1.7384143225806454e-05
CLEC1A|ENSG00000150048	ad	control	263.0	-4.905	9.347e-07	-------++????-	0.00030105780000000003
KCNC2|ENSG00000166006	ad	control	687.0	3.011	0.002606	+++++----++-++	0.04691426442307692
HESX1|ENSG00000163666	ad	control	124.0	-3.247	0.001165	?????----?????	0.02841916938110749
MAPK4|ENSG00000141639	ad	control	687.0	-3.54	0.0003995	-----++-------	0.014720076260762608
SST|ENSG00000157005	ad	control	625.0	3.676	0.0002369	+++++??--+++++	0.011019528571428572
ANKRD28|ENSG00000206560	ad	control	687.0	3.447	0.0005678	+-+++++++++++-	0.01830859182795699
AHDC1|ENSG00000126705	ad	control	687.0	-3.708	0.0002089	----+---------	0.010237817292006526
PALM2AKAP2|ENSG00000157654	ad	control	687.0	3.524	0.0004253	+++++-+++-++++	0.015294461944777911
PSAPL1|ENSG00000178597	ad	control	111.0	-3.225	0.001261	-----?????????	0.029696946540880505
PSMD14|ENSG00000115233	ad	control	235.0	3.451	0.0005589	+++++----?????	0.018139120693391114
FERMT3|ENSG00000149781	ad	control	687.0	-3.008	0.002631	-----------+--	0.04719144976076555
FGF2|ENSG00000138685	ad	control	235.0	-3.514	0.0004415	+--+-----?????	0.015669292307692307
NDUFA7|ENSG00000267855	ad	control	687.0	4.52	6.192e-06	+++++--+-+++++	0.001078416
NYNRIN|ENSG00000205978	ad	control	687.0	-3.598	0.0003207	-----++-+-----	0.012964762753036436
IL1R1|ENSG00000115594	ad	control	235.0	-4.309	1.64e-05	---------?????	0.0020134360655737703
IL16|ENSG00000172349	ad	control	687.0	-3.152	0.001622	-----++-+-----	0.03507834632034632
S100A4|ENSG00000196154	ad	control	687.0	-3.275	0.001057	-----++++-----	0.02683346779661017
SCFD2|ENSG00000184178	ad	control	687.0	3.148	0.001646	+++++----+++++	0.03537128837876614
SPI1|ENSG00000066336	ad	control	687.0	-3.482	0.0004976	-----------+--	0.01684305717514124
GLIS2|ENSG00000126603	ad	control	687.0	-3.45	0.0005597	--------------	0.01814542554112554
MUC4|ENSG00000277585	ad	control	263.0	-3.764	0.0001675	--------+????-	0.008833855633802817
WNT4|ENSG00000162552	ad	control	263.0	-3.78	0.000157	---------????+	0.008464186330935252
HLA-DQB1|ENSG00000206302	ad	control	235.0	-3.514	0.0004407	---------?????	0.015660271886120996
PARVG|ENSG00000138964	ad	control	656.0	-4.236	2.279e-05	------?----+--	0.002464610974729242
GAPDHP35|ENSG00000250982	ad	control	124.0	-3.021	0.002522	?????----?????	0.04611286638194021
ENO2|ENSG00000111674	ad	control	687.0	3.445	0.0005706	+++++----+++++	0.01834001459227468
RHBDF2|ENSG00000129667	ad	control	687.0	-4.177	2.953e-05	-----------+--	0.0029098706578947367
TMEM61|ENSG00000143001	ad	control	124.0	-3.143	0.001675	?????----?????	0.0357085746799431
COL27A1|ENSG00000196739	ad	control	687.0	-5.188	2.125e-07	-----++++-----	0.00010609416666666666
PRMT8|ENSG00000111218	ad	control	687.0	3.234	0.00122	+++++----++-++	0.02919035143769968
LGALS9|ENSG00000168961	ad	control	687.0	-3.632	0.0002809	-----------+--	0.012072654806312769
UPF1|ENSG00000005007	ad	control	687.0	-3.062	0.0022	-------------+	0.0424360592401803
EHBP1L1|ENSG00000173442	ad	control	687.0	-3.243	0.001182	-------++--+--	0.028670438866396763
NTRK1|ENSG00000198400	ad	control	124.0	-3.255	0.001135	?????----?????	0.027914663382594417
CD151|ENSG00000177697	ad	control	687.0	-4.525	6.04e-06	--------------	0.001058094970760234
RAB13|ENSG00000143545	ad	control	687.0	-3.152	0.001623	-------++---+-	0.03507834632034632
CHI3L1|ENSG00000133048	ad	control	687.0	-3.187	0.001439	++-+---------+	0.03250881146304676
RBM4|ENSG00000173933	ad	control	235.0	-3.313	0.0009225	---------?????	0.024637608556149732
C1QC|ENSG00000159189	ad	control	687.0	-3.047	0.002312	+----------+--	0.04366851954602774
LINC02393|ENSG00000256597	ad	control	124.0	8.263	1.419e-16	?????++++?????	4.2507564e-12
LINC02251|ENSG00000258483	ad	control	124.0	5.441	5.306e-08	?????++++?????	4.075552205128205e-05
DYRK3|ENSG00000143479	ad	control	235.0	-3.58	0.0003432	--------+?????	0.013423568709256845
ITGA11|ENSG00000137809	ad	control	263.0	-6.178	6.501e-10	---------????-	1.7703996e-06
CD180|ENSG00000134061	ad	control	263.0	-4.368	1.252e-05	-----++--????-	0.0016595093805309737
AFTPH|ENSG00000119844	ad	control	235.0	3.184	0.001453	++++-++++?????	0.03262623520599251
TOR1B|ENSG00000136816	ad	control	687.0	-3.324	0.0008884	+-------------	0.024195648594741617
IL15RA|ENSG00000134470	ad	control	263.0	-4.441	8.973e-06	--------+????-	0.0013714040204081633
ACOT6|ENSG00000205669	ad	control	620.0	-3.428	0.0006088	----?-+------?	0.018988740956340955
TRDN-AS1|ENSG00000235535	ad	control	28.0	-4.471	7.8e-06	?????????????-	0.0012428553191489362
MOCS2|ENSG00000164172	ad	control	235.0	3.338	0.000843	++++-++++?????	0.02354044659832246
TADA2A|ENSG00000277104	ad	control	687.0	3.593	0.0003266	+++++--+++++++	0.013097228380187417
FLII|ENSG00000284571	ad	control	687.0	-2.984	0.002846	-----++++--+--	0.04925174812247256
MICB|ENSG00000204516	ad	control	163.0	-3.687	0.000227	????-----?????	0.010725570977917981
ZNF215|ENSG00000149054	ad	control	263.0	3.284	0.001022	+++++----????+	0.026211499999999995
TRIM5|ENSG00000132256	ad	control	687.0	-3.82	0.0001336	------+++--+--	0.007702148461538462
PRPF19-DT|ENSG00000257052	ad	control	576.0	3.563	0.0003663	?????++++++-++	0.013950284625158831
MTCO1P40|ENSG00000262902	ad	control	124.0	4.4	1.082e-05	?????++++?????	0.0015389717535545023
PAPLN|ENSG00000100767	ad	control	235.0	-3.551	0.0003839	---------?????	0.014321430136986302
BCAS3|ENSG00000141376	ad	control	687.0	3.671	0.000242	++++++++-+++++	0.01108463608562691
CIITA|ENSG00000179583	ad	control	687.0	-2.99	0.002787	------+----+--	0.04865231468531469
ZC3H12A|ENSG00000163874	ad	control	263.0	-3.269	0.00108	-----+-++????-	0.02705056856187291
SERPINA5|ENSG00000188488	ad	control	648.0	-3.24	0.001196	----?++++-++--	0.02889304516129032
CPEB1|ENSG00000277445	ad	control	235.0	3.066	0.00217	+++++++++?????	0.04199258397932816
SLC16A3|ENSG00000141526	ad	control	687.0	-3.024	0.002494	----+------+--	0.04578700306184936
LCN10|ENSG00000187922	ad	control	152.0	-3.165	0.00155	?????--+-????-	0.03416615158204562
FTO|ENSG00000140718	ad	control	687.0	4.227	2.373e-05	++++++++++++++	0.0025118582332155476
DCTN1|ENSG00000204843	ad	control	235.0	4.46	8.185e-06	+++++--++?????	0.0012828307772020724
OR7E14P|ENSG00000184669	ad	control	124.0	3.007	0.002642	?????++++?????	0.04725000119402984
DOK3|ENSG00000146094	ad	control	687.0	-2.979	0.002892	-----+++------	0.049731774971297354
CALHM1|ENSG00000185933	ad	control	263.0	3.615	0.0003008	+++++++--????+	0.012394449518569462
SF3B1|ENSG00000115524	ad	control	235.0	4.069	4.714e-05	---++++++?????	0.0039241530193905826
FAM13A-AS1|ENSG00000248019	ad	control	587.0	3.119	0.001816	????++++++-++?	0.03735761976664379
RFPL1|ENSG00000128250	ad	control	235.0	3.232	0.001229	+++++--+-?????	0.029288722354813047
ATP5PB|ENSG00000116459	ad	control	687.0	3.285	0.00102	+++++----+++++	0.026205077186963983
PIK3CG|ENSG00000105851	ad	control	263.0	-3.313	0.0009216	------+--????-	0.024637608556149732
MGST2|ENSG00000085871	ad	control	687.0	-3.023	0.002503	-+-+----+-+-+-	0.04585924648318043
REXO5|ENSG00000005189	ad	control	235.0	3.002	0.002684	+++++----?????	0.04761054201183432
NF1|ENSG00000196712	ad	control	235.0	3.701	0.0002149	+++++++++?????	0.010421789032258065
MLXIP|ENSG00000281178	ad	control	687.0	-3.231	0.001233	------+-------	0.029314085714285714
