MarkerName	Allele1	Allele2	Weight	Zscore	P-value	Direction
TRIM62|ENSG00000116525	ad	control	687.00	-0.706	0.4801	----+++-+-++-+
GPS2P1|ENSG00000236496	ad	control	124.00	2.454	0.01413	?????++++?????
MSR1|ENSG00000038945	ad	control	687.00	-3.583	0.0003401	+-----------+-
MIA2-AS1|ENSG00000258940	ad	control	124.00	-2.219	0.0265	?????-+--?????
TUBBP10|ENSG00000226147	ad	control	31.00	0.008	0.9939	????????+?????
NPY2R|ENSG00000185149	ad	control	235.00	-0.221	0.8253	+++-+----?????
FEM1A|ENSG00000141965	ad	control	235.00	-1.605	0.1085	-----++++?????
MIR27B|ENSG00000207864	ad	control	62.00	-0.925	0.355	??????-?-?????
NCF4-AS1|ENSG00000183822	ad	control	452.00	-0.597	0.5508	?????????--+--
LINC02822|ENSG00000286021	ad	control	124.00	-0.670	0.5027	?????+-+-?????
RPL36AP15|ENSG00000235369	ad	control	455.00	-0.085	0.9319	????????+--+-?
SUGT1P4-STRA6LP-CCDC180|ENSG00000255036	ad	control	615.00	-0.672	0.5013	????+----++-+-
RPL12P41|ENSG00000269637	ad	control	124.00	-0.464	0.6427	?????----?????
KIF5C|ENSG00000168280	ad	control	235.00	4.207	2.583e-05	-++++++++?????
CRYL1|ENSG00000165475	ad	control	687.00	2.102	0.03553	++++-+++++++++
AHSG|ENSG00000145192	ad	control	124.00	0.598	0.5497	?????++-+?????
LIMASI|ENSG00000266978	ad	control	124.00	-0.238	0.8122	?????-+--?????
STPG2|ENSG00000163116	ad	control	235.00	-0.726	0.4681	-+++-++--?????
HELZ|ENSG00000198265	ad	control	235.00	-1.443	0.149	-----+-++?????
FOXRED1|ENSG00000110074	ad	control	687.00	1.836	0.06634	+++++--++++-++
MDGA2|ENSG00000139915	ad	control	687.00	0.899	0.3689	++++++---++-++
HNRNPMP1|ENSG00000259335	ad	control	124.00	-0.047	0.9629	?????++--?????
LOC105371729|ENSG00000285677	ad	control	93.00	0.343	0.732	??????--+?????
RPSAP69|ENSG00000233487	ad	control	163.00	-1.289	0.1974	????+----?????
MIA2|ENSG00000150527	ad	control	687.00	-0.330	0.7415	--+++----+++++
STAG1|ENSG00000118007	ad	control	235.00	0.626	0.5316	-----++++?????
DYRK3-AS1|ENSG00000237605	ad	control	576.00	-0.361	0.7182	?????--+-+--++
VRK2|ENSG00000028116	ad	control	687.00	-0.564	0.5729	-----+-++-++--
LINC02102|ENSG00000248677	ad	control	196.00	-0.904	0.3661	----?--++?????
LEPR|ENSG00000116678	ad	control	235.00	-0.462	0.6444	+-++---++?????
RFX5-AS1|ENSG00000237976	ad	control	576.00	-1.012	0.3113	?????+------+-
TIGD4|ENSG00000169989	ad	control	263.00	0.605	0.545	+++++----????+
IKZF4|ENSG00000123411	ad	control	687.00	-0.754	0.4507	----+++--+----
ADGRA3P1|ENSG00000256616	ad	control	163.00	-1.874	0.06092	????-----?????
ACAD11|ENSG00000240303	ad	control	235.00	0.131	0.896	--+-+-+--?????
PDE4C|ENSG00000285188	ad	control	687.00	-2.807	0.005001	----+----+----
RPL18AP13|ENSG00000213304	ad	control	124.00	-0.598	0.5499	?????----?????
SNORD30|ENSG00000277846	ad	control	62.00	0.034	0.9727	??????+?+?????
MSMO1|ENSG00000052802	ad	control	687.00	0.823	0.4103	+++++-----++++
TMEM123|ENSG00000152558	ad	control	235.00	-3.433	0.000597	--------+?????
MIR320C1|ENSG00000221493	ad	control	31.00	-0.011	0.9916	????????-?????
LEFTY3P|ENSG00000234112	ad	control	31.00	-0.337	0.7361	??????-???????
AKR1C3|ENSG00000196139	ad	control	687.00	-3.492	0.0004798	------+-+---+-
LINC02640|ENSG00000233590	ad	control	62.00	-0.195	0.8458	??????-?-?????
SOD1-DT|ENSG00000234509	ad	control	576.00	-0.510	0.6097	?????----++-++
MBLAC2|ENSG00000176055	ad	control	687.00	2.881	0.003966	++++++---+++++
TMEM200B|ENSG00000253304	ad	control	263.00	-4.691	2.724e-06	+-------+????-
ENTREP1|ENSG00000135063	ad	control	687.00	-2.971	0.002971	-----------+--
SYNRG|ENSG00000275066	ad	control	687.00	-0.080	0.9361	-+--+++++-++--
CDK7|ENSG00000134058	ad	control	687.00	-0.106	0.9155	-++++----+--++
RN7SL122P|ENSG00000263529	ad	control	31.00	0.356	0.7215	???????+??????
ZNF496-DT|ENSG00000291885	ad	control	452.00	-0.674	0.5004	?????????-----
KRT1|ENSG00000167768	ad	control	124.00	-2.225	0.02608	?????----?????
ZNF100|ENSG00000274746	ad	control	687.00	-1.522	0.128	----------+++-
TRGV9|ENSG00000211695	ad	control	124.00	4.300	1.71e-05	?????++++?????
