gene_name,ensembl_id,official_symbol,is_upregulated_in_AD,brain_region,study,quality_assessment
GKN1,ENSG00000169605,GKN1,False,Hippocampus,Annese_et_al,1.9
AVL9,ENSG00000105778,AVL9,False,Hippocampus,Annese_et_al,1.9
RIMBP2,ENSG00000060709,RIMBP2,False,Hippocampus,Annese_et_al,1.9
NDUFS5,ENSG00000168653,NDUFS5,False,Hippocampus,Annese_et_al,1.9
NKAIN3,ENSG00000185942,NKAIN3,False,Hippocampus,Annese_et_al,1.9
ATP6V0C,ENSG00000185883,ATP6V0C,False,Hippocampus,Annese_et_al,1.9
KIFAP3-AS1,ENSG00000232959,KIFAP3-AS1,False,Hippocampus,Annese_et_al,1.9
PCDH7,ENSG00000169851,PCDH7,False,Hippocampus,Annese_et_al,1.9
WARS1,ENSG00000140105,WARS1,False,Hippocampus,Annese_et_al,1.9
SLC9A7,ENSG00000065923,SLC9A7,False,Hippocampus,Annese_et_al,1.9
GRM1,ENSG00000152822,GRM1,False,Hippocampus,Annese_et_al,1.9
CADM3-AS1,ENSG00000225670,CADM3-AS1,False,Hippocampus,Annese_et_al,1.9
ARHGEF28,ENSG00000214944,ARHGEF28,False,Hippocampus,Annese_et_al,1.9
SLC25A4,ENSG00000151729,SLC25A4,False,Hippocampus,Annese_et_al,1.9
WDR47,ENSG00000085433,WDR47,False,Hippocampus,Annese_et_al,1.9
NLGN4X,ENSG00000146938,NLGN4X,False,Hippocampus,Annese_et_al,1.9
PNMA8B,ENSG00000204851,PNMA8B,False,Hippocampus,Annese_et_al,1.9
PTPRG-AS1,ENSG00000241472,PTPRG-AS1,False,Hippocampus,Annese_et_al,1.9
PODXL2,ENSG00000114631,PODXL2,False,Hippocampus,Annese_et_al,1.9
VSNL1,ENSG00000163032,VSNL1,False,Hippocampus,Annese_et_al,1.9
ACSL4,ENSG00000068366,ACSL4,False,Hippocampus,Annese_et_al,1.9
SLC25A23,ENSG00000125648,SLC25A23,False,Hippocampus,Annese_et_al,1.9
HSPA12A-AS1,ENSG00000232767,HSPA12A-AS1,False,Hippocampus,Annese_et_al,1.9
CETN2,ENSG00000292191,CETN2,False,Hippocampus,Annese_et_al,1.9
HYCC1,ENSG00000122591,HYCC1,False,Hippocampus,Annese_et_al,1.9
COX7A2L,ENSG00000115944,COX7A2L,False,Hippocampus,Annese_et_al,1.9
OCIAD1-AS1,ENSG00000248256,OCIAD1-AS1,False,Hippocampus,Annese_et_al,1.9
LOC111258526,,LOC111258526,False,Hippocampus,Annese_et_al,1.9
SYNGR1,ENSG00000100321,SYNGR1,False,Hippocampus,Annese_et_al,1.9
TCAF1,ENSG00000198420,TCAF1,False,Hippocampus,Annese_et_al,1.9
USP11,ENSG00000102226,USP11,False,Hippocampus,Annese_et_al,1.9
